"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","ATF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.0","1","4","ReMap--ChIP-seq(rank=20); GTEx--Coexpression(rank=461); Enrichr--Queries(rank=893); ARCHS4--Coexpression(rank=1189)","237","rank=1; score=6.4971; p=3.1836e-07","rank=2; score=5.4163; direction=Activated","rank=1; score=303.2; p=9.6059e-07; adjP=0.00018059","rank=1; score=6.0174; p=9.6068e-07","rank=5; score=4.0311; p=5.5512e-05; direction=Activated"
"2","NFKB1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.4","3","4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=237); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=616)","56","rank=12; score=2.2812; p=0.0052333","rank=13; score=3.3207; direction=Activated","rank=7; score=44.387; p=0.00014541; adjP=0.0085574","rank=3; score=3.7397; p=0.00018208","rank=22; score=2.7139; p=0.0066492; direction=Activated"
"3","RELA","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.6","4","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=384); Enrichr--Queries(rank=693); GTEx--Coexpression(rank=963)","71","rank=17; score=1.8859; p=0.013005","rank=23; score=2.8994; direction=Activated","rank=10; score=26.559; p=6.3953e-05; adjP=0.0058118","rank=4; score=3.1473; p=0.00071234","rank=24; score=2.6249; p=0.0086683; direction=Activated"
"4","ATF3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.6","4","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=60)","1","rank=9; score=2.8637; p=0.0013686","rank=59; score=1.9468; direction=Repressed","rank=4; score=67.924; p=1.3742e-07; adjP=9.9903e-05","rank=13; score=1.9926; p=0.010171","rank=8; score=3.289; p=0.0010054; direction=Activated"
"5","STAT1","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.4","4","6","ReMap--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=23); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=268); GTEx--Coexpression(rank=1380)","54","rank=4; score=3.9059; p=0.0001242","rank=5; score=4.162; direction=Activated","rank=53; score=55.009; p=0.0042483; adjP=0.053246","rank=36; score=1.321; p=0.047749","rank=4; score=4.1029; p=4.0798e-05; direction=Activated"
"6","STAT3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.0","8","6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=30); ReMap--ChIP-seq(rank=40); Enrichr--Queries(rank=658); GTEx--Coexpression(rank=954)","72","rank=30; score=1.4436; p=0.036005","rank=36; score=2.3417; direction=Activated","rank=37; score=27.651; p=0.0025844; adjP=0.038888","rank=8; score=2.5876; p=0.0025845","rank=29; score=2.5412; p=0.011046; direction=Activated"
"7","CLOCK","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.0","12","5","Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=209); ARCHS4--Coexpression(rank=612); Enrichr--Queries(rank=1231); GTEx--Coexpression(rank=1571)","811","rank=19; score=1.8593; p=0.013827","rank=34; score=2.4491; direction=Activated","rank=71; score=83.813; p=0.007811; adjP=0.066749","rank=12; score=2.1073; p=0.0078111","rank=49; score=2.2647; p=0.023533; direction=Activated"
"8","ETV4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.6","15","4","ReMap--ChIP-seq(rank=142); Enrichr--Queries(rank=287); GTEx--Coexpression(rank=1160); ARCHS4--Coexpression(rank=1164)","671","rank=15; score=2.0479; p=0.008956","rank=18; score=3.073; direction=Activated","rank=105; score=41.14; p=0.018852; adjP=0.098448","rank=19; score=1.7246; p=0.018852","rank=36; score=2.4345; p=0.014911; direction=Activated"
"9","FOSL2","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.4","3","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=93); ARCHS4--Coexpression(rank=114); GTEx--Coexpression(rank=851)","31","rank=46; score=1.0342; p=0.092435","rank=45; score=2.1793; direction=Activated","rank=3; score=38.027; p=8.8805e-05; adjP=0.048451","rank=69; score=0.86834; p=0.13541","rank=34; score=2.4463; p=0.014433; direction=Activated"
"10","IRF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.4","32","5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=69); Enrichr--Queries(rank=74); ENCODE--ChIP-seq(rank=100); GTEx--Coexpression(rank=1169)","18","rank=61; score=0.85402; p=0.13995","rank=51; score=2.0926; direction=Activated","rank=58; score=122.93; p=0.0048116; adjP=0.056536","rank=32; score=1.3248; p=0.047332","rank=40; score=2.3866; p=0.017005; direction=Activated"
