"TF","HMVL_TOR10","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"BATF","2.000104951111741247","2.000104951111741247","2.000104951111741247","Activated","78","viper","78","2.000104951111741247",NA,NA,"5","ENCODE--ChIP-seq(rank=112); ReMap--ChIP-seq(rank=217); ARCHS4--Coexpression(rank=232); GTEx--Coexpression(rank=502); Enrichr--Queries(rank=668)","533","0.14249999999999999","ARCHS4 Coexpression,0.1425"
"RFX1","1.983827939249934058","1.983827939249934058","1.983827939249934058","Activated","79","viper","79","1.983827939249934058",NA,NA,"4","ReMap--ChIP-seq(rank=68); GTEx--Coexpression(rank=933); Enrichr--Queries(rank=1139); ARCHS4--Coexpression(rank=1400)","789","0.22900000000000001","ReMap ChIP-seq,0.229"
"SPI1","1.971086560144761357","1.971086560144761357","1.971086560144761357","Activated","80","viper","80","1.971086560144761357",NA,NA,"6","Literature--ChIP-seq(rank=61); ENCODE--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=220); Enrichr--Queries(rank=670); GTEx--Coexpression(rank=1057); ARCHS4--Coexpression(rank=1266)","1152","0.37200000000000000","Literature ChIP-seq,0.372"
"STAT3","1.914805672504230616","1.914805672504230616","1.914805672504230616","Activated","81","viper","81","1.914805672504230616",NA,NA,"6","ReMap--ChIP-seq(rank=50); ENCODE--ChIP-seq(rank=51); Literature--ChIP-seq(rank=67); GTEx--Coexpression(rank=281); Enrichr--Queries(rank=687); ARCHS4--Coexpression(rank=783)","606","0.16839999999999999","ReMap ChIP-seq,0.1684"
"ASCL1","1.891092506801637096","1.891092506801637096","1.891092506801637096","Activated","82","viper","82","1.891092506801637096",NA,NA,"4","ReMap--ChIP-seq(rank=137); GTEx--Coexpression(rank=733); Enrichr--Queries(rank=1275); ARCHS4--Coexpression(rank=1593)","1284","0.45610000000000001","GTEx Coexpression,0.4561"
"USF2","1.874627089706964123","1.874627089706964123","1.874627089706964123","Activated","83","viper","83","1.874627089706964123",NA,NA,"5","ENCODE--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=52); Enrichr--Queries(rank=1085); GTEx--Coexpression(rank=1297); ARCHS4--Coexpression(rank=1317)","627","0.17510000000000001","ReMap ChIP-seq,0.1751"
"MAFF","1.870119094196976306","1.870119094196976306","1.870119094196976306","Activated","84","viper","84","1.870119094196976306",NA,NA,"5","ENCODE--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=39); Enrichr--Queries(rank=282); GTEx--Coexpression(rank=449); ARCHS4--Coexpression(rank=1420)","496","0.13130000000000000","ReMap ChIP-seq,0.1313"
"MEF2A","1.863448950211941790","1.863448950211941790","1.863448950211941790","Activated","85","viper","85","1.863448950211941790",NA,NA,"6","ENCODE--ChIP-seq(rank=105); Literature--ChIP-seq(rank=126); ReMap--ChIP-seq(rank=259); ARCHS4--Coexpression(rank=406); Enrichr--Queries(rank=1174); GTEx--Coexpression(rank=1240)","856","0.24940000000000001","ARCHS4 Coexpression,0.2494"
"PBX3","1.857013732924315041","1.857013732924315041","1.857013732924315041","Activated","86","viper","86","1.857013732924315041",NA,NA,"5","ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=30); Enrichr--Queries(rank=203); GTEx--Coexpression(rank=838); ARCHS4--Coexpression(rank=1073)","382","0.10100000000000001","ReMap ChIP-seq,0.101"
"GLI2","1.832496480999558308","1.832496480999558308","1.832496480999558308","Activated","87","viper","87","1.832496480999558308",NA,NA,"3","ARCHS4--Coexpression(rank=180); GTEx--Coexpression(rank=445); Enrichr--Queries(rank=1117)","420","0.11060000000000000","ARCHS4 Coexpression,0.1106"
"MAF","1.820800645106633642","1.820800645106633642","1.820800645106633642","Activated","88","viper","88","1.820800645106633642",NA,NA,"4","ReMap--ChIP-seq(rank=141); GTEx--Coexpression(rank=226); Enrichr--Queries(rank=262); ARCHS4--Coexpression(rank=382)","525","0.14060000000000000","GTEx Coexpression,0.1406"
"NCOA3","-1.797335515055864086","-1.797335515055864086","1.797335515055864086","Repressed","89","viper","89","1.797335515055864086",NA,NA,"4","GTEx--Coexpression(rank=73); ReMap--ChIP-seq(rank=205); Enrichr--Queries(rank=439); ARCHS4--Coexpression(rank=1323)","169","0.04543000000000000","GTEx Coexpression,0.04543"
"NFKB1","1.780773441552184089","1.780773441552184089","1.780773441552184089","Activated","90","viper","90","1.780773441552184089",NA,NA,"4","GTEx--Coexpression(rank=104); ReMap--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=169); Enrichr--Queries(rank=592)","243","0.06472000000000000","GTEx Coexpression,0.06472"
"ATF6","-1.767295556817933821","-1.767295556817933821","1.767295556817933821","Repressed","91","viper","91","1.767295556817933821",NA,NA,"3","Enrichr--Queries(rank=848); ARCHS4--Coexpression(rank=1337); GTEx--Coexpression(rank=1420)","1470","0.60399999999999998","Enrichr Queries,0.604"
"HOXB13","1.728549033642273081","1.728549033642273081","1.728549033642273081","Activated","92","viper","92","1.728549033642273081",NA,NA,"4","ReMap--ChIP-seq(rank=239); ARCHS4--Coexpression(rank=496); GTEx--Coexpression(rank=514); Enrichr--Queries(rank=738)","999","0.30470000000000003","ARCHS4 Coexpression,0.3047"
"SIX2","1.727595295639280160","1.727595295639280160","1.727595295639280160","Activated","93","viper","93","1.727595295639280160",NA,NA,"4","ReMap--ChIP-seq(rank=294); ARCHS4--Coexpression(rank=402); Enrichr--Queries(rank=1204); GTEx--Coexpression(rank=1398)","845","0.24690000000000001","ARCHS4 Coexpression,0.2469"
"ZNF384","-1.700929790074259484","-1.700929790074259484","1.700929790074259484","Repressed","94","viper","94","1.700929790074259484",NA,NA,"5","ReMap--ChIP-seq(rank=70); ENCODE--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=644); Enrichr--Queries(rank=1049); GTEx--Coexpression(rank=1514)","811","0.23569999999999999","ReMap ChIP-seq,0.2357"
"ETV1","1.691950370428281891","1.691950370428281891","1.691950370428281891","Activated","95","viper","95","1.691950370428281891",NA,NA,"4","ReMap--ChIP-seq(rank=176); Enrichr--Queries(rank=523); GTEx--Coexpression(rank=555); ARCHS4--Coexpression(rank=1526)","1089","0.34539999999999998","GTEx Coexpression,0.3454"
"TCF3","-1.677438064372926529","-1.677438064372926529","1.677438064372926529","Repressed","96","viper","96","1.677438064372926529",NA,NA,"6","GTEx--Coexpression(rank=28); Literature--ChIP-seq(rank=49); ENCODE--ChIP-seq(rank=73); ARCHS4--Coexpression(rank=97); ReMap--ChIP-seq(rank=128); Enrichr--Queries(rank=186)","63","0.01742000000000000","GTEx Coexpression,0.01742"
"NFE2","1.667685005884412375","1.667685005884412375","1.667685005884412375","Activated","97","viper","97","1.667685005884412375",NA,NA,"5","ENCODE--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=161); Enrichr--Queries(rank=488); ARCHS4--Coexpression(rank=864); GTEx--Coexpression(rank=1269)","1099","0.34760000000000002","Enrichr Queries,0.3476"
"NR4A1","1.643447271390753528","1.643447271390753528","1.643447271390753528","Activated","98","viper","98","1.643447271390753528",NA,NA,"4","Enrichr--Queries(rank=135); ARCHS4--Coexpression(rank=177); GTEx--Coexpression(rank=186); ReMap--ChIP-seq(rank=280)","363","0.09615000000000001","Enrichr Queries,0.09615"
"FOXP1","-1.637435745942003029","-1.637435745942003029","1.637435745942003029","Repressed","99","viper","99","1.637435745942003029",NA,NA,"5","ReMap--ChIP-seq(rank=14); Literature--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=717); GTEx--Coexpression(rank=1065); Enrichr--Queries(rank=1260)","176","0.04714000000000000","ReMap ChIP-seq,0.04714"
"TFAP4","1.625138713648937916","1.625138713648937916","1.625138713648937916","Activated","100","viper","100","1.625138713648937916",NA,NA,"4","Enrichr--Queries(rank=51); ReMap--ChIP-seq(rank=61); ARCHS4--Coexpression(rank=480); GTEx--Coexpression(rank=965)","138","0.03632000000000000","Enrichr Queries,0.03632"
"ZNF263","-1.615018041464587162","-1.615018041464587162","1.615018041464587162","Repressed","101","viper","101","1.615018041464587162",NA,NA,"6","ENCODE--ChIP-seq(rank=84); Literature--ChIP-seq(rank=152); ReMap--ChIP-seq(rank=188); Enrichr--Queries(rank=334); ARCHS4--Coexpression(rank=955); GTEx--Coexpression(rank=1574)","819","0.23790000000000000","Enrichr Queries,0.2379"
"EPAS1","1.602121212342369372","1.602121212342369372","1.602121212342369372","Activated","102","viper","102","1.602121212342369372",NA,NA,"4","ReMap--ChIP-seq(rank=204); ARCHS4--Coexpression(rank=489); Enrichr--Queries(rank=506); GTEx--Coexpression(rank=669)","986","0.30040000000000000","ARCHS4 Coexpression,0.3004"
"MEF2C","1.600506958571570992","1.600506958571570992","1.600506958571570992","Activated","103","viper","103","1.600506958571570992",NA,NA,"5","ENCODE--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=279); Enrichr--Queries(rank=432); GTEx--Coexpression(rank=725); ARCHS4--Coexpression(rank=1040)","1009","0.30769999999999992","Enrichr Queries,0.3077"
"SIX5","-1.593658093621317828","-1.593658093621317828","1.593658093621317828","Repressed","104","viper","104","1.593658093621317828",NA,NA,"5","ENCODE--ChIP-seq(rank=68); ReMap--ChIP-seq(rank=77); Enrichr--Queries(rank=755); GTEx--Coexpression(rank=814); ARCHS4--Coexpression(rank=1086)","883","0.25929999999999997","ReMap ChIP-seq,0.2593"
"KMT2A","1.591517348598048720","1.591517348598048720","1.591517348598048720","Activated","105","viper","105","1.591517348598048720",NA,NA,"3","ReMap--ChIP-seq(rank=225); GTEx--Coexpression(rank=1396); ARCHS4--Coexpression(rank=1515)","1573","0.75760000000000005","ReMap ChIP-seq,0.7576"
"ESR2","1.590494246135250922","1.590494246135250922","1.590494246135250922","Activated","106","viper","106","1.590494246135250922",NA,NA,"5","ReMap--ChIP-seq(rank=82); Literature--ChIP-seq(rank=119); Enrichr--Queries(rank=461); GTEx--Coexpression(rank=518); ARCHS4--Coexpression(rank=1002)","922","0.27610000000000001","ReMap ChIP-seq,0.2761"
"IRF2","-1.586942688535337709","-1.586942688535337709","1.586942688535337709","Repressed","107","viper","107","1.586942688535337709",NA,NA,"4","ReMap--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=205); Enrichr--Queries(rank=593); GTEx--Coexpression(rank=691)","477","0.12590000000000001","ARCHS4 Coexpression,0.1259"
"KLF4","1.565477210976080169","1.565477210976080169","1.565477210976080169","Activated","108","viper","108","1.565477210976080169",NA,NA,"5","Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=16); ARCHS4--Coexpression(rank=128); GTEx--Coexpression(rank=224); Enrichr--Queries(rank=322)","160","0.04268000000000000","Literature ChIP-seq,0.04268"
"E2F3","-1.559299766257326025","-1.559299766257326025","1.559299766257326025","Repressed","109","viper","109","1.559299766257326025",NA,NA,"3","ARCHS4--Coexpression(rank=22); Enrichr--Queries(rank=30); GTEx--Coexpression(rank=666)","47","0.01351000000000000","ARCHS4 Coexpression,0.01351"
"ETS2","-1.544577822115129839","-1.544577822115129839","1.544577822115129839","Repressed","110","viper","110","1.544577822115129839",NA,NA,"4","Literature--ChIP-seq(rank=141); ARCHS4--Coexpression(rank=277); Enrichr--Queries(rank=314); GTEx--Coexpression(rank=424)","612","0.17010000000000000","ARCHS4 Coexpression,0.1701"
"NFKB2","1.523857129356083195","1.523857129356083195","1.523857129356083195","Activated","111","viper","111","1.523857129356083195",NA,NA,"4","ReMap--ChIP-seq(rank=163); GTEx--Coexpression(rank=273); Enrichr--Queries(rank=362); ARCHS4--Coexpression(rank=445)","611","0.16990000000000000","GTEx Coexpression,0.1699"
"IRF1","1.515279680266605977","1.515279680266605977","1.515279680266605977","Activated","112","viper","112","1.515279680266605977",NA,NA,"6","ReMap--ChIP-seq(rank=42); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=122); Enrichr--Queries(rank=224); GTEx--Coexpression(rank=278); ARCHS4--Coexpression(rank=591)","528","0.14140000000000000","ReMap ChIP-seq,0.1414"
"BACH2","1.514029536332488934","1.514029536332488934","1.514029536332488934","Activated","113","viper","113","1.514029536332488934",NA,NA,"4","ReMap--ChIP-seq(rank=144); Enrichr--Queries(rank=504); GTEx--Coexpression(rank=864); ARCHS4--Coexpression(rank=1404)","1127","0.35899999999999999","Enrichr Queries,0.359"
"TAL1","1.495614595840465411","1.495614595840465411","1.495614595840465411","Activated","114","viper","114","1.495614595840465411",NA,NA,"6","ENCODE--ChIP-seq(rank=34); Literature--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=289); Enrichr--Queries(rank=883); ARCHS4--Coexpression(rank=952); GTEx--Coexpression(rank=1182)","951","0.28810000000000002","ENCODE ChIP-seq,0.2881"
"PROX1","1.471297383604534437","1.471297383604534437","1.471297383604534437","Activated","115","viper","115","1.471297383604534437",NA,NA,"4","ReMap--ChIP-seq(rank=181); GTEx--Coexpression(rank=865); Enrichr--Queries(rank=917); ARCHS4--Coexpression(rank=1060)","1395","0.53830000000000000","GTEx Coexpression,0.5383"
"BACH1","1.432799207056394408","1.432799207056394408","1.432799207056394408","Activated","116","viper","116","1.432799207056394408",NA,NA,"6","Literature--ChIP-seq(rank=32); ENCODE--ChIP-seq(rank=89); ReMap--ChIP-seq(rank=97); Enrichr--Queries(rank=632); ARCHS4--Coexpression(rank=944); GTEx--Coexpression(rank=1110)","690","0.19510000000000000","Literature ChIP-seq,0.1951"
"ELK4","-1.430032303043210939","-1.430032303043210939","1.430032303043210939","Repressed","117","viper","117","1.430032303043210939",NA,NA,"5","ReMap--ChIP-seq(rank=90); ENCODE--ChIP-seq(rank=102); GTEx--Coexpression(rank=879); Enrichr--Queries(rank=1325); ARCHS4--Coexpression(rank=1445)","993","0.30299999999999999","ReMap ChIP-seq,0.303"
"NEUROD1","1.403453932995661013","1.403453932995661013","1.403453932995661013","Activated","118","viper","118","1.403453932995661013",NA,NA,"4","ReMap--ChIP-seq(rank=114); GTEx--Coexpression(rank=488); Enrichr--Queries(rank=1026); ARCHS4--Coexpression(rank=1350)","995","0.30370000000000003","GTEx Coexpression,0.3037"
"STAT2","1.401317306792609019","1.401317306792609019","1.401317306792609019","Activated","119","viper","119","1.401317306792609019",NA,NA,"5","ENCODE--ChIP-seq(rank=81); ReMap--ChIP-seq(rank=179); ARCHS4--Coexpression(rank=377); Enrichr--Queries(rank=612); GTEx--Coexpression(rank=1191)","800","0.23160000000000000","ARCHS4 Coexpression,0.2316"
"MBD1","1.397070175293568584","1.397070175293568584","1.397070175293568584","Activated","120","viper","120","1.397070175293568584",NA,NA,"3","Enrichr--Queries(rank=473); GTEx--Coexpression(rank=482); ARCHS4--Coexpression(rank=1440)","985","0.29990000000000000","GTEx Coexpression,0.2999"
"NR3C1","-1.380525592729958451","-1.380525592729958451","1.380525592729958451","Repressed","121","viper","121","1.380525592729958451",NA,NA,"6","Literature--ChIP-seq(rank=26); ReMap--ChIP-seq(rank=62); ENCODE--ChIP-seq(rank=63); GTEx--Coexpression(rank=457); Enrichr--Queries(rank=622); ARCHS4--Coexpression(rank=1070)","580","0.15850000000000000","Literature ChIP-seq,0.1585"
"TBX21","1.372439730690862003","1.372439730690862003","1.372439730690862003","Activated","122","viper","122","1.372439730690862003",NA,NA,"4","ReMap--ChIP-seq(rank=189); ARCHS4--Coexpression(rank=726); Enrichr--Queries(rank=854); GTEx--Coexpression(rank=1169)","1267","0.44590000000000002","ARCHS4 Coexpression,0.4459"
"ETS1","-1.368496124163691041","-1.368496124163691041","1.368496124163691041","Repressed","123","viper","123","1.368496124163691041",NA,NA,"6","ENCODE--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=95); Literature--ChIP-seq(rank=163); Enrichr--Queries(rank=319); ARCHS4--Coexpression(rank=354); GTEx--Coexpression(rank=627)","760","0.21740000000000001","ARCHS4 Coexpression,0.2174"
"PRDM1","1.352826625074659672","1.352826625074659672","1.352826625074659672","Activated","124","viper","124","1.352826625074659672",NA,NA,"5","ENCODE--ChIP-seq(rank=54); ReMap--ChIP-seq(rank=89); Enrichr--Queries(rank=184); GTEx--Coexpression(rank=674); ARCHS4--Coexpression(rank=994)","494","0.13109999999999999","Enrichr Queries,0.1311"
"RELA","1.350638005506174411","1.350638005506174411","1.350638005506174411","Activated","125","viper","125","1.350638005506174411",NA,NA,"6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=56); ReMap--ChIP-seq(rank=125); GTEx--Coexpression(rank=283); Enrichr--Queries(rank=658); ARCHS4--Coexpression(rank=916)","295","0.07926999999999999","Literature ChIP-seq,0.07927"
"ATF2","1.343755378742843121","1.343755378742843121","1.343755378742843121","Activated","126","viper","126","1.343755378742843121",NA,NA,"5","ENCODE--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=174); Enrichr--Queries(rank=1348); ARCHS4--Coexpression(rank=1380); GTEx--Coexpression(rank=1429)","1450","0.58589999999999998","ReMap ChIP-seq,0.5859"
"ELF5","1.308438960842765342","1.308438960842765342","1.308438960842765342","Activated","127","viper","127","1.308438960842765342",NA,NA,"5","Literature--ChIP-seq(rank=104); ARCHS4--Coexpression(rank=188); ReMap--ChIP-seq(rank=263); GTEx--Coexpression(rank=600); Enrichr--Queries(rank=626)","437","0.11550000000000001","ARCHS4 Coexpression,0.1155"
"NFATC1","1.291964259242439850","1.291964259242439850","1.291964259242439850","Activated","128","viper","128","1.291964259242439850",NA,NA,"5","ENCODE--ChIP-seq(rank=116); ReMap--ChIP-seq(rank=247); Enrichr--Queries(rank=270); ARCHS4--Coexpression(rank=276); GTEx--Coexpression(rank=857)","610","0.16950000000000001","ARCHS4 Coexpression,0.1695"
"SOX13","1.279857147414326102","1.279857147414326102","1.279857147414326102","Activated","129","viper","129","1.279857147414326102",NA,NA,"4","GTEx--Coexpression(rank=161); ReMap--ChIP-seq(rank=251); Enrichr--Queries(rank=645); ARCHS4--Coexpression(rank=755)","379","0.10020000000000000","GTEx Coexpression,0.1002"
"BCL11A","1.233092395663010210","1.233092395663010210","1.233092395663010210","Activated","130","viper","130","1.233092395663010210",NA,NA,"5","ENCODE--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=160); GTEx--Coexpression(rank=274); Enrichr--Queries(rank=703); ARCHS4--Coexpression(rank=1049)","613","0.17050000000000001","GTEx Coexpression,0.1705"
"E2F2","-1.220147202387853014","-1.220147202387853014","1.220147202387853014","Repressed","131","viper","131","1.220147202387853014",NA,NA,"3","ARCHS4--Coexpression(rank=4); Enrichr--Queries(rank=10); GTEx--Coexpression(rank=777)","9","0.00245700000000000","ARCHS4 Coexpression,0.002457"
"ZEB2","-1.210974181222033597","-1.210974181222033597","1.210974181222033597","Repressed","132","viper","132","1.210974181222033597",NA,NA,"4","ReMap--ChIP-seq(rank=244); Enrichr--Queries(rank=502); GTEx--Coexpression(rank=915); ARCHS4--Coexpression(rank=1261)","1125","0.35749999999999998","Enrichr Queries,0.3575"
"EGR1","-1.206525855821522608","-1.206525855821522608","1.206525855821522608","Repressed","133","viper","133","1.206525855821522608",NA,NA,"6","ReMap--ChIP-seq(rank=22); Literature--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=67); Enrichr--Queries(rank=155); GTEx--Coexpression(rank=185); ARCHS4--Coexpression(rank=1137)","276","0.07407000000000000","ReMap ChIP-seq,0.07407"
"E2F7","-1.194400786530126268","-1.194400786530126268","1.194400786530126268","Repressed","134","viper","134","1.194400786530126268",NA,NA,"5","ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=8); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=83)","6","0.00184300000000000","ARCHS4 Coexpression,0.001843"
"ATF7","1.174093846798543561","1.174093846798543561","1.174093846798543561","Activated","135","viper","135","1.174093846798543561",NA,NA,"4","ReMap--ChIP-seq(rank=119); GTEx--Coexpression(rank=380); ARCHS4--Coexpression(rank=1052); Enrichr--Queries(rank=1267)","814","0.23649999999999999","GTEx Coexpression,0.2365"
"STAT5B","1.168037448132486666","1.168037448132486666","1.168037448132486666","Activated","136","viper","136","1.168037448132486666",NA,NA,"4","ReMap--ChIP-seq(rank=193); ARCHS4--Coexpression(rank=733); Enrichr--Queries(rank=896); GTEx--Coexpression(rank=1437)","1271","0.45019999999999999","ARCHS4 Coexpression,0.4502"
"IRF9","1.166329309932254921","1.166329309932254921","1.166329309932254921","Activated","137","viper","137","1.166329309932254921",NA,NA,"4","ARCHS4--Coexpression(rank=226); GTEx--Coexpression(rank=256); ReMap--ChIP-seq(rank=287); Enrichr--Queries(rank=343)","520","0.13880000000000001","ARCHS4 Coexpression,0.1388"
"MAX","1.162932727829170343","1.162932727829170343","1.162932727829170343","Activated","138","viper","138","1.162932727829170343",NA,NA,"5","ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=44); GTEx--Coexpression(rank=873); Enrichr--Queries(rank=889); ARCHS4--Coexpression(rank=1304)","548","0.14810000000000001","ReMap ChIP-seq,0.1481"
"NFE2L1","1.151648340142486626","1.151648340142486626","1.151648340142486626","Activated","139","viper","139","1.151648340142486626",NA,NA,"4","ReMap--ChIP-seq(rank=264); Enrichr--Queries(rank=1033); GTEx--Coexpression(rank=1133); ARCHS4--Coexpression(rank=1604)","1546","0.70499999999999996","GTEx Coexpression,0.705"
"SOX2","1.134931363868097565","1.134931363868097565","1.134931363868097565","Activated","140","viper","140","1.134931363868097565",NA,NA,"5","Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=175); ARCHS4--Coexpression(rank=604); Enrichr--Queries(rank=751); GTEx--Coexpression(rank=891)","88","0.02439000000000000","Literature ChIP-seq,0.02439"
"MYC","-1.131150288830833572","-1.131150288830833572","1.131150288830833572","Repressed","141","viper","141","1.131150288830833572",NA,NA,"6","ENCODE--ChIP-seq(rank=18); Literature--ChIP-seq(rank=19); Enrichr--Queries(rank=72); ReMap--ChIP-seq(rank=200); ARCHS4--Coexpression(rank=453); GTEx--Coexpression(rank=567)","193","0.05128000000000000","Enrichr Queries,0.05128"
"ETV4","1.123949247267940210","1.123949247267940210","1.123949247267940210","Activated","142","viper","142","1.123949247267940210",NA,NA,"4","GTEx--Coexpression(rank=30); Enrichr--Queries(rank=35); ReMap--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=92)","67","0.01867000000000000","GTEx Coexpression,0.01867"
"ZBTB7A","1.118835223172098159","1.118835223172098159","1.118835223172098159","Activated","143","viper","143","1.118835223172098159",NA,NA,"5","ENCODE--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=49); ARCHS4--Coexpression(rank=460); GTEx--Coexpression(rank=1092); Enrichr--Queries(rank=1214)","597","0.16500000000000001","ReMap ChIP-seq,0.165"
"HINFP","-1.102678682250995301","-1.102678682250995301","1.102678682250995301","Repressed","144","viper","144","1.102678682250995301",NA,NA,"3","ReMap--ChIP-seq(rank=238); ARCHS4--Coexpression(rank=352); GTEx--Coexpression(rank=542)","757","0.21620000000000000","ARCHS4 Coexpression,0.2162"
"NRF1","-1.094736809367725217","-1.094736809367725217","1.094736809367725217","Repressed","145","viper","145","1.094736809367725217",NA,NA,"5","ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=80); ARCHS4--Coexpression(rank=195); Enrichr--Queries(rank=231); GTEx--Coexpression(rank=1367)","453","0.11980000000000000","ARCHS4 Coexpression,0.1198"
"GABPA","-1.047552252012187157","-1.047552252012187157","1.047552252012187157","Repressed","146","viper","146","1.047552252012187157",NA,NA,"6","ENCODE--ChIP-seq(rank=97); Literature--ChIP-seq(rank=129); ReMap--ChIP-seq(rank=201); ARCHS4--Coexpression(rank=471); Enrichr--Queries(rank=881); GTEx--Coexpression(rank=990)","954","0.28930000000000000","ARCHS4 Coexpression,0.2893"
"RELB","-1.029514958782246969","-1.029514958782246969","1.029514958782246969","Repressed","147","viper","147","1.029514958782246969",NA,NA,"4","ReMap--ChIP-seq(rank=105); GTEx--Coexpression(rank=209); Enrichr--Queries(rank=214); ARCHS4--Coexpression(rank=437)","491","0.13009999999999999","GTEx Coexpression,0.1301"
"TEAD2","-1.009918113005709994","-1.009918113005709994","1.009918113005709994","Repressed","148","viper","148","1.009918113005709994",NA,NA,"4","Enrichr--Queries(rank=66); ReMap--ChIP-seq(rank=213); GTEx--Coexpression(rank=231); ARCHS4--Coexpression(rank=366)","175","0.04701000000000000","Enrichr Queries,0.04701"
"GFI1B","0.997128365814038520","0.997128365814038520","0.997128365814038520","Activated","149","viper","149","0.997128365814038520",NA,NA,"5","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=83); Enrichr--Queries(rank=115); GTEx--Coexpression(rank=1066); ARCHS4--Coexpression(rank=1197)","255","0.06734000000000000","ReMap ChIP-seq,0.06734"
"MBD2","0.997035029440934140","0.997035029440934140","0.997035029440934140","Activated","150","viper","150","0.997035029440934140",NA,NA,"4","ReMap--ChIP-seq(rank=275); Enrichr--Queries(rank=832); ARCHS4--Coexpression(rank=940); GTEx--Coexpression(rank=1333)","1438","0.57740000000000002","ARCHS4 Coexpression,0.5774"
"ZNF217","0.990361456843427690","0.990361456843427690","0.990361456843427690","Activated","151","viper","151","0.990361456843427690",NA,NA,"6","ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=71); ReMap--ChIP-seq(rank=221); Enrichr--Queries(rank=296); GTEx--Coexpression(rank=412); ARCHS4--Coexpression(rank=1462)","736","0.21079999999999999","Enrichr Queries,0.2108"
"VDR","0.983577348020660991","0.983577348020660991","0.983577348020660991","Activated","152","viper","152","0.983577348020660991",NA,NA,"5","Literature--ChIP-seq(rank=82); ARCHS4--Coexpression(rank=83); GTEx--Coexpression(rank=118); ReMap--ChIP-seq(rank=126); Enrichr--Queries(rank=158)","192","0.05098000000000000","ARCHS4 Coexpression,0.05098"
"NR5A2","0.983491542643603722","0.983491542643603722","0.983491542643603722","Activated","153","viper","153","0.983491542643603722",NA,NA,"4","ReMap--ChIP-seq(rank=178); ARCHS4--Coexpression(rank=421); Enrichr--Queries(rank=1025); GTEx--Coexpression(rank=1485)","881","0.25860000000000000","ARCHS4 Coexpression,0.2586"
"CEBPB","0.982350277649680748","0.982350277649680748","0.982350277649680748","Activated","154","viper","154","0.982350277649680748",NA,NA,"6","ENCODE--ChIP-seq(rank=20); Literature--ChIP-seq(rank=75); Enrichr--Queries(rank=163); ReMap--ChIP-seq(rank=235); ARCHS4--Coexpression(rank=274); GTEx--Coexpression(rank=1177)","439","0.11609999999999999","Enrichr Queries,0.1161"
"SRF","-0.978087392935015121","-0.978087392935015121","0.978087392935015121","Repressed","155","viper","155","0.978087392935015121",NA,NA,"6","ENCODE--ChIP-seq(rank=39); Literature--ChIP-seq(rank=135); ReMap--ChIP-seq(rank=159); Enrichr--Queries(rank=213); GTEx--Coexpression(rank=1015); ARCHS4--Coexpression(rank=1347)","556","0.15170000000000000","Enrichr Queries,0.1517"
"SREBF1","0.958880424961367606","0.958880424961367606","0.958880424961367606","Activated","156","viper","156","0.958880424961367606",NA,NA,"6","ReMap--ChIP-seq(rank=69); ENCODE--ChIP-seq(rank=95); Literature--ChIP-seq(rank=142); Enrichr--Queries(rank=527); GTEx--Coexpression(rank=905); ARCHS4--Coexpression(rank=1413)","803","0.23230000000000001","ReMap ChIP-seq,0.2323"
"ZNF592","-0.955925314133346249","-0.955925314133346249","0.955925314133346249","Repressed","157","viper","157","0.955925314133346249",NA,NA,"4","ReMap--ChIP-seq(rank=155); GTEx--Coexpression(rank=467); Enrichr--Queries(rank=1224); ARCHS4--Coexpression(rank=1399)","959","0.29060000000000002","GTEx Coexpression,0.2906"
