"TF","HMVL_TOR10","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"TP63","3.081839330488537421","3.081839330488537421","3.081839330488537421","Activated","21","viper","21","3.081839330488537421",NA,NA,"5","Literature--ChIP-seq(rank=88); GTEx--Coexpression(rank=134); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=354); ARCHS4--Coexpression(rank=521)","312","0.08339000000000001","GTEx Coexpression,0.08339"
"POU2F1","3.079782657547993630","3.079782657547993630","3.079782657547993630","Activated","22","viper","22","3.079782657547993630",NA,NA,"4","ReMap--ChIP-seq(rank=147); ARCHS4--Coexpression(rank=451); GTEx--Coexpression(rank=661); Enrichr--Queries(rank=952)","924","0.27700000000000002","ARCHS4 Coexpression,0.277"
"ELF3","3.034058516924842408","3.034058516924842408","3.034058516924842408","Activated","23","viper","23","3.034058516924842408",NA,NA,"4","ReMap--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=70); GTEx--Coexpression(rank=113); Enrichr--Queries(rank=406)","162","0.04300000000000000","ARCHS4 Coexpression,0.043"
"NFYA","-3.007858613082254884","-3.007858613082254884","3.007858613082254884","Repressed","24","viper","24","3.007858613082254884",NA,NA,"5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=13); GTEx--Coexpression(rank=112); ARCHS4--Coexpression(rank=512); Enrichr--Queries(rank=524)","126","0.03390000000000000","ENCODE ChIP-seq,0.0339"
"MAFK","3.000803819040678277","3.000803819040678277","3.000803819040678277","Activated","25","viper","25","3.000803819040678277",NA,NA,"5","ENCODE--ChIP-seq(rank=26); Enrichr--Queries(rank=220); ReMap--ChIP-seq(rank=229); GTEx--Coexpression(rank=478); ARCHS4--Coexpression(rank=1230)","571","0.15670000000000001","Enrichr Queries,0.1567"
"RUNX2","2.958428902960232865","2.958428902960232865","2.958428902960232865","Activated","26","viper","26","2.958428902960232865",NA,NA,"5","Literature--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=252); Enrichr--Queries(rank=268); ARCHS4--Coexpression(rank=611); GTEx--Coexpression(rank=848)","542","0.14630000000000001","Literature ChIP-seq,0.1463"
"HNF4G","2.936494433058820075","2.936494433058820075","2.936494433058820075","Activated","27","viper","27","2.936494433058820075",NA,NA,"5","ARCHS4--Coexpression(rank=44); ENCODE--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=60); GTEx--Coexpression(rank=75); Enrichr--Queries(rank=315)","97","0.02703000000000000","ARCHS4 Coexpression,0.02703"
"THAP11","2.924177225689154724","2.924177225689154724","2.924177225689154724","Activated","28","viper","28","2.924177225689154724",NA,NA,"5","Literature--ChIP-seq(rank=131); ReMap--ChIP-seq(rank=190); Enrichr--Queries(rank=732); ARCHS4--Coexpression(rank=1209); GTEx--Coexpression(rank=1545)","1371","0.52139999999999997","Enrichr Queries,0.5214"
"NANOG","2.866637721800165295","2.866637721800165295","2.866637721800165295","Activated","29","viper","29","2.866637721800165295",NA,NA,"6","Literature--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=96); ReMap--ChIP-seq(rank=197); ARCHS4--Coexpression(rank=222); GTEx--Coexpression(rank=368); Enrichr--Queries(rank=591)","322","0.08537000000000000","Literature ChIP-seq,0.08537"
"POU5F1","2.853418264704445928","2.853418264704445928","2.853418264704445928","Activated","30","viper","30","2.853418264704445928",NA,NA,"5","Literature--ChIP-seq(rank=25); Enrichr--Queries(rank=134); ARCHS4--Coexpression(rank=183); ReMap--ChIP-seq(rank=185); GTEx--Coexpression(rank=456)","360","0.09544000000000000","Enrichr Queries,0.09544"
"NFYB","-2.842267186525779810","-2.842267186525779810","2.842267186525779810","Repressed","31","viper","31","2.842267186525779810",NA,NA,"5","ReMap--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=38); Enrichr--Queries(rank=82); GTEx--Coexpression(rank=1497)","60","0.01684000000000000","ReMap ChIP-seq,0.01684"
"FOSL1","2.841865606755807239","2.841865606755807239","2.841865606755807239","Activated","32","viper","32","2.841865606755807239",NA,NA,"5","ENCODE--ChIP-seq(rank=50); Enrichr--Queries(rank=54); ARCHS4--Coexpression(rank=90); ReMap--ChIP-seq(rank=164); GTEx--Coexpression(rank=941)","147","0.03846000000000000","Enrichr Queries,0.03846"
"MAFG","2.723071686851628481","2.723071686851628481","2.723071686851628481","Activated","33","viper","33","2.723071686851628481",NA,NA,"4","ReMap--ChIP-seq(rank=282); Enrichr--Queries(rank=355); GTEx--Coexpression(rank=847); ARCHS4--Coexpression(rank=1288)","863","0.25280000000000002","Enrichr Queries,0.2528"
"TFAP2A","2.684902057824833044","2.684902057824833044","2.684902057824833044","Activated","34","viper","34","2.684902057824833044",NA,NA,"6","ReMap--ChIP-seq(rank=75); ENCODE--ChIP-seq(rank=88); Literature--ChIP-seq(rank=101); GTEx--Coexpression(rank=132); ARCHS4--Coexpression(rank=146); Enrichr--Queries(rank=396)","307","0.08214000000000000","GTEx Coexpression,0.08214"
"TEAD4","2.670464712774346161","2.670464712774346161","2.670464712774346161","Activated","35","viper","35","2.670464712774346161",NA,NA,"6","ENCODE--ChIP-seq(rank=21); Enrichr--Queries(rank=38); Literature--ChIP-seq(rank=44); ARCHS4--Coexpression(rank=69); ReMap--ChIP-seq(rank=146); GTEx--Coexpression(rank=1340)","98","0.02707000000000000","Enrichr Queries,0.02707"
"PPARA","2.648570398146925076","2.648570398146925076","2.648570398146925076","Activated","36","viper","36","2.648570398146925076",NA,NA,"3","ARCHS4--Coexpression(rank=569); Enrichr--Queries(rank=635); GTEx--Coexpression(rank=1328)","1103","0.34949999999999992","ARCHS4 Coexpression,0.3495"
"TFDP1","-2.648015544620553108","-2.648015544620553108","2.648015544620553108","Repressed","37","viper","37","2.648015544620553108",NA,NA,"4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=13); Enrichr--Queries(rank=22)","10","0.00248900000000000","GTEx Coexpression,0.002489"
"EBF1","2.634250626424552433","2.634250626424552433","2.634250626424552433","Activated","38","viper","38","2.634250626424552433",NA,NA,"5","ENCODE--ChIP-seq(rank=87); ReMap--ChIP-seq(rank=151); GTEx--Coexpression(rank=359); Enrichr--Queries(rank=866); ARCHS4--Coexpression(rank=959)","777","0.22339999999999999","GTEx Coexpression,0.2234"
"TEAD1","2.614032983024514145","2.614032983024514145","2.614032983024514145","Activated","39","viper","39","2.614032983024514145",NA,NA,"4","ReMap--ChIP-seq(rank=203); ARCHS4--Coexpression(rank=386); Enrichr--Queries(rank=924); GTEx--Coexpression(rank=1141)","816","0.23710000000000001","ARCHS4 Coexpression,0.2371"
"THAP1","-2.595529646027221027","-2.595529646027221027","2.595529646027221027","Repressed","40","viper","40","2.595529646027221027",NA,NA,"5","ReMap--ChIP-seq(rank=117); ENCODE--ChIP-seq(rank=118); Enrichr--Queries(rank=817); ARCHS4--Coexpression(rank=1553); GTEx--Coexpression(rank=1604)","1191","0.39389999999999997","ReMap ChIP-seq,0.3939"
"MAFB","2.580820370999461932","2.580820370999461932","2.580820370999461932","Activated","41","viper","41","2.580820370999461932",NA,NA,"4","GTEx--Coexpression(rank=195); Enrichr--Queries(rank=241); ARCHS4--Coexpression(rank=271); ReMap--ChIP-seq(rank=291)","460","0.12130000000000001","GTEx Coexpression,0.1213"
"MNT","2.579269677386140103","2.579269677386140103","2.579269677386140103","Activated","42","viper","42","2.579269677386140103",NA,NA,"4","ReMap--ChIP-seq(rank=64); Enrichr--Queries(rank=663); GTEx--Coexpression(rank=1052); ARCHS4--Coexpression(rank=1348)","754","0.21550000000000000","ReMap ChIP-seq,0.2155"
