Pathway,WGGAATGY TEF1 Q6,TEF1 Q6,LEF1 Q2,SMAD Q6,ZIC3 01,TAXCREB 02,SREBP1 Q6,SGCGSSAAA E2F1DP2 01,E2F 02,E2F1DP1 01,E2F1DP2 01,E2F4DP2 01,E2F4DP1 01,E2F1 Q6,E2F1DP1RB 01,E2F1 Q3,E2F1 Q6 01,E2F1 Q4 01,E2F Q3 01,E2F Q4 01,E2F Q3,E2F 03,MYCMAX 01,MAX 01,MYCMAX B,TCANNTGAY SREBP1 01,TTCNRGNNNNTTC HSF Q6,CREB Q4 01,YY1 02,CCTNTMAGA UNKNOWN,PITX2 Q2,LMO2COM 02,FOX Q2,FOXJ2 01,TTCYNRGAA STAT5B 01,HMEF2 Q6,RSRFC4 Q2,GR 01,PR 02,HOXA4 Q2
WGGAATGY TEF1 Q6,1.0,0.23772609819121446,0.041343669250646,0.07751937984496124,0.07493540051679587,0.015503875968992248,0.041343669250646,0.012919896640826873,0.028423772609819122,0.028423772609819122,0.028423772609819122,0.028423772609819122,0.028423772609819122,0.028423772609819122,0.028423772609819122,0.03875968992248062,0.031007751937984496,0.023255813953488372,0.025839793281653745,0.025839793281653745,0.028423772609819122,0.023255813953488372,0.04392764857881137,0.031007751937984496,0.03617571059431524,0.056847545219638244,0.025839793281653745,0.025839793281653745,0.023255813953488372,0.025839793281653745,0.05167958656330749,0.05167958656330749,0.059431524547803614,0.05167958656330749,0.04909560723514212,0.020671834625323,0.046511627906976744,0.031007751937984496,0.023255813953488372,0.056847545219638244
TEF1 Q6,0.4052863436123348,1.0,0.1277533039647577,0.07048458149779736,0.05726872246696035,0.00881057268722467,0.048458149779735685,0.004405286343612335,0.013215859030837005,0.013215859030837005,0.013215859030837005,0.013215859030837005,0.01762114537444934,0.01762114537444934,0.030837004405286344,0.02643171806167401,0.02643171806167401,0.03524229074889868,0.039647577092511016,0.030837004405286344,0.030837004405286344,0.01762114537444934,0.04405286343612335,0.039647577092511016,0.02643171806167401,0.05286343612334802,0.030837004405286344,0.02643171806167401,0.030837004405286344,0.02643171806167401,0.048458149779735685,0.022026431718061675,0.039647577092511016,0.030837004405286344,0.039647577092511016,0.02643171806167401,0.03524229074889868,0.039647577092511016,0.02643171806167401,0.07488986784140969
LEF1 Q2,0.06926406926406926,0.12554112554112554,1.0,0.0735930735930736,0.06926406926406926,0.008658008658008658,0.05194805194805195,0.008658008658008658,0.021645021645021644,0.021645021645021644,0.021645021645021644,0.021645021645021644,0.021645021645021644,0.017316017316017316,0.021645021645021644,0.017316017316017316,0.008658008658008658,0.004329004329004329,0.008658008658008658,0.008658008658008658,0.008658008658008658,0.017316017316017316,0.030303030303030304,0.017316017316017316,0.030303030303030304,0.04329004329004329,0.008658008658008658,0.021645021645021644,0.012987012987012988,0.017316017316017316,0.047619047619047616,0.021645021645021644,0.047619047619047616,0.03463203463203463,0.05194805194805195,0.021645021645021644,0.030303030303030304,0.06060606060606061,0.047619047619047616,0.06926406926406926
SMAD Q6,0.11627906976744186,0.06201550387596899,0.06589147286821706,1.0,0.08527131782945736,0.007751937984496124,0.06976744186046512,0.031007751937984496,0.04263565891472868,0.04263565891472868,0.04263565891472868,0.04263565891472868,0.03875968992248062,0.03875968992248062,0.05426356589147287,0.06589147286821706,0.05426356589147287,0.06589147286821706,0.06976744186046512,0.07364341085271318,0.08139534883720931,0.07364341085271318,0.050387596899224806,0.04263565891472868,0.06589147286821706,0.046511627906976744,0.01937984496124031,0.031007751937984496,0.01937984496124031,0.031007751937984496,0.06589147286821706,0.050387596899224806,0.04263565891472868,0.03488372093023256,0.07364341085271318,0.03875968992248062,0.03488372093023256,0.03488372093023256,0.027131782945736434,0.06976744186046512
ZIC3 01,0.11372549019607843,0.050980392156862744,0.06274509803921569,0.08627450980392157,1.0,0.00784313725490196,0.08235294117647059,0.0196078431372549,0.043137254901960784,0.0392156862745098,0.0392156862745098,0.0392156862745098,0.043137254901960784,0.0392156862745098,0.043137254901960784,0.0392156862745098,0.0392156862745098,0.043137254901960784,0.043137254901960784,0.043137254901960784,0.043137254901960784,0.054901960784313725,0.03529411764705882,0.03137254901960784,0.07058823529411765,0.047058823529411764,0.0392156862745098,0.00784313725490196,0.03529411764705882,0.03137254901960784,0.047058823529411764,0.01568627450980392,0.058823529411764705,0.050980392156862744,0.043137254901960784,0.0196078431372549,0.0196078431372549,0.043137254901960784,0.03137254901960784,0.047058823529411764
TAXCREB 02,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.07407407407407407,1.0,0.1111111111111111,0.0,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.0,0.037037037037037035,0.0,0.0,0.07407407407407407,0.037037037037037035,0.0,0.0,0.07407407407407407,0.037037037037037035,0.0,0.037037037037037035,0.037037037037037035,0.0
SREBP1 Q6,0.06477732793522267,0.044534412955465584,0.048582995951417005,0.0728744939271255,0.08502024291497975,0.012145748987854251,1.0,0.012145748987854251,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.020242914979757085,0.03643724696356275,0.04048582995951417,0.04048582995951417,0.03643724696356275,0.044534412955465584,0.04048582995951417,0.048582995951417005,0.048582995951417005,0.05263157894736842,0.048582995951417005,0.05263157894736842,0.06477732793522267,0.08097165991902834,0.020242914979757085,0.048582995951417005,0.03643724696356275,0.020242914979757085,0.04048582995951417,0.05263157894736842,0.048582995951417005,0.06072874493927125,0.048582995951417005,0.020242914979757085,0.048582995951417005,0.03643724696356275,0.012145748987854251,0.05263157894736842
SGCGSSAAA E2F1DP2 01,0.029411764705882353,0.0058823529411764705,0.011764705882352941,0.047058823529411764,0.029411764705882353,0.0,0.01764705882352941,1.0,1.0,0.9941176470588236,0.9941176470588236,0.9941176470588236,0.9529411764705882,0.9411764705882353,0.7352941176470589,0.7470588235294118,0.6705882352941176,0.5294117647058824,0.5294117647058824,0.47058823529411764,0.4,0.48823529411764705,0.1,0.07647058823529412,0.07647058823529412,0.058823529411764705,0.011764705882352941,0.023529411764705882,0.047058823529411764,0.023529411764705882,0.011764705882352941,0.011764705882352941,0.029411764705882353,0.01764705882352941,0.041176470588235294,0.011764705882352941,0.0058823529411764705,0.029411764705882353,0.03529411764705882,0.041176470588235294
E2F 02,0.046218487394957986,0.012605042016806723,0.02100840336134454,0.046218487394957986,0.046218487394957986,0.004201680672268907,0.02100840336134454,0.7142857142857143,1.0,0.9957983193277311,0.9957983193277311,0.9957983193277311,0.9453781512605042,0.8991596638655462,0.7394957983193278,0.7142857142857143,0.5882352941176471,0.46218487394957986,0.47058823529411764,0.4117647058823529,0.38235294117647056,0.4327731092436975,0.08823529411764706,0.06302521008403361,0.07563025210084033,0.05042016806722689,0.02100840336134454,0.02100840336134454,0.058823529411764705,0.01680672268907563,0.01680672268907563,0.02100840336134454,0.029411764705882353,0.01680672268907563,0.037815126050420166,0.01680672268907563,0.01680672268907563,0.029411764705882353,0.029411764705882353,0.03361344537815126
E2F1DP1 01,0.046218487394957986,0.012605042016806723,0.02100840336134454,0.046218487394957986,0.04201680672268908,0.004201680672268907,0.02100840336134454,0.7100840336134454,0.9957983193277311,1.0,1.0,1.0,0.9411764705882353,0.8949579831932774,0.7352941176470589,0.7100840336134454,0.5840336134453782,0.4579831932773109,0.46638655462184875,0.40756302521008403,0.37815126050420167,0.42857142857142855,0.08823529411764706,0.06302521008403361,0.07142857142857142,0.046218487394957986,0.01680672268907563,0.02100840336134454,0.058823529411764705,0.01680672268907563,0.01680672268907563,0.02100840336134454,0.029411764705882353,0.01680672268907563,0.037815126050420166,0.01680672268907563,0.01680672268907563,0.029411764705882353,0.029411764705882353,0.029411764705882353
E2F1DP2 01,0.046218487394957986,0.012605042016806723,0.02100840336134454,0.046218487394957986,0.04201680672268908,0.004201680672268907,0.02100840336134454,0.7100840336134454,0.9957983193277311,1.0,1.0,1.0,0.9411764705882353,0.8949579831932774,0.7352941176470589,0.7100840336134454,0.5840336134453782,0.4579831932773109,0.46638655462184875,0.40756302521008403,0.37815126050420167,0.42857142857142855,0.08823529411764706,0.06302521008403361,0.07142857142857142,0.046218487394957986,0.01680672268907563,0.02100840336134454,0.058823529411764705,0.01680672268907563,0.01680672268907563,0.02100840336134454,0.029411764705882353,0.01680672268907563,0.037815126050420166,0.01680672268907563,0.01680672268907563,0.029411764705882353,0.029411764705882353,0.029411764705882353
E2F4DP2 01,0.046218487394957986,0.012605042016806723,0.02100840336134454,0.046218487394957986,0.04201680672268908,0.004201680672268907,0.02100840336134454,0.7100840336134454,0.9957983193277311,1.0,1.0,1.0,0.9411764705882353,0.8949579831932774,0.7352941176470589,0.7100840336134454,0.5840336134453782,0.4579831932773109,0.46638655462184875,0.40756302521008403,0.37815126050420167,0.42857142857142855,0.08823529411764706,0.06302521008403361,0.07142857142857142,0.046218487394957986,0.01680672268907563,0.02100840336134454,0.058823529411764705,0.01680672268907563,0.01680672268907563,0.02100840336134454,0.029411764705882353,0.01680672268907563,0.037815126050420166,0.01680672268907563,0.01680672268907563,0.029411764705882353,0.029411764705882353,0.029411764705882353
