"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","HIF1A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.5","2","5","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=47); ARCHS4--Coexpression(rank=117); GTEx--Coexpression(rank=624); Enrichr--Queries(rank=834)","47","rank=2; score=5.0817; direction=Activated","rank=3; score=4.9248; p=8.4442e-07; direction=Activated"
"2","CEBPA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.5","14","5","ReMap--ChIP-seq(rank=39); Literature--ChIP-seq(rank=80); Enrichr--Queries(rank=134); GTEx--Coexpression(rank=187); ARCHS4--Coexpression(rank=193)","352","rank=19; score=3.1392; direction=Activated","rank=14; score=3.8163; p=0.00013549; direction=Activated"
"3","VDR","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.5","12","5","ARCHS4--Coexpression(rank=20); Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=51); GTEx--Coexpression(rank=133); Enrichr--Queries(rank=195)","48","rank=25; score=3.0209; direction=Activated","rank=12; score=3.8337; p=0.00012625; direction=Activated"
"4","CEBPB","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.0","18","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=40); Literature--ChIP-seq(rank=96); GTEx--Coexpression(rank=100); ARCHS4--Coexpression(rank=175)","33","rank=18; score=3.2526; direction=Activated","rank=24; score=3.518; p=0.00043481; direction=Activated"
"5","KLF5","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.5","10","5","ARCHS4--Coexpression(rank=33); Literature--ChIP-seq(rank=39); GTEx--Coexpression(rank=129); ReMap--ChIP-seq(rank=175); Enrichr--Queries(rank=192)","82","rank=10; score=3.8265; direction=Activated","rank=35; score=3.271; p=0.0010719; direction=Activated"
"6","ESR2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.5","11","5","Literature--ChIP-seq(rank=13); ReMap--ChIP-seq(rank=133); Enrichr--Queries(rank=525); ARCHS4--Coexpression(rank=666); GTEx--Coexpression(rank=1062)","300","rank=11; score=3.6438; direction=Activated","rank=34; score=3.3061; p=0.00094592; direction=Activated"
"7","STAT5B","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.5","15","4","GTEx--Coexpression(rank=98); ReMap--ChIP-seq(rank=179); ARCHS4--Coexpression(rank=449); Enrichr--Queries(rank=801)","238","rank=15; score=3.3385; direction=Activated","rank=42; score=3.114; p=0.0018456; direction=Activated"
"8","PPARG","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.5","2","5","ReMap--ChIP-seq(rank=3); Literature--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=25); Enrichr--Queries(rank=49); GTEx--Coexpression(rank=107)","41","rank=57; score=2.1365; direction=Activated","rank=2; score=5.3405; p=9.2686e-08; direction=Activated"
"9","ZBTB7A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.5","27","5","ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=118); ARCHS4--Coexpression(rank=414); GTEx--Coexpression(rank=472); Enrichr--Queries(rank=1052)","792","rank=27; score=2.9792; direction=Repressed","rank=32; score=3.3175; p=0.00090821; direction=Activated"
"10","SMAD3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.0","9","5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=28); GTEx--Coexpression(rank=77); Enrichr--Queries(rank=412); ARCHS4--Coexpression(rank=426)","190","rank=55; score=2.1699; direction=Activated","rank=9; score=4.0711; p=4.6782e-05; direction=Activated"
