"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","E2F1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.666666666666667","2","6","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=19)","12","rank=12; score=0.004274","rank=3; score=92.119; p=4.2626e-24; adjP=5.3709e-22","rank=2; score=6.5732; p=4.9261e-11; direction=Repressed"
"2","E2F4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.000000000000000","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=1127)","27","rank=27; score=0.008475","rank=2; score=1642.8; p=7.1929e-113; adjP=7.4806e-111","rank=1; score=14.093; p=4.1865e-45; direction=Repressed"
"3","TP53","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.333333333333332","5","5","ARCHS4--Coexpression(rank=13); Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=168); Enrichr--Queries(rank=271)","26","rank=26; score=0.007985","rank=5; score=41.375; p=1.1959e-07; adjP=2.0011e-05","rank=36; score=2.6806; p=0.0073493; direction=Repressed"
"4","TFDP1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.333333333333332","8","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=19); ReMap--ChIP-seq(rank=20)","8","rank=8; score=0.002489","rank=16; score=119.01; p=0.00013071; adjP=0.0093735","rank=55; score=2.4773; p=0.013236; direction=Repressed"
"5","E2F3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.333333333333336","8","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1222)","36","rank=36; score=0.01106","rank=59; score=23.987; p=0.0073768; adjP=0.16833","rank=8; score=3.8674; p=0.00011001; direction=Repressed"
"6","CDX2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.666666666666664","5","5","ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=719)","111","rank=111; score=0.02826","rank=30; score=22.328; p=0.0014734; adjP=0.013621","rank=5; score=4.5586; p=5.1507e-06; direction=Activated"
"7","HNF4A","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.666666666666671","23","6","Literature--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=36); GTEx--Coexpression(rank=81); ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=309)","83","rank=83; score=0.02211","rank=94; score=5.8996; p=0.0093957; adjP=0.030617","rank=23; score=3.122; p=0.0017963; direction=Activated"
"8","NFYA","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","75.333333333333329","6","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); GTEx--Coexpression(rank=580); Enrichr--Queries(rank=590); ARCHS4--Coexpression(rank=1038)","98","rank=98; score=0.02542","rank=6; score=41.079; p=1.4631e-12; adjP=5.0721e-11","rank=122; score=1.8792; p=0.060219; direction=Repressed"
"9","E2F2","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","84.000000000000000","9","3","ARCHS4--Coexpression(rank=5); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=1179)","9","rank=9; score=0.003071","rank=230; score=1.7805; p=0.28633; adjP=0.87172","rank=13; score=3.7109; p=0.00020656; direction=Repressed"
"10","FOXM1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","91.333333333333343","2","6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=4)","2","rank=2; score=0.0006223","rank=4; score=1517; p=5.7984e-58; adjP=4.3836e-55","rank=268; score=1.1722; p=0.24111; direction=Repressed"
