Pathway,PROTON MOTIVE FORCE DRIVEN ATP SYNTHESIS,ATP BIOSYNTHETIC PROCESS,NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS,NUCLEOTIDE BIOSYNTHETIC PROCESS,NUCLEOSIDE PHOSPHATE BIOSYNTHETIC PROCESS,"PURINE CONTAINING COMPOUND BIOSYNTHETIC
PROCESS",RIBOSE PHOSPHATE BIOSYNTHETIC PROCESS,RIBOSE PHOSPHATE METABOLIC PROCESS,ATP METABOLIC PROCESS,NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS,ATP SYNTHESIS COUPLED ELECTRON TRANSPORT,OXIDATIVE PHOSPHORYLATION,"MITOCHONDRIAL ELECTRON TRANSPORT NADH TO
UBIQUINONE",CELLULAR RESPIRATION,"GENERATION OF PRECURSOR METABOLITES AND
ENERGY","MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX
ASSEMBLY",PROTON TRANSMEMBRANE TRANSPORT,ELECTRON TRANSPORT CHAIN,"MITOCHONDRIAL ELECTRON TRANSPORT CYTOCHROME C
TO OXYGEN",SMALL MOLECULE CATABOLIC PROCESS,MONOCARBOXYLIC ACID CATABOLIC PROCESS,ORGANIC ACID CATABOLIC PROCESS,FATTY ACID METABOLIC PROCESS,LIPID MODIFICATION,LIPID CATABOLIC PROCESS,EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION,DNA REPLICATION,DOUBLE STRAND BREAK REPAIR,NUCLEAR CHROMOSOME SEGREGATION,CHROMOSOME SEGREGATION,SISTER CHROMATID SEGREGATION,MITOTIC SISTER CHROMATID SEGREGATION,MITOTIC NUCLEAR DIVISION,REGULATION OF CHROMOSOME ORGANIZATION,REGULATION OF CELL CYCLE PHASE TRANSITION,REGULATION OF PH,RNA SPLICING,"RNA SPLICING VIA TRANSESTERIFICATION
REACTIONS",RNA LOCALIZATION,CYTOPLASMIC TRANSLATION
PROTON MOTIVE FORCE DRIVEN ATP SYNTHESIS,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6052631578947368,0.8947368421052632,0.5394736842105263,0.8947368421052632,0.8947368421052632,0.2236842105263158,0.7894736842105263,0.6052631578947368,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0,0.0
ATP BIOSYNTHETIC PROCESS,0.7238095238095238,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.45714285714285713,0.6857142857142857,0.4,0.7619047619047619,0.780952380952381,0.18095238095238095,0.6,0.45714285714285713,0.0,0.05714285714285714,0.01904761904761905,0.01904761904761905,0.047619047619047616,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.01904761904761905,0.0,0.0,0.0,0.0,0.009523809523809525,0.009523809523809525,0.01904761904761905,0.01904761904761905,0.0,0.0,0.0,0.0
NUCLEOSIDE TRIPHOSPHATE BIOSYNTHETIC PROCESS,0.5846153846153846,0.8076923076923077,1.0,1.0,1.0,0.9230769230769231,0.9692307692307692,0.9692307692307692,0.823076923076923,1.0,0.36923076923076925,0.5615384615384615,0.3230769230769231,0.6230769230769231,0.6384615384615384,0.14615384615384616,0.4846153846153846,0.36923076923076925,0.0,0.046153846153846156,0.015384615384615385,0.015384615384615385,0.05384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.023076923076923078,0.015384615384615385,0.0,0.0,0.0,0.0,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.015384615384615385,0.0,0.0,0.0,0.0
NUCLEOTIDE BIOSYNTHETIC PROCESS,0.329004329004329,0.45454545454545453,0.5627705627705628,1.0,1.0,0.8614718614718615,0.7965367965367965,0.8138528138528138,0.48484848484848486,0.6060606060606061,0.21212121212121213,0.3203463203463203,0.18181818181818182,0.36363636363636365,0.37662337662337664,0.08225108225108226,0.2727272727272727,0.21212121212121213,0.0,0.08658008658008658,0.008658008658008658,0.047619047619047616,0.03463203463203463,0.008658008658008658,0.012987012987012988,0.008658008658008658,0.030303030303030304,0.008658008658008658,0.0,0.0,0.0,0.0,0.008658008658008658,0.008658008658008658,0.021645021645021644,0.012987012987012988,0.0,0.0,0.0,0.004329004329004329
NUCLEOSIDE PHOSPHATE BIOSYNTHETIC PROCESS,0.2324159021406728,0.3211009174311927,0.39755351681957185,0.7064220183486238,1.0,0.8103975535168195,0.5626911314984709,0.5840978593272171,0.3516819571865443,0.44036697247706424,0.1559633027522936,0.2324159021406728,0.1345565749235474,0.3241590214067278,0.345565749235474,0.0581039755351682,0.1926605504587156,0.1559633027522936,0.0,0.12844036697247707,0.03363914373088685,0.0856269113149847,0.16819571865443425,0.027522935779816515,0.03669724770642202,0.009174311926605505,0.024464831804281346,0.0061162079510703364,0.0,0.0,0.0,0.0,0.0061162079510703364,0.0061162079510703364,0.01529051987767584,0.01834862385321101,0.0,0.0,0.0,0.0030581039755351682
"PURINE CONTAINING COMPOUND BIOSYNTHETIC
PROCESS",0.27941176470588236,0.3860294117647059,0.4411764705882353,0.7316176470588235,0.9742647058823529,1.0,0.6213235294117647,0.6507352941176471,0.4227941176470588,0.48161764705882354,0.1875,0.27941176470588236,0.16176470588235295,0.3860294117647059,0.40441176470588236,0.06985294117647059,0.23161764705882354,0.1875,0.0,0.13602941176470587,0.04044117647058824,0.08823529411764706,0.20220588235294118,0.03308823529411765,0.04411764705882353,0.011029411764705883,0.011029411764705883,0.007352941176470588,0.0,0.0,0.0,0.0,0.007352941176470588,0.003676470588235294,0.007352941176470588,0.022058823529411766,0.0,0.0,0.0,0.003676470588235294
RIBOSE PHOSPHATE BIOSYNTHETIC PROCESS,0.41081081081081083,0.5675675675675675,0.6810810810810811,0.9945945945945946,0.9945945945945946,0.9135135135135135,1.0,1.0,0.5945945945945946,0.7027027027027027,0.2594594594594595,0.3945945945945946,0.22702702702702704,0.44324324324324327,0.4648648648648649,0.10270270270270271,0.34054054054054056,0.2594594594594595,0.0,0.04864864864864865,0.010810810810810811,0.010810810810810811,0.03783783783783784,0.010810810810810811,0.016216216216216217,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.0,0.0,0.0,0.0,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.010810810810810811,0.0,0.0,0.0,0.0
RIBOSE PHOSPHATE METABOLIC PROCESS,0.1953727506426735,0.2699228791773779,0.32390745501285345,0.4832904884318766,0.4910025706940874,0.455012853470437,0.4755784061696658,1.0,0.609254498714653,0.6966580976863753,0.12596401028277635,0.20051413881748073,0.10796915167095116,0.455012853470437,0.4730077120822622,0.04884318766066838,0.17994858611825193,0.12596401028277635,0.0,0.13624678663239073,0.012853470437017995,0.012853470437017995,0.05141388174807198,0.012853470437017995,0.02570694087403599,0.017994858611825194,0.007712082262210797,0.012853470437017995,0.007712082262210797,0.010282776349614395,0.007712082262210797,0.007712082262210797,0.02056555269922879,0.010282776349614395,0.02313624678663239,0.02056555269922879,0.007712082262210797,0.005141388174807198,0.002570694087403599,0.010282776349614395
ATP METABOLIC PROCESS,0.3206751054852321,0.4430379746835443,0.45147679324894513,0.47257383966244726,0.48523206751054854,0.48523206751054854,0.4641350210970464,1.0,1.0,1.0,0.20675105485232068,0.3291139240506329,0.17721518987341772,0.7426160337552743,0.759493670886076,0.08016877637130802,0.29535864978902954,0.20675105485232068,0.0,0.14345991561181434,0.016877637130801686,0.016877637130801686,0.0759493670886076,0.02109704641350211,0.029535864978902954,0.029535864978902954,0.012658227848101266,0.02109704641350211,0.008438818565400843,0.012658227848101266,0.008438818565400843,0.008438818565400843,0.02531645569620253,0.012658227848101266,0.02531645569620253,0.029535864978902954,0.012658227848101266,0.008438818565400843,0.0,0.012658227848101266
NUCLEOSIDE TRIPHOSPHATE METABOLIC PROCESS,0.26573426573426573,0.36713286713286714,0.45454545454545453,0.48951048951048953,0.5034965034965035,0.458041958041958,0.45454545454545453,0.9475524475524476,0.8286713286713286,1.0,0.17482517482517482,0.2762237762237762,0.14685314685314685,0.6188811188811189,0.6328671328671329,0.06643356643356643,0.24475524475524477,0.17482517482517482,0.0,0.12937062937062938,0.013986013986013986,0.013986013986013986,0.06993006993006994,0.017482517482517484,0.027972027972027972,0.024475524475524476,0.024475524475524476,0.02097902097902098,0.01048951048951049,0.013986013986013986,0.01048951048951049,0.01048951048951049,0.027972027972027972,0.013986013986013986,0.024475524475524476,0.027972027972027972,0.01048951048951049,0.006993006993006993,0.0034965034965034965,0.013986013986013986
ATP SYNTHESIS COUPLED ELECTRON TRANSPORT,0.45544554455445546,0.4752475247524752,0.4752475247524752,0.48514851485148514,0.504950495049505,0.504950495049505,0.4752475247524752,0.48514851485148514,0.48514851485148514,0.49504950495049505,1.0,1.0,0.5247524752475248,1.0,1.0,0.2079207920792079,0.6039603960396039,1.0,0.22772277227722773,0.0297029702970297,0.0,0.009900990099009901,0.0297029702970297,0.0,0.0,0.0,0.009900990099009901,0.0,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.0297029702970297,0.0,0.0,0.0,0.0,0.0
OXIDATIVE PHOSPHORYLATION,0.4563758389261745,0.48322147651006714,0.4899328859060403,0.4966442953020134,0.5100671140939598,0.5100671140939598,0.4899328859060403,0.5234899328859061,0.5234899328859061,0.5302013422818792,0.6778523489932886,1.0,0.35570469798657717,1.0,1.0,0.174496644295302,0.5100671140939598,0.6845637583892618,0.15436241610738255,0.040268456375838924,0.006711409395973154,0.013422818791946308,0.040268456375838924,0.006711409395973154,0.013422818791946308,0.013422818791946308,0.026845637583892617,0.013422818791946308,0.020134228187919462,0.020134228187919462,0.020134228187919462,0.020134228187919462,0.026845637583892617,0.020134228187919462,0.03355704697986577,0.006711409395973154,0.0,0.0,0.0,0.0
"MITOCHONDRIAL ELECTRON TRANSPORT NADH TO
UBIQUINONE",0.7735849056603774,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.8301886792452831,0.8301886792452831,0.7924528301886793,0.7924528301886793,0.7924528301886793,0.7924528301886793,1.0,1.0,1.0,1.0,1.0,0.3018867924528302,0.7547169811320755,1.0,0.018867924528301886,0.05660377358490566,0.0,0.018867924528301886,0.05660377358490566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CELLULAR RESPIRATION,0.20238095238095238,0.23809523809523808,0.24107142857142858,0.25,0.31547619047619047,0.3125,0.24404761904761904,0.5267857142857143,0.5238095238095238,0.5267857142857143,0.3005952380952381,0.44345238095238093,0.15773809523809523,1.0,1.0,0.09523809523809523,0.24107142857142858,0.34523809523809523,0.06845238095238096,0.125,0.026785714285714284,0.03869047619047619,0.10714285714285714,0.03869047619047619,0.050595238095238096,0.017857142857142856,0.017857142857142856,0.017857142857142856,0.011904761904761904,0.017857142857142856,0.011904761904761904,0.008928571428571428,0.020833333333333332,0.017857142857142856,0.03273809523809524,0.01488095238095238,0.005952380952380952,0.002976190476190476,0.005952380952380952,0.008928571428571428
"GENERATION OF PRECURSOR METABOLITES AND
ENERGY",0.13821138211382114,0.16666666666666666,0.16869918699186992,0.17682926829268292,0.22967479674796748,0.22357723577235772,0.17479674796747968,0.37398373983739835,0.36585365853658536,0.3678861788617886,0.20528455284552846,0.30284552845528456,0.10772357723577236,0.6829268292682927,1.0,0.06504065040650407,0.16666666666666666,0.25609756097560976,0.046747967479674794,0.13414634146341464,0.046747967479674794,0.06300813008130081,0.11991869918699187,0.06097560975609756,0.07113821138211382,0.016260162601626018,0.012195121951219513,0.014227642276422764,0.01016260162601626,0.014227642276422764,0.01016260162601626,0.008130081300813009,0.018292682926829267,0.014227642276422764,0.03048780487804878,0.014227642276422764,0.0040650406504065045,0.0020325203252032522,0.0040650406504065045,0.008130081300813009
"MITOCHONDRIAL RESPIRATORY CHAIN COMPLEX
ASSEMBLY",0.16666666666666666,0.18627450980392157,0.18627450980392157,0.18627450980392157,0.18627450980392157,0.18627450980392157,0.18627450980392157,0.18627450980392157,0.18627450980392157,0.18627450980392157,0.20588235294117646,0.2549019607843137,0.1568627450980392,0.3137254901960784,0.3137254901960784,1.0,0.19607843137254902,0.22549019607843138,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.0,0.00980392156862745,0.0,0.0,0.00980392156862745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PROTON TRANSMEMBRANE TRANSPORT,0.31088082901554404,0.32642487046632124,0.32642487046632124,0.32642487046632124,0.32642487046632124,0.32642487046632124,0.32642487046632124,0.3626943005181347,0.3626943005181347,0.3626943005181347,0.3160621761658031,0.39378238341968913,0.20725388601036268,0.41968911917098445,0.42487046632124353,0.10362694300518134,1.0,0.3160621761658031,0.06735751295336788,0.0051813471502590676,0.0051813471502590676,0.0051813471502590676,0.015544041450777202,0.0,0.0,0.0051813471502590676,0.0,0.0,0.0,0.0051813471502590676,0.0,0.0,0.0,0.0,0.0,0.21761658031088082,0.0,0.0,0.0,0.0
ELECTRON TRANSPORT CHAIN,0.36507936507936506,0.38095238095238093,0.38095238095238093,0.3888888888888889,0.40476190476190477,0.40476190476190477,0.38095238095238093,0.3888888888888889,0.3888888888888889,0.3968253968253968,0.8015873015873016,0.8095238095238095,0.42063492063492064,0.9206349206349206,1.0,0.18253968253968253,0.48412698412698413,1.0,0.18253968253968253,0.047619047619047616,0.023809523809523808,0.031746031746031744,0.06349206349206349,0.03968253968253968,0.03968253968253968,0.0,0.007936507936507936,0.0,0.015873015873015872,0.023809523809523808,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.015873015873015872,0.023809523809523808,0.0,0.007936507936507936,0.0,0.007936507936507936,0.0
"MITOCHONDRIAL ELECTRON TRANSPORT CYTOCHROME C
TO OXYGEN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.043478260869565216,1.0,1.0,0.08695652173913043,0.5652173913043478,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SMALL MOLECULE CATABOLIC PROCESS,0.0,0.016129032258064516,0.016129032258064516,0.053763440860215055,0.11290322580645161,0.09946236559139784,0.024193548387096774,0.1424731182795699,0.0913978494623656,0.09946236559139784,0.008064516129032258,0.016129032258064516,0.008064516129032258,0.11290322580645161,0.1774193548387097,0.0,0.002688172043010753,0.016129032258064516,0.0,1.0,0.34408602150537637,0.6666666666666666,0.3279569892473118,0.22849462365591397,0.3709677419354839,0.005376344086021506,0.002688172043010753,0.002688172043010753,0.0,0.0,0.0,0.0,0.005376344086021506,0.0,0.008064516129032258,0.0,0.0,0.0,0.005376344086021506,0.008064516129032258
MONOCARBOXYLIC ACID CATABOLIC PROCESS,0.0,0.015625,0.015625,0.015625,0.0859375,0.0859375,0.015625,0.0390625,0.03125,0.03125,0.0,0.0078125,0.0,0.0703125,0.1796875,0.0,0.0078125,0.0234375,0.0,1.0,1.0,1.0,0.8203125,0.625,0.859375,0.0078125,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0078125,0.0,0.0,0.0,0.0,0.0078125
ORGANIC ACID CATABOLIC PROCESS,0.0,0.008064516129032258,0.008064516129032258,0.04435483870967742,0.11290322580645161,0.0967741935483871,0.008064516129032258,0.020161290322580645,0.016129032258064516,0.016129032258064516,0.004032258064516129,0.008064516129032258,0.004032258064516129,0.05241935483870968,0.125,0.0,0.004032258064516129,0.016129032258064516,0.0,1.0,0.5161290322580645,1.0,0.4435483870967742,0.32661290322580644,0.45564516129032256,0.008064516129032258,0.004032258064516129,0.004032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.008064516129032258,0.0,0.0,0.0,0.004032258064516129,0.004032258064516129
FATTY ACID METABOLIC PROCESS,0.004662004662004662,0.011655011655011656,0.016317016317016316,0.018648018648018648,0.1282051282051282,0.1282051282051282,0.016317016317016316,0.046620046620046623,0.04195804195804196,0.046620046620046623,0.006993006993006993,0.013986013986013986,0.006993006993006993,0.08391608391608392,0.13752913752913754,0.004662004662004662,0.006993006993006993,0.018648018648018648,0.0,0.28438228438228436,0.24475524475524477,0.2564102564102564,1.0,0.2773892773892774,0.3613053613053613,0.018648018648018648,0.004662004662004662,0.006993006993006993,0.009324009324009324,0.013986013986013986,0.006993006993006993,0.006993006993006993,0.018648018648018648,0.006993006993006993,0.016317016317016316,0.013986013986013986,0.006993006993006993,0.002331002331002331,0.002331002331002331,0.002331002331002331
LIPID MODIFICATION,0.0,0.011049723756906077,0.011049723756906077,0.011049723756906077,0.049723756906077346,0.049723756906077346,0.011049723756906077,0.027624309392265192,0.027624309392265192,0.027624309392265192,0.0,0.0055248618784530384,0.0,0.0718232044198895,0.16574585635359115,0.0,0.0,0.027624309392265192,0.0,0.4696132596685083,0.4419889502762431,0.44751381215469616,0.6574585635359116,1.0,0.5082872928176796,0.0055248618784530384,0.0,0.0055248618784530384,0.0055248618784530384,0.0055248618784530384,0.0,0.0,0.0,0.0,0.03314917127071823,0.0055248618784530384,0.0055248618784530384,0.0,0.0,0.0055248618784530384
LIPID CATABOLIC PROCESS,0.0,0.005571030640668524,0.005571030640668524,0.008356545961002786,0.033426183844011144,0.033426183844011144,0.008356545961002786,0.027855153203342618,0.019498607242339833,0.022284122562674095,0.0,0.005571030640668524,0.0,0.04735376044568245,0.09749303621169916,0.002785515320334262,0.0,0.013927576601671309,0.0,0.38440111420612816,0.3064066852367688,0.3147632311977716,0.43175487465181056,0.2562674094707521,1.0,0.013927576601671309,0.005571030640668524,0.005571030640668524,0.002785515320334262,0.002785515320334262,0.0,0.0,0.016713091922005572,0.002785515320334262,0.019498607242339833,0.005571030640668524,0.002785515320334262,0.002785515320334262,0.0,0.002785515320334262
EXTERNAL ENCAPSULATING STRUCTURE ORGANIZATION,0.0,0.0056657223796034,0.0056657223796034,0.0056657223796034,0.0084985835694051,0.0084985835694051,0.0056657223796034,0.019830028328611898,0.019830028328611898,0.019830028328611898,0.0,0.0056657223796034,0.0,0.0169971671388102,0.0226628895184136,0.0,0.0028328611898017,0.0,0.0,0.0056657223796034,0.0028328611898017,0.0056657223796034,0.0226628895184136,0.0028328611898017,0.014164305949008499,1.0,0.0,0.0028328611898017,0.014164305949008499,0.0169971671388102,0.0113314447592068,0.0113314447592068,0.025495750708215296,0.0084985835694051,0.031161473087818695,0.0,0.0028328611898017,0.0,0.0,0.0
