"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","TEAD4","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","18.5","6","6","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=40); Literature--ChIP-seq(rank=46); Enrichr--Queries(rank=460); GTEx--Coexpression(rank=774); ARCHS4--Coexpression(rank=1001)","428","rank=31; score=3.1837; direction=Activated","rank=6; score=2.9221; p=0.0034765; direction=Activated"
"2","MNT","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","35.0","7","4","ReMap--ChIP-seq(rank=108); Enrichr--Queries(rank=894); GTEx--Coexpression(rank=1018); ARCHS4--Coexpression(rank=1355)","1025","rank=7; score=4.8693; direction=Activated","rank=63; score=1.8884; p=0.058977; direction=Activated"
"3","ETV1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","36.0","34","4","GTEx--Coexpression(rank=107); ARCHS4--Coexpression(rank=149); ReMap--ChIP-seq(rank=171); Enrichr--Queries(rank=191)","263","rank=38; score=2.7908; direction=Activated","rank=34; score=2.2094; p=0.027144; direction=Repressed"
"4","IRF2","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","50.0","15","4","ReMap--ChIP-seq(rank=144); ARCHS4--Coexpression(rank=634); Enrichr--Queries(rank=647); GTEx--Coexpression(rank=1365)","1077","rank=85; score=1.7652; direction=Activated","rank=15; score=2.622; p=0.0087405; direction=Activated"
"5","KLF6","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.5","17","4","ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=184); ARCHS4--Coexpression(rank=628); GTEx--Coexpression(rank=791)","32","rank=84; score=1.7938; direction=Repressed","rank=17; score=2.611; p=0.0090266; direction=Activated"
"6","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.5","2","4","Literature--ChIP-seq(rank=87); Enrichr--Queries(rank=882); GTEx--Coexpression(rank=934); ARCHS4--Coexpression(rank=1010)","1313","rank=103; score=1.5305; direction=Activated","rank=2; score=3.3167; p=0.00091088; direction=Activated"
"7","PAX5","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.5","50","5","ENCODE--ChIP-seq(rank=49); ReMap--ChIP-seq(rank=100); ARCHS4--Coexpression(rank=507); GTEx--Coexpression(rank=797); Enrichr--Queries(rank=808)","916","rank=50; score=2.5126; direction=Repressed","rank=67; score=1.8252; p=0.067967; direction=Repressed"
"8","STAT2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.5","37","5","ENCODE--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=612); ARCHS4--Coexpression(rank=641); GTEx--Coexpression(rank=957)","904","rank=37; score=2.8314; direction=Activated","rank=102; score=1.6591; p=0.097099; direction=Activated"
"9","EOMES","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","70.0","22","5","Literature--ChIP-seq(rank=62); ReMap--ChIP-seq(rank=270); Enrichr--Queries(rank=517); GTEx--Coexpression(rank=802); ARCHS4--Coexpression(rank=1039)","1035","rank=118; score=1.3484; direction=Activated","rank=22; score=2.5034; p=0.012302; direction=Repressed"
"10","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","70.0","25","6","ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=128); Literature--ChIP-seq(rank=153); Enrichr--Queries(rank=1249); GTEx--Coexpression(rank=1255); ARCHS4--Coexpression(rank=1299)","1158","rank=25; score=3.4487; direction=Repressed","rank=115; score=1.583; p=0.11341; direction=Repressed"
