"ID","P","HR","CI_low_0.95","CI_up_0.95"
"WNT_target","0.04504866763107816","1.4487","1.0082000000000000","2.0817"
"Pan_F_TBRs","0.08624600896406109","1.2790","0.9656000000000000","1.6941"
"FGFR3_related","0.24173914256261617","1.1802","0.8943000000000000","1.5575"
"DDR","0.29313128913971670","1.2350","0.8332000000000001","1.8307"
"CellCycle_Reg","0.36169518958996111","1.2096","0.8036000000000000","1.8207"
"EMT3","0.36635795564681295","1.1552","0.8447000000000000","1.5799"
"Histones","0.42611433984018449","1.0838","0.8890000000000000","1.3213"
"EMT1","0.45829944461394873","1.1521","0.7925000000000000","1.6749"
"EMT2","0.47414545879744602","1.0912","0.8592000000000000","1.3860"
"Immune_Checkpoint","0.62607517640257648","1.0584","0.8421999999999999","1.3301"
"CD_8_T_effector","0.93761895654927918","0.9903","0.7754000000000000","1.2647"
"APM","0.95207742699669384","1.0074","0.7927000000000000","1.2801"
