Pathway,RELA DN.V1 DN,NOTCH DN.V1 DN,CYCLIN D1 UP.V1 UP,RAPA EARLY UP.V1 DN,JAK2 DN.V1 UP,PRC2 EED DN.V1 DN,PRC1 BMI UP.V1 DN,PTEN DN.V2 DN,ATF2 UP.V1 UP,RB P130 DN.V1 UP,CSR LATE UP.V1 UP,SIRNA EIF4GI DN,RAF UP.V1 UP,ERBB2 UP.V1 UP,PGF UP.V1 UP,VEGF A UP.V1 DN,ERBB2 UP.V1 DN,TBK1.DF DN,RAPA EARLY UP.V1 UP,PDGF ERK DN.V1 DN,KRAS.600 UP.V1 DN,KRAS.BREAST UP.V1 DN,JNK DN.V1 DN,PGF UP.V1 DN,VEGF A UP.V1 UP,SRC UP.V1 UP,BCAT BILD ET AL UP,ESC V6.5 UP LATE.V1 DN,ESC V6.5 UP EARLY.V1 DN,ESC J1 UP EARLY.V1 DN,CRX DN.V1 DN,SINGH KRAS DEPENDENCY SIGNATURE,RELA DN.V1 UP,PDGF UP.V1 UP,P53 DN.V2 UP,HINATA NFKB IMMU INF,IL21 UP.V1 UP,IL15 UP.V1 UP,IL2 UP.V1 UP,RB P130 DN.V1 DN
RELA DN.V1 DN,1.0,0.05755395683453238,0.04316546762589928,0.02158273381294964,0.007194244604316547,0.02158273381294964,0.014388489208633094,0.02158273381294964,0.02877697841726619,0.014388489208633094,0.014388489208633094,0.0,0.014388489208633094,0.02158273381294964,0.0,0.007194244604316547,0.014388489208633094,0.0,0.02158273381294964,0.02158273381294964,0.06474820143884892,0.03597122302158273,0.03597122302158273,0.007194244604316547,0.02877697841726619,0.007194244604316547,0.0,0.007194244604316547,0.014388489208633094,0.014388489208633094,0.007194244604316547,0.007194244604316547,0.0,0.0,0.02877697841726619,0.0,0.02877697841726619,0.007194244604316547,0.02158273381294964,0.007194244604316547
NOTCH DN.V1 DN,0.04371584699453552,1.0,0.03825136612021858,0.01092896174863388,0.0273224043715847,0.00546448087431694,0.04371584699453552,0.01092896174863388,0.0273224043715847,0.0,0.01092896174863388,0.0,0.00546448087431694,0.03278688524590164,0.0273224043715847,0.01092896174863388,0.01092896174863388,0.00546448087431694,0.00546448087431694,0.01092896174863388,0.03278688524590164,0.01092896174863388,0.0,0.02185792349726776,0.01639344262295082,0.00546448087431694,0.0,0.0273224043715847,0.03278688524590164,0.01639344262295082,0.01639344262295082,0.0,0.01639344262295082,0.00546448087431694,0.00546448087431694,0.0,0.03825136612021858,0.01639344262295082,0.01639344262295082,0.00546448087431694
CYCLIN D1 UP.V1 UP,0.03208556149732621,0.0374331550802139,1.0,0.0374331550802139,0.0106951871657754,0.026737967914438502,0.026737967914438502,0.0213903743315508,0.0053475935828877,0.016042780748663103,0.03208556149732621,0.0,0.0213903743315508,0.0106951871657754,0.016042780748663103,0.016042780748663103,0.0213903743315508,0.0106951871657754,0.03208556149732621,0.016042780748663103,0.0427807486631016,0.0053475935828877,0.03208556149732621,0.03208556149732621,0.0481283422459893,0.0213903743315508,0.0106951871657754,0.03208556149732621,0.03208556149732621,0.0481283422459893,0.026737967914438502,0.0,0.03208556149732621,0.026737967914438502,0.016042780748663103,0.0,0.0213903743315508,0.0213903743315508,0.026737967914438502,0.026737967914438502
RAPA EARLY UP.V1 DN,0.016129032258064516,0.010752688172043012,0.03763440860215054,1.0,0.026881720430107527,0.016129032258064516,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.016129032258064516,0.0,0.021505376344086023,0.010752688172043012,0.010752688172043012,0.005376344086021506,0.005376344086021506,0.005376344086021506,0.0,0.026881720430107527,0.04838709677419355,0.005376344086021506,0.03225806451612903,0.026881720430107527,0.021505376344086023,0.0,0.0,0.005376344086021506,0.021505376344086023,0.010752688172043012,0.005376344086021506,0.0,0.005376344086021506,0.005376344086021506,0.016129032258064516,0.0,0.010752688172043012,0.026881720430107527,0.043010752688172046,0.0
JAK2 DN.V1 UP,0.005434782608695652,0.02717391304347826,0.010869565217391304,0.02717391304347826,1.0,0.021739130434782608,0.043478260869565216,0.005434782608695652,0.021739130434782608,0.005434782608695652,0.005434782608695652,0.005434782608695652,0.021739130434782608,0.016304347826086956,0.005434782608695652,0.010869565217391304,0.005434782608695652,0.016304347826086956,0.0,0.005434782608695652,0.04891304347826087,0.021739130434782608,0.016304347826086956,0.04891304347826087,0.021739130434782608,0.016304347826086956,0.0,0.016304347826086956,0.016304347826086956,0.016304347826086956,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.0,0.010869565217391304,0.0,0.021739130434782608,0.03804347826086957,0.02717391304347826,0.0
PRC2 EED DN.V1 DN,0.015544041450777202,0.0051813471502590676,0.025906735751295335,0.015544041450777202,0.02072538860103627,1.0,0.12953367875647667,0.03626943005181347,0.03626943005181347,0.025906735751295335,0.03626943005181347,0.0,0.02072538860103627,0.046632124352331605,0.0,0.03626943005181347,0.0,0.0051813471502590676,0.0,0.0,0.031088082901554404,0.0051813471502590676,0.046632124352331605,0.0051813471502590676,0.02072538860103627,0.02072538860103627,0.015544041450777202,0.031088082901554404,0.015544041450777202,0.02072538860103627,0.010362694300518135,0.0,0.0051813471502590676,0.0051813471502590676,0.025906735751295335,0.0,0.025906735751295335,0.015544041450777202,0.015544041450777202,0.0051813471502590676
PRC1 BMI UP.V1 DN,0.0106951871657754,0.0427807486631016,0.026737967914438502,0.0106951871657754,0.0427807486631016,0.13368983957219252,1.0,0.0374331550802139,0.03208556149732621,0.0106951871657754,0.0053475935828877,0.0,0.0106951871657754,0.026737967914438502,0.0053475935828877,0.0106951871657754,0.0106951871657754,0.0213903743315508,0.03208556149732621,0.016042780748663103,0.0748663101604278,0.0374331550802139,0.0374331550802139,0.026737967914438502,0.03208556149732621,0.058823529411764705,0.0,0.0,0.016042780748663103,0.0,0.0213903743315508,0.0,0.026737967914438502,0.0053475935828877,0.0213903743315508,0.0,0.03208556149732621,0.0106951871657754,0.016042780748663103,0.0
PTEN DN.V2 DN,0.02097902097902098,0.013986013986013986,0.027972027972027972,0.013986013986013986,0.006993006993006993,0.04895104895104895,0.04895104895104895,1.0,0.04195804195804196,0.013986013986013986,0.006993006993006993,0.0,0.006993006993006993,0.03496503496503497,0.013986013986013986,0.027972027972027972,0.013986013986013986,0.013986013986013986,0.013986013986013986,0.013986013986013986,0.02097902097902098,0.013986013986013986,0.027972027972027972,0.03496503496503497,0.02097902097902098,0.013986013986013986,0.013986013986013986,0.02097902097902098,0.013986013986013986,0.02097902097902098,0.027972027972027972,0.0,0.006993006993006993,0.0,0.027972027972027972,0.0,0.013986013986013986,0.02097902097902098,0.006993006993006993,0.0
ATF2 UP.V1 UP,0.021052631578947368,0.02631578947368421,0.005263157894736842,0.010526315789473684,0.021052631578947368,0.03684210526315789,0.031578947368421054,0.031578947368421054,1.0,0.010526315789473684,0.021052631578947368,0.0,0.02631578947368421,0.031578947368421054,0.005263157894736842,0.021052631578947368,0.015789473684210527,0.015789473684210527,0.010526315789473684,0.015789473684210527,0.03684210526315789,0.015789473684210527,0.015789473684210527,0.015789473684210527,0.031578947368421054,0.03684210526315789,0.0,0.010526315789473684,0.021052631578947368,0.010526315789473684,0.010526315789473684,0.005263157894736842,0.015789473684210527,0.021052631578947368,0.021052631578947368,0.0,0.021052631578947368,0.010526315789473684,0.021052631578947368,0.005263157894736842
RB P130 DN.V1 UP,0.015151515151515152,0.0,0.022727272727272728,0.015151515151515152,0.007575757575757576,0.03787878787878788,0.015151515151515152,0.015151515151515152,0.015151515151515152,1.0,0.06060606060606061,0.007575757575757576,0.007575757575757576,0.015151515151515152,0.007575757575757576,0.03787878787878788,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.030303030303030304,0.007575757575757576,0.030303030303030304,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.0,0.015151515151515152,0.015151515151515152,0.007575757575757576,0.015151515151515152,0.0,0.007575757575757576,0.0,0.007575757575757576,0.0,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.0
CSR LATE UP.V1 UP,0.012048192771084338,0.012048192771084338,0.03614457831325301,0.018072289156626505,0.006024096385542169,0.04216867469879518,0.006024096385542169,0.006024096385542169,0.024096385542168676,0.04819277108433735,1.0,0.030120481927710843,0.012048192771084338,0.0,0.0,0.03614457831325301,0.006024096385542169,0.012048192771084338,0.012048192771084338,0.006024096385542169,0.0,0.0,0.030120481927710843,0.0,0.0,0.0,0.006024096385542169,0.024096385542168676,0.030120481927710843,0.018072289156626505,0.012048192771084338,0.0,0.006024096385542169,0.012048192771084338,0.024096385542168676,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.006024096385542169,0.012048192771084338
SIRNA EIF4GI DN,0.0,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.0,0.01020408163265306,0.05102040816326531,1.0,0.04081632653061224,0.02040816326530612,0.04081632653061224,0.02040816326530612,0.01020408163265306,0.04081632653061224,0.01020408163265306,0.0,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.0,0.0,0.0,0.01020408163265306,0.0,0.0,0.0,0.02040816326530612,0.02040816326530612,0.01020408163265306,0.0,0.0,0.01020408163265306,0.01020408163265306,0.01020408163265306
RAF UP.V1 UP,0.010362694300518135,0.0051813471502590676,0.02072538860103627,0.02072538860103627,0.02072538860103627,0.02072538860103627,0.010362694300518135,0.0051813471502590676,0.025906735751295335,0.0051813471502590676,0.010362694300518135,0.02072538860103627,1.0,0.22279792746113988,0.025906735751295335,0.025906735751295335,0.010362694300518135,0.046632124352331605,0.02072538860103627,0.010362694300518135,0.015544041450777202,0.010362694300518135,0.0051813471502590676,0.0051813471502590676,0.010362694300518135,0.0,0.0,0.02072538860103627,0.031088082901554404,0.010362694300518135,0.02072538860103627,0.0,0.010362694300518135,0.02072538860103627,0.010362694300518135,0.0,0.015544041450777202,0.046632124352331605,0.046632124352331605,0.0051813471502590676
ERBB2 UP.V1 UP,0.015789473684210527,0.031578947368421054,0.010526315789473684,0.010526315789473684,0.015789473684210527,0.04736842105263158,0.02631578947368421,0.02631578947368421,0.031578947368421054,0.010526315789473684,0.0,0.010526315789473684,0.22631578947368422,1.0,0.005263157894736842,0.02631578947368421,0.0,0.02631578947368421,0.010526315789473684,0.015789473684210527,0.031578947368421054,0.005263157894736842,0.021052631578947368,0.042105263157894736,0.03684210526315789,0.010526315789473684,0.015789473684210527,0.015789473684210527,0.02631578947368421,0.021052631578947368,0.015789473684210527,0.005263157894736842,0.015789473684210527,0.015789473684210527,0.02631578947368421,0.005263157894736842,0.03684210526315789,0.021052631578947368,0.031578947368421054,0.005263157894736842
PGF UP.V1 UP,0.0,0.02631578947368421,0.015789473684210527,0.010526315789473684,0.005263157894736842,0.0,0.005263157894736842,0.010526315789473684,0.005263157894736842,0.005263157894736842,0.0,0.021052631578947368,0.02631578947368421,0.005263157894736842,1.0,0.26842105263157895,0.08421052631578947,0.08421052631578947,0.005263157894736842,0.031578947368421054,0.010526315789473684,0.005263157894736842,0.031578947368421054,0.0,0.0,0.0,0.0,0.005263157894736842,0.0,0.005263157894736842,0.005263157894736842,0.0,0.005263157894736842,0.021052631578947368,0.0,0.0,0.010526315789473684,0.010526315789473684,0.005263157894736842,0.005263157894736842
VEGF A UP.V1 DN,0.0051813471502590676,0.010362694300518135,0.015544041450777202,0.0051813471502590676,0.010362694300518135,0.03626943005181347,0.010362694300518135,0.02072538860103627,0.02072538860103627,0.025906735751295335,0.031088082901554404,0.010362694300518135,0.025906735751295335,0.025906735751295335,0.26424870466321243,1.0,0.07772020725388601,0.07772020725388601,0.025906735751295335,0.010362694300518135,0.010362694300518135,0.0,0.05181347150259067,0.0,0.0,0.0,0.0,0.02072538860103627,0.010362694300518135,0.02072538860103627,0.015544041450777202,0.0,0.0,0.031088082901554404,0.0,0.0051813471502590676,0.015544041450777202,0.03626943005181347,0.02072538860103627,0.0
ERBB2 UP.V1 DN,0.01015228426395939,0.01015228426395939,0.02030456852791878,0.005076142131979695,0.005076142131979695,0.0,0.01015228426395939,0.01015228426395939,0.015228426395939087,0.005076142131979695,0.005076142131979695,0.005076142131979695,0.01015228426395939,0.0,0.08121827411167512,0.07614213197969544,1.0,0.08629441624365482,0.01015228426395939,0.025380710659898477,0.03553299492385787,0.0,0.015228426395939087,0.0,0.01015228426395939,0.005076142131979695,0.0,0.02030456852791878,0.025380710659898477,0.025380710659898477,0.005076142131979695,0.0,0.02030456852791878,0.025380710659898477,0.0,0.0,0.0,0.015228426395939087,0.025380710659898477,0.005076142131979695
TBK1.DF DN,0.0,0.0034965034965034965,0.006993006993006993,0.0034965034965034965,0.01048951048951049,0.0034965034965034965,0.013986013986013986,0.006993006993006993,0.01048951048951049,0.0034965034965034965,0.006993006993006993,0.013986013986013986,0.03146853146853147,0.017482517482517484,0.055944055944055944,0.05244755244755245,0.05944055944055944,1.0,0.01048951048951049,0.013986013986013986,0.0,0.0034965034965034965,0.01048951048951049,0.0,0.0034965034965034965,0.0034965034965034965,0.0,0.01048951048951049,0.01048951048951049,0.017482517482517484,0.0034965034965034965,0.0034965034965034965,0.01048951048951049,0.013986013986013986,0.01048951048951049,0.0,0.006993006993006993,0.01048951048951049,0.01048951048951049,0.03146853146853147
RAPA EARLY UP.V1 UP,0.017964071856287425,0.005988023952095809,0.03592814371257485,0.0,0.0,0.0,0.03592814371257485,0.011976047904191617,0.011976047904191617,0.005988023952095809,0.011976047904191617,0.005988023952095809,0.023952095808383235,0.011976047904191617,0.005988023952095809,0.029940119760479042,0.011976047904191617,0.017964071856287425,1.0,0.03592814371257485,0.023952095808383235,0.017964071856287425,0.03592814371257485,0.059880239520958084,0.029940119760479042,0.005988023952095809,0.005988023952095809,0.005988023952095809,0.011976047904191617,0.0,0.011976047904191617,0.0,0.03592814371257485,0.011976047904191617,0.023952095808383235,0.005988023952095809,0.017964071856287425,0.011976047904191617,0.005988023952095809,0.005988023952095809
PDGF ERK DN.V1 DN,0.020134228187919462,0.013422818791946308,0.020134228187919462,0.03355704697986577,0.006711409395973154,0.0,0.020134228187919462,0.013422818791946308,0.020134228187919462,0.006711409395973154,0.006711409395973154,0.0,0.013422818791946308,0.020134228187919462,0.040268456375838924,0.013422818791946308,0.03355704697986577,0.026845637583892617,0.040268456375838924,1.0,0.020134228187919462,0.006711409395973154,0.03355704697986577,0.020134228187919462,0.013422818791946308,0.020134228187919462,0.006711409395973154,0.020134228187919462,0.020134228187919462,0.04697986577181208,0.03355704697986577,0.0,0.040268456375838924,0.020134228187919462,0.006711409395973154,0.006711409395973154,0.0,0.06711409395973154,0.06040268456375839,0.013422818791946308
KRAS.600 UP.V1 DN,0.03214285714285714,0.02142857142857143,0.02857142857142857,0.03214285714285714,0.03214285714285714,0.02142857142857143,0.05,0.010714285714285714,0.025,0.014285714285714285,0.0,0.0035714285714285713,0.010714285714285714,0.02142857142857143,0.007142857142857143,0.007142857142857143,0.025,0.0,0.014285714285714285,0.010714285714285714,1.0,0.18928571428571428,0.02142857142857143,0.03571428571428571,0.02857142857142857,0.017857142857142856,0.010714285714285714,0.010714285714285714,0.007142857142857143,0.02857142857142857,0.007142857142857143,0.0,0.010714285714285714,0.007142857142857143,0.03214285714285714,0.0,0.014285714285714285,0.03214285714285714,0.014285714285714285,0.007142857142857143
