"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"JUN","1","17.25000000000000","4","0.0011599305673885140","0.12917125954438835","69.942235199819933200","ENCODE_TF_ChIP-seq_2015(rank=1, adjP=0.384); ChEA_2022(rank=12, adjP=0.278); Transcription_Factor_PPIs(rank=16, adjP=0.275); TRRUST_Transcription_Factors_2019(rank=40, adjP=0.129)","JUN HeLa-S3 hg19; JUN 26020271 ChIP-Seq HCASMC Human CoronaryArtery; JUN; JUN mouse","1","69.942235199819933200","enrichr","1","69.942235199819933200","0.0011599305673885140","0.12917125954438835","","6","ENCODE--ChIP-seq(rank=1); GTEx--Coexpression(rank=7); ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=59); ARCHS4--Coexpression(rank=76); Enrichr--Queries(rank=338)","19","0.00435600000000000","GTEx Coexpression,0.004356"
"AR","1","17.66666666666667","3","0.0003889452225802710","0.01672464457095165","62.869821989578134946","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=1, adjP=0.0167); ChEA_2022(rank=14, adjP=0.278); TRRUST_Transcription_Factors_2019(rank=38, adjP=0.0982)","AR CHEA; AR 19668381 ChIP-Seq PC3 Human; AR human","2","62.869821989578134946","enrichr","2","62.869821989578134946","0.0003889452225802710","0.01672464457095165","","5","Literature--ChIP-seq(rank=19); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=250); GTEx--Coexpression(rank=1357); ARCHS4--Coexpression(rank=1455)","438","0.11590000000000000","Literature ChIP-seq,0.1159"
"TP63","1","20.50000000000000","2","0.0003797686324583732","0.12576970514275740","48.980650123465323986","ChEA_2022(rank=1, adjP=0.126); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=40, adjP=0.804)","TP63 30713093 ChIP-Seq Epithelial Human Tongue SCC; TP63 CHEA","3","48.980650123465323986","enrichr","3","48.980650123465323986","0.0003797686324583732","0.12576970514275740","","5","Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=130); GTEx--Coexpression(rank=181); ARCHS4--Coexpression(rank=238); ReMap--ChIP-seq(rank=268)","372","0.09259000000000001","Enrichr Queries,0.09259"
"STAT3","1","21.00000000000000","4","0.0003123814150012463","0.01055528574985626","216.030282634058011126","TRRUST_Transcription_Factors_2019(rank=1, adjP=0.0106); ENCODE_TF_ChIP-seq_2015(rank=14, adjP=0.933); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=27, adjP=0.756); ChEA_2022(rank=42, adjP=0.316)","STAT3 human; STAT3 HeLa-S3 hg19; STAT3 ENCODE; STAT3 19079543 ChIP-ChIP MESCs Mouse","4","216.030282634058011126","enrichr","4","216.030282634058011126","0.0003123814150012463","0.01055528574985626","","6","ENCODE--ChIP-seq(rank=10); Literature--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=149); ARCHS4--Coexpression(rank=237); Enrichr--Queries(rank=621); GTEx--Coexpression(rank=721)","310","0.07317000000000000","Literature ChIP-seq,0.07317"
"NFKB1","1","65.33333333333333","3","0.0238308346377418198","0.21595715748195290","34.417755957620137508","Transcription_Factor_PPIs(rank=1, adjP=0.216); TRRUST_Transcription_Factors_2019(rank=44, adjP=0.252); ChEA_2022(rank=151, adjP=0.458)","NFKB1; NFKB1 human; NFKB1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation","5","34.417755957620137508","enrichr","5","34.417755957620137508","0.0238308346377418198","0.21595715748195290","","4","ReMap--ChIP-seq(rank=244); ARCHS4--Coexpression(rank=245); GTEx--Coexpression(rank=725); Enrichr--Queries(rank=765)","532","0.15049999999999999","ARCHS4 Coexpression,0.1505"
"ATF4","2","2.00000000000000","1","0.0004993126391262996","0.01055528574985626","540.642581387230166001","TRRUST_Transcription_Factors_2019(rank=2, adjP=0.0106)","ATF4 human","6","540.642581387230166001","enrichr","6","540.642581387230166001","0.0004993126391262996","0.01055528574985626","","4","ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=103); ARCHS4--Coexpression(rank=339); Enrichr--Queries(rank=1003)","276","0.06408999999999999","GTEx Coexpression,0.06409"
"EZH2","2","14.66666666666667","3","0.0054954011073036551","0.27762217081120327","38.217317699503347228","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=2, adjP=0.39); ChEA_2022(rank=4, adjP=0.278); ENCODE_TF_ChIP-seq_2015(rank=38, adjP=0.933)","EZH2 CHEA; EZH2 23942234 ChIP-Seq MYOBLASTS AND MYOTUBES Mouse; EZH2 astrocyte hg19","7","38.217317699503347228","enrichr","7","38.217317699503347228","0.0054954011073036551","0.27762217081120327","","0","",NA,NA,NA
"JUND","2","17.00000000000000","4","0.0014516990011427149","0.05385676331977464","115.776324263520720592","ENCODE_TF_ChIP-seq_2015(rank=2, adjP=0.384); Transcription_Factor_PPIs(rank=3, adjP=0.216); TRRUST_Transcription_Factors_2019(rank=26, adjP=0.0539); ChEA_2022(rank=37, adjP=0.304)","JUND MCF-7 hg19; JUND; JUND human; JUND 26020271 ChIP-Seq HCASMC Human CoronaryArtery","8","115.776324263520720592","enrichr","8","115.776324263520720592","0.0014516990011427149","0.05385676331977464","","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=15); Literature--ChIP-seq(rank=38); GTEx--Coexpression(rank=132); Enrichr--Queries(rank=638); ARCHS4--Coexpression(rank=1077)","81","0.01695000000000000","ENCODE ChIP-seq,0.01695"
"BACH1","2","196.50000000000000","2","0.0004540422568330591","0.12576970514275740","59.770037997449939837","ChEA_2022(rank=2, adjP=0.126); ENCODE_TF_ChIP-seq_2015(rank=391, adjP=0.933)","BACH1 22875853 ChIP-PCR HELA AND SCP4 Human; BACH1 K562 hg19","9","59.770037997449939837","enrichr","9","59.770037997449939837","0.0004540422568330591","0.12576970514275740","","6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=80); ARCHS4--Coexpression(rank=114); ReMap--ChIP-seq(rank=234); Enrichr--Queries(rank=345); GTEx--Coexpression(rank=1433)","56","0.01220000000000000","Literature ChIP-seq,0.0122"
"IRF4","2","205.25000000000000","4","0.0104029870187894360","0.04142548332618821","506.560232265719378120","Transcription_Factor_PPIs(rank=2, adjP=0.216); TRRUST_Transcription_Factors_2019(rank=9, adjP=0.0414); ENCODE_TF_ChIP-seq_2015(rank=382, adjP=0.933); ChEA_2022(rank=428, adjP=0.696)","IRF4; IRF4 mouse; IRF4 GM12878 hg19; IRF4 20064451 ChIP-Seq CD4+T Mouse","10","506.560232265719378120","enrichr","10","506.560232265719378120","0.0104029870187894360","0.04142548332618821","","5","ReMap--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=221); GTEx--Coexpression(rank=276); Enrichr--Queries(rank=828)","252","0.05724000000000000","ReMap ChIP-seq,0.05724"
"BCL11A","3","3.00000000000000","1","0.0042024795543004010","0.57167449411016302","31.110171309736749379","ENCODE_TF_ChIP-seq_2015(rank=3, adjP=0.572)","BCL11A GM12878 hg19","11","31.110171309736749379","enrichr","11","31.110171309736749379","0.0042024795543004010","0.57167449411016302","","5","ENCODE--ChIP-seq(rank=4); GTEx--Coexpression(rank=195); ReMap--ChIP-seq(rank=218); Enrichr--Queries(rank=693); ARCHS4--Coexpression(rank=1206)","154","0.03390000000000000","ENCODE ChIP-seq,0.0339"
"ESR1","3","15.00000000000000","4","0.0008481701801219675","0.08776518038693480","133.173483925356720192","ChEA_2022(rank=3, adjP=0.157); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=11, adjP=0.509); ENCODE_TF_ChIP-seq_2015(rank=11, adjP=0.915); TRRUST_Transcription_Factors_2019(rank=35, adjP=0.0878)","ESR1 21235772 ChIP-Seq MCF-7 Human; ESR1 CHEA; ESR1 ECC-1 hg19; ESR1 human","12","133.173483925356720192","enrichr","12","133.173483925356720192","0.0008481701801219675","0.08776518038693480","","6","Literature--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=7); Enrichr--Queries(rank=25); ReMap--ChIP-seq(rank=37); ARCHS4--Coexpression(rank=96); GTEx--Coexpression(rank=1594)","26","0.00609800000000000","Literature ChIP-seq,0.006098"
"CEBPB","3","21.60000000000000","5","0.0007196785738538356","0.01055528574985626","424.432799324447955769","TRRUST_Transcription_Factors_2019(rank=3, adjP=0.0106); Transcription_Factor_PPIs(rank=9, adjP=0.275); ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=10, adjP=0.509); ENCODE_TF_ChIP-seq_2015(rank=13, adjP=0.915); ChEA_2022(rank=73, adjP=0.317)","CEBPB mouse; CEBPB; CEBPB ENCODE; CEBPB MCF-7 hg19; CEBPB 20513432 ChIP-Seq MACROPHAGES Mouse","13","424.432799324447955769","enrichr","13","424.432799324447955769","0.0007196785738538356","0.01055528574985626","","6","ENCODE--ChIP-seq(rank=8); Literature--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=108); GTEx--Coexpression(rank=238); ARCHS4--Coexpression(rank=244); Enrichr--Queries(rank=609)","292","0.06780000000000000","ENCODE ChIP-seq,0.0678"
"ZNF384","3","23.00000000000000","2","0.0303480317176232361","0.38991739137234266","17.355532507662108088","ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X(rank=3, adjP=0.39); ENCODE_TF_ChIP-seq_2015(rank=43, adjP=0.933)","ZNF384 ENCODE; ZNF384 ES-E14 mm9","14","17.355532507662108088","enrichr","14","17.355532507662108088","0.0303480317176232361","0.38991739137234266","","5","ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=1112); GTEx--Coexpression(rank=1241); ARCHS4--Coexpression(rank=1323)","493","0.13560000000000000","ENCODE ChIP-seq,0.1356"
"MEF2D","4","4.00000000000000","1","0.0056871157389833341","0.04142548332618821","1147.410799309517415168","TRRUST_Transcription_Factors_2019(rank=4, adjP=0.0414)","MEF2D human","15","1147.410799309517415168","enrichr","15","1147.410799309517415168","0.0056871157389833341","0.04142548332618821","","3","GTEx--Coexpression(rank=137); Enrichr--Queries(rank=1124); ARCHS4--Coexpression(rank=1167)","348","0.08525000000000001","GTEx Coexpression,0.08525"
