Pathway,NKT PATHWAY,TOB1 PATHWAY,TH1TH2 PATHWAY,ASBCELL PATHWAY,IL5 PATHWAY,EOSINOPHILS PATHWAY,CTLA4 PATHWAY,TCRA PATHWAY,BLYMPHOCYTE PATHWAY,MHC PATHWAY,IL17 PATHWAY,INFLAM PATHWAY,STEM PATHWAY,DC PATHWAY,CYTOKINE PATHWAY,IL10 PATHWAY,NKCELLS PATHWAY,TRKA PATHWAY,IL2RB PATHWAY,IL12 PATHWAY,NO2IL12 PATHWAY,CTL PATHWAY,TCAPOPTOSIS PATHWAY,TCYTOTOXIC PATHWAY,THELPER PATHWAY,STATHMIN PATHWAY,NUCLEARRS PATHWAY,MRP PATHWAY,ATM PATHWAY,ATRBRCA PATHWAY,G2 PATHWAY,PLK3 PATHWAY,TSP1 PATHWAY,CASPASE PATHWAY,D4GDI PATHWAY,PPARA PATHWAY,FXR PATHWAY,DSP PATHWAY,RANKL PATHWAY,SRCRPTP PATHWAY
NKT PATHWAY,1.0,0.2692307692307692,0.4230769230769231,0.19230769230769232,0.15384615384615385,0.11538461538461539,0.07692307692307693,0.038461538461538464,0.0,0.0,0.038461538461538464,0.34615384615384615,0.19230769230769232,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0,0.23076923076923078,0.23076923076923078,0.0,0.11538461538461539,0.038461538461538464,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TOB1 PATHWAY,0.3684210526315789,1.0,0.2631578947368421,0.15789473684210525,0.05263157894736842,0.0,0.3157894736842105,0.21052631578947367,0.0,0.0,0.21052631578947367,0.3157894736842105,0.10526315789473684,0.10526315789473684,0.15789473684210525,0.0,0.0,0.0,0.05263157894736842,0.2631578947368421,0.2631578947368421,0.21052631578947367,0.2631578947368421,0.2631578947368421,0.2631578947368421,0.21052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
TH1TH2 PATHWAY,0.4782608695652174,0.21739130434782608,1.0,0.43478260869565216,0.2608695652173913,0.21739130434782608,0.34782608695652173,0.21739130434782608,0.2608695652173913,0.21739130434782608,0.0,0.34782608695652173,0.08695652173913043,0.13043478260869565,0.17391304347826086,0.0,0.043478260869565216,0.0,0.043478260869565216,0.21739130434782608,0.13043478260869565,0.0,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.0,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASBCELL PATHWAY,0.3333333333333333,0.2,0.6666666666666666,1.0,0.4666666666666667,0.3333333333333333,0.5333333333333333,0.4,0.4666666666666667,0.3333333333333333,0.06666666666666667,0.6,0.2,0.2,0.2,0.06666666666666667,0.0,0.0,0.13333333333333333,0.0,0.06666666666666667,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL5 PATHWAY,0.3076923076923077,0.07692307692307693,0.46153846153846156,0.5384615384615384,1.0,0.6153846153846154,0.38461538461538464,0.46153846153846156,0.38461538461538464,0.38461538461538464,0.15384615384615385,0.6923076923076923,0.3076923076923077,0.15384615384615385,0.23076923076923078,0.07692307692307693,0.0,0.0,0.0,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EOSINOPHILS PATHWAY,0.2727272727272727,0.0,0.45454545454545453,0.45454545454545453,0.7272727272727273,1.0,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.09090909090909091,0.7272727272727273,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CTLA4 PATHWAY,0.09090909090909091,0.2727272727272727,0.36363636363636365,0.36363636363636365,0.22727272727272727,0.22727272727272727,1.0,0.45454545454545453,0.2727272727272727,0.22727272727272727,0.18181818181818182,0.2727272727272727,0.045454545454545456,0.0,0.045454545454545456,0.0,0.09090909090909091,0.13636363636363635,0.13636363636363635,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.22727272727272727,0.22727272727272727,0.22727272727272727,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.045454545454545456
TCRA PATHWAY,0.07142857142857142,0.2857142857142857,0.35714285714285715,0.42857142857142855,0.42857142857142855,0.35714285714285715,0.7142857142857143,1.0,0.42857142857142855,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.35714285714285715,0.2857142857142857,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BLYMPHOCYTE PATHWAY,0.0,0.0,0.42857142857142855,0.5,0.35714285714285715,0.35714285714285715,0.42857142857142855,0.42857142857142855,1.0,0.35714285714285715,0.0,0.35714285714285715,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21428571428571427,0.0,0.2857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MHC PATHWAY,0.0,0.0,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,0.35714285714285715,1.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IL17 PATHWAY,0.06666666666666667,0.26666666666666666,0.0,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.26666666666666666,0.3333333333333333,0.0,0.0,1.0,0.3333333333333333,0.4,0.13333333333333333,0.26666666666666666,0.06666666666666667,0.0,0.0,0.0,0.26666666666666666,0.4,0.26666666666666666,0.3333333333333333,0.4,0.4,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INFLAM PATHWAY,0.3103448275862069,0.20689655172413793,0.27586206896551724,0.3103448275862069,0.3103448275862069,0.27586206896551724,0.20689655172413793,0.20689655172413793,0.1724137931034483,0.1724137931034483,0.1724137931034483,1.0,0.41379310344827586,0.3103448275862069,0.4827586206896552,0.13793103448275862,0.0,0.0,0.0,0.034482758620689655,0.06896551724137931,0.0,0.034482758620689655,0.0,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06896551724137931,0.0,0.0,0.034482758620689655,0.0
STEM PATHWAY,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.2,0.26666666666666666,0.2,0.06666666666666667,0.06666666666666667,0.0,0.0,0.4,0.8,1.0,0.26666666666666666,0.4666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.06666666666666667,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DC PATHWAY,0.23529411764705882,0.11764705882352941,0.17647058823529413,0.17647058823529413,0.11764705882352941,0.17647058823529413,0.0,0.0,0.058823529411764705,0.0,0.11764705882352941,0.5294117647058824,0.23529411764705882,1.0,0.47058823529411764,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.11764705882352941,0.0,0.0,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0
