"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","JUN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.00","2","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); GTEx--Coexpression(rank=10); ARCHS4--Coexpression(rank=44); Enrichr--Queries(rank=66)","12","rank=5; score=3.7579; p=0.00017464","rank=12; score=0.003367","rank=5; score=55.46; p=7.1546e-06; adjP=0.002032","rank=2; score=3.9935; p=0.00010151"
"2","ATF3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.75","1","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=60)","1","rank=9; score=2.8637; p=0.0013686","rank=1; score=0.0006143","rank=4; score=67.924; p=1.3742e-07; adjP=9.9903e-05","rank=13; score=1.9926; p=0.010171"
"3","FOS","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.50","6","5","GTEx--Coexpression(rank=3); ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=20); ARCHS4--Coexpression(rank=220)","6","rank=10; score=2.7449; p=0.0017994","rank=6; score=0.001867","rank=35; score=48.172; p=0.0022277; adjP=0.038888","rank=7; score=2.6521; p=0.0022277"
"4","NFKB1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.50","3","4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=237); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=616)","56","rank=12; score=2.2812; p=0.0052333","rank=56; score=0.01474","rank=7; score=44.387; p=0.00014541; adjP=0.0085574","rank=3; score=3.7397; p=0.00018208"
"5","NR1H3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.75","5","5","Literature--ChIP-seq(rank=13); GTEx--Coexpression(rank=21); ARCHS4--Coexpression(rank=55); Enrichr--Queries(rank=94); ReMap--ChIP-seq(rank=274)","51","rank=6; score=3.7386; p=0.00018255","rank=51; score=0.01307","rank=21; score=167.77; p=0.00054451; adjP=0.017061","rank=5; score=3.0415; p=0.00090888"
"6","RELA","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.50","4","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=384); Enrichr--Queries(rank=693); GTEx--Coexpression(rank=963)","71","rank=17; score=1.8859; p=0.013005","rank=71; score=0.01829","rank=10; score=26.559; p=6.3953e-05; adjP=0.0058118","rank=4; score=3.1473; p=0.00071234"
"7","ARNTL","DoRothEA;ChEA3;ENRICHR;TRRUST","5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST","34.50","3","4","ARCHS4--Coexpression(rank=45); ReMap--ChIP-seq(rank=96); Enrichr--Queries(rank=102); GTEx--Coexpression(rank=104)","104","rank=3; score=3.9957; p=0.000101","rank=104; score=0.02764","rank=25; score=342.37; p=0.0013546; adjP=0.031834","rank=6; score=2.8682; p=0.0013547"
"8","STAT1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.75","4","6","ReMap--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=23); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=268); GTEx--Coexpression(rank=1380)","54","rank=4; score=3.9059; p=0.0001242","rank=54; score=0.01413","rank=53; score=55.009; p=0.0042483; adjP=0.053246","rank=36; score=1.321; p=0.047749"
"9","STAT3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.75","8","6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=30); ReMap--ChIP-seq(rank=40); Enrichr--Queries(rank=658); GTEx--Coexpression(rank=954)","72","rank=30; score=1.4436; p=0.036005","rank=72; score=0.01843","rank=37; score=27.651; p=0.0025844; adjP=0.038888","rank=8; score=2.5876; p=0.0025845"
"10","FOSL2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.25","3","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=93); ARCHS4--Coexpression(rank=114); GTEx--Coexpression(rank=851)","31","rank=46; score=1.0342; p=0.092435","rank=31; score=0.008475","rank=3; score=38.027; p=8.8805e-05; adjP=0.048451","rank=69; score=0.86834; p=0.13541"
