"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","2.0","1","6","ENCODE--ChIP-seq(rank=59); ReMap--ChIP-seq(rank=125); Literature--ChIP-seq(rank=126); ARCHS4--Coexpression(rank=808); Enrichr--Queries(rank=1227); GTEx--Coexpression(rank=1510)","1213","rank=3; score=5.3175; direction=Repressed","rank=1; score=4.8202; p=3.1125e-21; direction=Repressed"
"2","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.0","2","6","ENCODE--ChIP-seq(rank=21); Literature--ChIP-seq(rank=32); ReMap--ChIP-seq(rank=209); GTEx--Coexpression(rank=334); Enrichr--Queries(rank=373); ARCHS4--Coexpression(rank=1132)","643","rank=2; score=5.4079; direction=Repressed","rank=4; score=3.8728; p=6.7951e-06; direction=Repressed"
"3","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","2","4","Literature--ChIP-seq(rank=94); Enrichr--Queries(rank=330); ARCHS4--Coexpression(rank=385); GTEx--Coexpression(rank=919)","790","rank=11; score=4.0856; direction=Activated","rank=2; score=6.1236; p=1.8548e-10; direction=Activated"
"4","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.5","8","6","ARCHS4--Coexpression(rank=34); ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=44); Enrichr--Queries(rank=117); Literature--ChIP-seq(rank=134); GTEx--Coexpression(rank=875)","95","rank=8; score=4.7208; direction=Activated","rank=19; score=3.2845; p=0.00017041; direction=Activated"
"5","ATF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","17.0","16","4","ReMap--ChIP-seq(rank=184); GTEx--Coexpression(rank=631); ARCHS4--Coexpression(rank=844); Enrichr--Queries(rank=933)","1161","rank=18; score=3.5274; direction=Activated","rank=16; score=2.3074; p=0.0001341; direction=Activated"
"6","HIF1A","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.5","14","5","Literature--ChIP-seq(rank=6); ReMap--ChIP-seq(rank=75); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=237); GTEx--Coexpression(rank=553)","163","rank=14; score=3.9514; direction=Activated","rank=23; score=2.6986; p=0.00022772; direction=Activated"
"7","SREBF2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.5","13","6","ENCODE--ChIP-seq(rank=117); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=258); Enrichr--Queries(rank=634); GTEx--Coexpression(rank=1054); ARCHS4--Coexpression(rank=1456)","1271","rank=13; score=3.9839; direction=Repressed","rank=60; score=1.5494; p=0.0037617; direction=Repressed"
"8","NCOA1","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","45.5","38","4","ReMap--ChIP-seq(rank=261); ARCHS4--Coexpression(rank=337); GTEx--Coexpression(rank=629); Enrichr--Queries(rank=755)","726","rank=38; score=2.8453; direction=Activated","rank=53; score=2.178; p=0.0031182; direction=Activated"
"9","FOXO1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.0","15","5","ReMap--ChIP-seq(rank=28); Literature--ChIP-seq(rank=46); Enrichr--Queries(rank=48); ARCHS4--Coexpression(rank=275); GTEx--Coexpression(rank=354)","153","rank=15; score=3.9241; direction=Activated","rank=81; score=1.4191; p=0.0075118; direction=Activated"
"10","CLOCK","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.5","48","5","Literature--ChIP-seq(rank=35); ReMap--ChIP-seq(rank=74); ARCHS4--Coexpression(rank=254); Enrichr--Queries(rank=1002); GTEx--Coexpression(rank=1531)","577","rank=48; score=2.6867; direction=Activated","rank=59; score=1.6378; p=0.0036968; direction=Activated"
