"TF","DLD1","HCT15","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"NR2F1","2.91861926951821316","-3.761173807969442784","-0.42127726922561481","3.33989653874382775","Repressed","11","viper","11","3.33989653874382775",NA,NA,"4","ReMap--ChIP-seq(rank=180); Enrichr--Queries(rank=590); ARCHS4--Coexpression(rank=648); GTEx--Coexpression(rank=1239)","1145","0.39800000000000002","ARCHS4 Coexpression,0.398"
"MEF2A","2.98481323934824694","3.620890688594994078","3.30285196397162029","3.30285196397162029","Activated","12","viper","12","3.30285196397162029",NA,NA,"6","ENCODE--ChIP-seq(rank=41); Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=173); ARCHS4--Coexpression(rank=663); GTEx--Coexpression(rank=905); Enrichr--Queries(rank=1092)","902","0.28660000000000002","Literature ChIP-seq,0.2866"
"SREBF2","-4.16008661505515587","-2.310940737892296593","-3.23551367647372601","3.23551367647372601","Repressed","13","viper","13","3.23551367647372601",NA,NA,"6","ENCODE--ChIP-seq(rank=116); Literature--ChIP-seq(rank=124); ReMap--ChIP-seq(rank=167); GTEx--Coexpression(rank=762); Enrichr--Queries(rank=828); ARCHS4--Coexpression(rank=1510)","1294","0.47420000000000001","GTEx Coexpression,0.4742"
"STAT1","2.41905636774554011","4.013151183780374609","3.21610377576295736","3.21610377576295736","Activated","14","viper","14","3.21610377576295736",NA,NA,"6","ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=105); Literature--ChIP-seq(rank=120); GTEx--Coexpression(rank=131); ARCHS4--Coexpression(rank=218); Enrichr--Queries(rank=759)","305","0.08152000000000000","GTEx Coexpression,0.08152"
"SREBF1","-3.60328539555450877","-2.814611831911720596","-3.20894861373311446","3.20894861373311446","Repressed","15","viper","15","3.20894861373311446",NA,NA,"6","Literature--ChIP-seq(rank=35); ENCODE--ChIP-seq(rank=105); ReMap--ChIP-seq(rank=135); Enrichr--Queries(rank=282); GTEx--Coexpression(rank=342); ARCHS4--Coexpression(rank=1260)","689","0.20090000000000000","Enrichr Queries,0.2009"
"ARNTL","2.65364398036686033","3.705594575306273786","3.17961927783656684","3.17961927783656684","Activated","16","viper","16","3.17961927783656684",NA,NA,"4","Enrichr--Queries(rank=124); ARCHS4--Coexpression(rank=126); ReMap--ChIP-seq(rank=205); GTEx--Coexpression(rank=218)","288","0.07740000000000000","ARCHS4 Coexpression,0.0774"
"TFDP1","-5.14447575612769015","1.121279616607426588","-2.01159806976013167","3.13287768636755848","Repressed","17","viper","17","3.13287768636755848",NA,NA,"4","GTEx--Coexpression(rank=64); ReMap--ChIP-seq(rank=168); ARCHS4--Coexpression(rank=350); Enrichr--Queries(rank=1312)","156","0.03983000000000000","GTEx Coexpression,0.03983"
"MAFF","4.35178523838714604","1.876352652191165093","3.11406894528915545","3.11406894528915545","Activated","18","viper","18","3.11406894528915545",NA,NA,"5","Enrichr--Queries(rank=4); GTEx--Coexpression(rank=24); ENCODE--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=199); ARCHS4--Coexpression(rank=1626)","11","0.00284900000000000","Enrichr Queries,0.002849"
"FOXM1","-4.39917797743087746","1.620527273478997721","-1.38932535197593987","3.00985262545493759","Repressed","19","viper","19","3.00985262545493759",NA,NA,"6","ENCODE--ChIP-seq(rank=23); Literature--ChIP-seq(rank=71); GTEx--Coexpression(rank=165); ReMap--ChIP-seq(rank=221); ARCHS4--Coexpression(rank=348); Enrichr--Queries(rank=844)","386","0.10270000000000000","GTEx Coexpression,0.1027"
"MNT","-4.20857479631717091","-1.757219571153684212","-2.98289718373542767","2.98289718373542767","Repressed","20","viper","20","2.98289718373542767",NA,NA,"4","ReMap--ChIP-seq(rank=164); GTEx--Coexpression(rank=431); Enrichr--Queries(rank=514); ARCHS4--Coexpression(rank=1212)","858","0.26819999999999999","GTEx Coexpression,0.2682"
"MBD2","3.31411030256418560","-2.570406004767820107","0.37185214889818274","2.94225815366600285","Activated","21","viper","21","2.94225815366600285",NA,NA,"4","ReMap--ChIP-seq(rank=261); ARCHS4--Coexpression(rank=710); Enrichr--Queries(rank=1221); GTEx--Coexpression(rank=1408)","1221","0.43609999999999999","ARCHS4 Coexpression,0.4361"
"KLF1","3.74621959076838973","-2.118313824627513942","0.81395288307043789","2.93226670769795206","Activated","22","viper","22","2.93226670769795206",NA,NA,"5","Literature--ChIP-seq(rank=139); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=386); ARCHS4--Coexpression(rank=402); GTEx--Coexpression(rank=851)","807","0.24690000000000001","ARCHS4 Coexpression,0.2469"
"THAP1","1.33699347056790629","-4.517099659721740323","-1.59005309457691713","2.92704656514482320","Repressed","23","viper","23","2.92704656514482320",NA,NA,"5","ENCODE--ChIP-seq(rank=114); ReMap--ChIP-seq(rank=163); Enrichr--Queries(rank=603); GTEx--Coexpression(rank=1124); ARCHS4--Coexpression(rank=1246)","1208","0.42949999999999999","Enrichr Queries,0.4295"
"KLF9","5.45002364507030101","-0.403018233098599021","2.52350270598585080","2.92652093908445021","Activated","24","viper","24","2.92652093908445021",NA,NA,"4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=69); ReMap--ChIP-seq(rank=263); GTEx--Coexpression(rank=843)","62","0.01474000000000000","ARCHS4 Coexpression,0.01474"
"TP53","3.31793345486618119","2.496009697668360339","2.90697157626727076","2.90697157626727076","Activated","25","viper","25","2.90697157626727076",NA,NA,"5","Literature--ChIP-seq(rank=44); ReMap--ChIP-seq(rank=124); GTEx--Coexpression(rank=655); ARCHS4--Coexpression(rank=909); Enrichr--Queries(rank=1039)","859","0.26829999999999998","Literature ChIP-seq,0.2683"
