"TF","HMVL_CRC29","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ZNF263","-7.964443752135512256","-7.964443752135512256","7.964443752135512256","Repressed","1","viper","1","7.964443752135512256",NA,NA,"6","ReMap--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=45); Literature--ChIP-seq(rank=45); Enrichr--Queries(rank=1293); ARCHS4--Coexpression(rank=1588); GTEx--Coexpression(rank=1603)","128","0.03030000000000000","ReMap ChIP-seq,0.0303"
"ZBTB7A","-7.429198271337219772","-7.429198271337219772","7.429198271337219772","Repressed","2","viper","2","7.429198271337219772",NA,NA,"5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=5); GTEx--Coexpression(rank=364); ARCHS4--Coexpression(rank=649); Enrichr--Queries(rank=1133)","74","0.01684000000000000","ReMap ChIP-seq,0.01684"
"E2F4","-7.261966560290789019","-7.261966560290789019","7.261966560290789019","Repressed","3","viper","3","7.261966560290789019",NA,NA,"6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=21); ARCHS4--Coexpression(rank=1336); Enrichr--Queries(rank=1369); GTEx--Coexpression(rank=1525)","35","0.00847500000000000","ENCODE ChIP-seq,0.008475"
"KLF5","6.483804508091941088","6.483804508091941088","6.483804508091941088","Activated","4","viper","4","6.483804508091941088",NA,NA,"5","ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=53); ARCHS4--Coexpression(rank=61); GTEx--Coexpression(rank=231); Enrichr--Queries(rank=357)","27","0.00673400000000000","ReMap ChIP-seq,0.006734"
"E2F1","-5.228251126186312270","-5.228251126186312270","5.228251126186312270","Repressed","5","viper","5","5.228251126186312270",NA,NA,"6","GTEx--Coexpression(rank=5); Enrichr--Queries(rank=12); Literature--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=18); ReMap--ChIP-seq(rank=190); ARCHS4--Coexpression(rank=1469)","14","0.00311100000000000","GTEx Coexpression,0.003111"
"THAP1","4.574350030404297662","4.574350030404297662","4.574350030404297662","Activated","6","viper","6","4.574350030404297662",NA,NA,"5","ReMap--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=114); ARCHS4--Coexpression(rank=1140); Enrichr--Queries(rank=1313); GTEx--Coexpression(rank=1602)","263","0.06397000000000000","ReMap ChIP-seq,0.06397"
"MYC","-4.554384747437880243","-4.554384747437880243","4.554384747437880243","Repressed","7","viper","7","4.554384747437880243",NA,NA,"6","Literature--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=65); ReMap--ChIP-seq(rank=108); Enrichr--Queries(rank=696); GTEx--Coexpression(rank=1120); ARCHS4--Coexpression(rank=1382)","884","0.26219999999999999","Literature ChIP-seq,0.2622"
"ZNF639","4.424545135062527557","4.424545135062527557","4.424545135062527557","Activated","8","viper","8","4.424545135062527557",NA,NA,"4","ReMap--ChIP-seq(rank=162); ARCHS4--Coexpression(rank=217); GTEx--Coexpression(rank=783); Enrichr--Queries(rank=1329)","514","0.13330000000000000","ARCHS4 Coexpression,0.1333"
"PRDM14","4.364062912178559017","4.364062912178559017","4.364062912178559017","Activated","9","viper","9","4.364062912178559017",NA,NA,"5","ReMap--ChIP-seq(rank=20); Literature--ChIP-seq(rank=28); Enrichr--Queries(rank=848); ARCHS4--Coexpression(rank=941); GTEx--Coexpression(rank=1242)","276","0.06734000000000000","ReMap ChIP-seq,0.06734"
"RFX1","4.311746341291038398","4.311746341291038398","4.311746341291038398","Activated","10","viper","10","4.311746341291038398",NA,NA,"4","ReMap--ChIP-seq(rank=114); GTEx--Coexpression(rank=169); ARCHS4--Coexpression(rank=508); Enrichr--Queries(rank=1283)","422","0.10520000000000000","GTEx Coexpression,0.1052"
"E2F2","-4.226079432507716227","-4.226079432507716227","4.226079432507716227","Repressed","11","viper","11","4.226079432507716227",NA,NA,"3","Enrichr--Queries(rank=19); ARCHS4--Coexpression(rank=36); GTEx--Coexpression(rank=624)","58","0.01353000000000000","Enrichr Queries,0.01353"
"ZBTB11","-4.187368070187496905","-4.187368070187496905","4.187368070187496905","Repressed","12","viper","12","4.187368070187496905",NA,NA,"4","ReMap--ChIP-seq(rank=130); GTEx--Coexpression(rank=616); Enrichr--Queries(rank=1404); ARCHS4--Coexpression(rank=1625)","1123","0.38329999999999997","GTEx Coexpression,0.3833"
"TP53","3.892336825879461504","3.892336825879461504","3.892336825879461504","Activated","13","viper","13","3.892336825879461504",NA,NA,"5","Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=66); Enrichr--Queries(rank=590); ARCHS4--Coexpression(rank=859); GTEx--Coexpression(rank=1347)","232","0.05488000000000000","Literature ChIP-seq,0.05488"
"NEUROD1","3.640906713787860127","3.640906713787860127","3.640906713787860127","Activated","14","viper","14","3.640906713787860127",NA,NA,"4","ReMap--ChIP-seq(rank=45); GTEx--Coexpression(rank=141); Enrichr--Queries(rank=693); ARCHS4--Coexpression(rank=740)","362","0.08774000000000000","GTEx Coexpression,0.08774"
