"TF","Score","Activity_Score_Mean","Method_P_Value","Condition_Scores","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"CEBPA","0.791479799693281305","0.791479799693281305","0.4286640593900974405272563672","HMVL_TOR10=0.7915","Activated","388","collectri","388","0.791479799693281305",NA,"5","Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=260); ARCHS4--Coexpression(rank=342); Enrichr--Queries(rank=410); GTEx--Coexpression(rank=1079)","734","0.210100000000000009","ARCHS4 Coexpression,0.2101"
"ZNF91","0.791400785258910444","0.791400785258910444","0.4287101518938470356978598375","HMVL_TOR10=0.7914","Activated","389","collectri","389","0.791400785258910444",NA,"3","Enrichr--Queries(rank=227); GTEx--Coexpression(rank=242); ARCHS4--Coexpression(rank=637)","554","0.150600000000000012","GTEx Coexpression,0.1506"
"MNT","0.790412444348612353","0.790412444348612353","0.4292869369541209567664452607","HMVL_TOR10=0.7904","Activated","390","collectri","390","0.790412444348612353",NA,"4","ReMap--ChIP-seq(rank=64); Enrichr--Queries(rank=663); GTEx--Coexpression(rank=1052); ARCHS4--Coexpression(rank=1348)","754","0.215499999999999997","ReMap ChIP-seq,0.2155"
"ZNF362","0.789493298164588131","-0.789493298164588131","0.4298237452516877055153088349","HMVL_TOR10=-0.7895","Repressed","391","collectri","391","0.789493298164588131",NA,"3","Enrichr--Queries(rank=447); GTEx--Coexpression(rank=726); ARCHS4--Coexpression(rank=1365)","1030","0.318400000000000016","Enrichr Queries,0.3184"
"LITAF","0.788873833789118128","-0.788873833789118128","0.4301857504186284431035858233","HMVL_TOR10=-0.7889","Repressed","392","collectri","392","0.788873833789118128",NA,"0","",NA,NA,NA
"FOSL1","0.782025187474228889","0.782025187474228889","0.4341997712751918814255702728","HMVL_TOR10=0.782","Activated","393","collectri","393","0.782025187474228889",NA,"5","ENCODE--ChIP-seq(rank=50); Enrichr--Queries(rank=54); ARCHS4--Coexpression(rank=90); ReMap--ChIP-seq(rank=164); GTEx--Coexpression(rank=941)","147","0.038460000000000001","Enrichr Queries,0.03846"
"EGR1","0.776587348121104748","-0.776587348121104748","0.4374022683400091704442047558","HMVL_TOR10=-0.7766","Repressed","394","collectri","394","0.776587348121104748",NA,"6","ReMap--ChIP-seq(rank=22); Literature--ChIP-seq(rank=48); ENCODE--ChIP-seq(rank=67); Enrichr--Queries(rank=155); GTEx--Coexpression(rank=185); ARCHS4--Coexpression(rank=1137)","276","0.074069999999999997","ReMap ChIP-seq,0.07407"
"SIN3A","0.770562140927644745","-0.770562140927644745","0.4409665087590198262468277335","HMVL_TOR10=-0.7706","Repressed","395","collectri","395","0.770562140927644745",NA,"0","",NA,NA,NA
"STOX1","0.769500162462672499","0.769500162462672499","0.4415964481215046144590985477","HMVL_TOR10=0.7695","Activated","396","collectri","396","0.769500162462672499",NA,"0","",NA,NA,NA
"PROP1","0.768368521536646365","-0.768368521536646365","0.4422682762990672866720842649","HMVL_TOR10=-0.7684","Repressed","397","collectri","397","0.768368521536646365",NA,"3","Enrichr--Queries(rank=1012); GTEx--Coexpression(rank=1217); ARCHS4--Coexpression(rank=1309)","1561","0.720799999999999996","Enrichr Queries,0.7208"
