"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","CollecTRI"
"1","KLF5","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.33333333333334","3","5","Enrichr--Queries(rank=2); GTEx--Coexpression(rank=8); ARCHS4--Coexpression(rank=9); Literature--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=83)","5","rank=49; score=1.3608; p=0.043566","rank=3; score=7.179; direction=Repressed","rank=48; score=2.6301; p=0.008536; direction=Repressed"
"2","ETV1","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","48.00000000000000","17","4","Enrichr--Queries(rank=102); GTEx--Coexpression(rank=207); ReMap--ChIP-seq(rank=234); ARCHS4--Coexpression(rank=238)","300","rank=83; score=0.83128; p=0.14747","rank=44; score=2.9516; direction=Activated","rank=17; score=3.2247; p=0.0012612; direction=Repressed"
"3","ELF3","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.00000000000000","20","4","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=14); ARCHS4--Coexpression(rank=26); Enrichr--Queries(rank=42)","14","rank=20; score=2.1022; p=0.007903","rank=58; score=2.4304; direction=Repressed","rank=96; score=2.1257; p=0.033526; direction=Repressed"
"4","SNAI2","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","64.33333333333333","24","4","ARCHS4--Coexpression(rank=1); ReMap--ChIP-seq(rank=79); Enrichr--Queries(rank=115); GTEx--Coexpression(rank=182)","1","rank=91; score=0.69545; p=0.20163","rank=24; score=3.5914; direction=Activated","rank=78; score=2.3006; p=0.021415; direction=Repressed"
"5","ESR1","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.00000000000000","41","6","ENCODE--ChIP-seq(rank=6); Literature--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=52); ARCHS4--Coexpression(rank=133); GTEx--Coexpression(rank=243); Enrichr--Queries(rank=374)","215","rank=63; score=1.1249; p=0.075004","rank=41; score=3.0421; direction=Repressed","rank=94; score=2.1333; p=0.032901; direction=Repressed"
"6","NCOA2","DoRothEA;VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","67.00000000000000","57","4","ReMap--ChIP-seq(rank=158); GTEx--Coexpression(rank=281); ARCHS4--Coexpression(rank=828); Enrichr--Queries(rank=912)","613","rank=57; score=1.1833; p=0.065564","rank=62; score=2.3214; direction=Activated","rank=82; score=2.2574; p=0.02398; direction=Repressed"
"7","KLF6","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","72.66666666666667","10","4","ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=236); GTEx--Coexpression(rank=801); ARCHS4--Coexpression(rank=909)","55","rank=79; score=0.93063; p=0.11732","rank=10; score=4.5367; direction=Repressed","rank=129; score=1.9871; p=0.046908; direction=Activated"
"8","NR5A2","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","77.00000000000000","48","4","ReMap--ChIP-seq(rank=60); Enrichr--Queries(rank=121); ARCHS4--Coexpression(rank=146); GTEx--Coexpression(rank=1051)","345","rank=48; score=1.4151; p=0.038446","rank=116; score=1.4246; direction=Repressed","rank=67; score=2.4584; p=0.013957; direction=Repressed"
"9","TEAD4","DoRothEA;VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","77.66666666666666","8","6","ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=35); Literature--ChIP-seq(rank=37); Enrichr--Queries(rank=272); ARCHS4--Coexpression(rank=1173); GTEx--Coexpression(rank=1468)","441","rank=18; score=2.137; p=0.0072948","rank=207; score=0.4213; direction=Repressed","rank=8; score=3.413; p=0.00064244; direction=Activated"
"10","SRF","DoRothEA;VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","78.33333333333333","44","6","ENCODE--ChIP-seq(rank=42); Literature--ChIP-seq(rank=155); ReMap--ChIP-seq(rank=193); GTEx--Coexpression(rank=396); Enrichr--Queries(rank=546); ARCHS4--Coexpression(rank=1566)","804","rank=98; score=0.67514; p=0.21128","rank=93; score=1.7166; direction=Repressed","rank=44; score=2.6916; p=0.0071104; direction=Repressed"
