"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","ATF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","4","ReMap--ChIP-seq(rank=29); GTEx--Coexpression(rank=103); ARCHS4--Coexpression(rank=339); Enrichr--Queries(rank=1003)","276","rank=1; score=3.9923; p=0.00010179","rank=2; score=3.3016; p=0.00049933"
"2","FOSL1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.5","4","5","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=11); Enrichr--Queries(rank=404); ARCHS4--Coexpression(rank=1082); GTEx--Coexpression(rank=1124)","14","rank=4; score=1.9828; p=0.010403","rank=7; score=2.0696; p=0.0085193"
"3","FOSL2","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","3","5","ENCODE--ChIP-seq(rank=6); Enrichr--Queries(rank=50); ReMap--ChIP-seq(rank=125); ARCHS4--Coexpression(rank=151); GTEx--Coexpression(rank=334)","161","rank=3; score=2.024; p=0.0094616","rank=10; score=1.8489; p=0.014161"
"4","ESR2","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.5","7","5","Literature--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=65); Enrichr--Queries(rank=685); GTEx--Coexpression(rank=1314); ARCHS4--Coexpression(rank=1365)","488","rank=7; score=1.795; p=0.016034","rank=12; score=1.747; p=0.017904"
"5","FOS","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.0","2","5","GTEx--Coexpression(rank=11); ENCODE--ChIP-seq(rank=13); ARCHS4--Coexpression(rank=48); ReMap--ChIP-seq(rank=48); Enrichr--Queries(rank=173)","32","rank=2; score=2.487; p=0.003258","rank=20; score=1.2773; p=0.052806"
"6","KLF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.0","5","5","Literature--ChIP-seq(rank=31); ARCHS4--Coexpression(rank=148); GTEx--Coexpression(rank=155); Enrichr--Queries(rank=158); ReMap--ChIP-seq(rank=258)","367","rank=5; score=1.9452; p=0.011344","rank=17; score=1.4278; p=0.03734"
"7","JUND","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.0","8","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=15); Literature--ChIP-seq(rank=38); GTEx--Coexpression(rank=132); Enrichr--Queries(rank=638); ARCHS4--Coexpression(rank=1077)","81","rank=8; score=1.747; p=0.017904","rank=16; score=1.4972; p=0.031825"
"8","ATF2","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.5","10","5","ENCODE--ChIP-seq(rank=41); ReMap--ChIP-seq(rank=230); GTEx--Coexpression(rank=475); ARCHS4--Coexpression(rank=1085); Enrichr--Queries(rank=1128)","968","rank=10; score=1.6466; p=0.022565","rank=15; score=1.5232; p=0.029979"
"9","IRF4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.5","4","5","ReMap--ChIP-seq(rank=17); ENCODE--ChIP-seq(rank=76); ARCHS4--Coexpression(rank=221); GTEx--Coexpression(rank=276); Enrichr--Queries(rank=828)","252","rank=25; score=1.2028; p=0.062688","rank=4; score=2.3241; p=0.0047415"
"10","JUNB","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.5","11","4","ReMap--ChIP-seq(rank=40); ARCHS4--Coexpression(rank=93); GTEx--Coexpression(rank=234); Enrichr--Queries(rank=714)","251","rank=20; score=1.3162; p=0.048282","rank=11; score=1.8489; p=0.014161"
