"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","E2F1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.333333333333333","2","6","GTEx--Coexpression(rank=2); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=14); ARCHS4--Coexpression(rank=15); ENCODE--ChIP-seq(rank=21)","4","rank=4; score=0.001245","rank=4; score=229.78; p=7.0575e-21; adjP=1.0092e-18","rank=2; score=4; p=6.334e-05; direction=Repressed"
"2","E2F4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.666666666666668","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=76); ARCHS4--Coexpression(rank=209); GTEx--Coexpression(rank=1015)","33","rank=33; score=0.0101","rank=1; score=5524.7; p=2.123e-95; adjP=2.1018e-93","rank=1; score=12.111; p=9.224e-34; direction=Repressed"
"3","MYBL2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.666666666666668","5","6","Enrichr--Queries(rank=2); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=6); ENCODE--ChIP-seq(rank=10); GTEx--Coexpression(rank=12)","5","rank=5; score=0.001425","rank=16; score=172.83; p=4.6429e-18; adjP=5.5328e-16","rank=38; score=1.8673; p=0.061866; direction=Repressed"
"4","E2F3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.000000000000000","6","3","ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1226)","56","rank=56; score=0.01658","rank=6; score=725.08; p=3.9105e-07; adjP=1.9683e-05","rank=10; score=3.1072; p=0.0018886; direction=Repressed"
"5","FOXM1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.000000000000000","2","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=5)","2","rank=2; score=0.0006223","rank=3; score=18370; p=7.7682e-103; adjP=5.5543e-100","rank=112; score=1.4753; p=0.14014; direction=Repressed"
"6","NFYA","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.666666666666664","10","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=10); GTEx--Coexpression(rank=88); Enrichr--Queries(rank=187); ARCHS4--Coexpression(rank=224)","91","rank=91; score=0.02542","rank=10; score=337.59; p=1.2136e-29; adjP=3.0036e-28","rank=45; score=1.8411; p=0.065612; direction=Repressed"
"7","TP53","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","53.333333333333336","8","5","ARCHS4--Coexpression(rank=22); Literature--ChIP-seq(rank=84); GTEx--Coexpression(rank=96); Enrichr--Queries(rank=105); ReMap--ChIP-seq(rank=125)","45","rank=45; score=0.01351","rank=8; score=85.44; p=1.4011e-06; adjP=5.2893e-05","rank=107; score=1.4968; p=0.13445; direction=Repressed"
"8","MYC","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.333333333333329","2","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=15); ReMap--ChIP-seq(rank=47); Enrichr--Queries(rank=85); ARCHS4--Coexpression(rank=116); GTEx--Coexpression(rank=471)","156","rank=156; score=0.04268","rank=2; score=39.407; p=5.7306e-08; adjP=3.1518e-06","rank=5; score=3.3494; p=0.00080993; direction=Repressed"
"9","YY1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","78.666666666666671","43","6","ReMap--ChIP-seq(rank=36); ENCODE--ChIP-seq(rank=53); Literature--ChIP-seq(rank=54); ARCHS4--Coexpression(rank=62); Enrichr--Queries(rank=170); GTEx--Coexpression(rank=429)","140","rank=140; score=0.03808","rank=43; score=17.915; p=4.5318e-05; adjP=0.0012001","rank=53; score=1.7968; p=0.072369; direction=Repressed"
"10","IRF3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","85.666666666666671","15","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=4); GTEx--Coexpression(rank=218); Enrichr--Queries(rank=448); ARCHS4--Coexpression(rank=694)","44","rank=44; score=0.01347","rank=15; score=290.2; p=1.5886e-26; adjP=1.2836e-24","rank=198; score=1.1403; p=0.25415; direction=Activated"
