"TF","Best_Rank","Mean_Rank","Library_Count","Best_P_Value","Best_Adjusted_P_Value","Best_Combined_Score","Library","Top_Terms","Rank","Score","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"KLF8","208","208.00000000000000","1","0.37818520277087397385429312635096721351146697998046875000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","2.27176020955541169144","TRRUST_Transcription_Factors_2019(rank=208, adjP=0.659)","KLF8 human","398","2.27176020955541169144","enrichr","398","2.27176020955541169144","0.37818520277087397385429312635096721351146697998046875000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","","3","GTEx--Coexpression(rank=179); ARCHS4--Coexpression(rank=250); Enrichr--Queries(rank=393)","424","0.111400000000000013","GTEx Coexpression,0.1114"
"LXR","210","210.00000000000000","1","0.06908155723648164159289564167920616455376148223876953125000000000000000000000000000000000000000000000000000000","0.246719847273148440436330020020250231027603149414062500000000000000000000000000000000000000000000000000000000","3.14557731189579170561","ChEA_2022(rank=210, adjP=0.247)","LXR 22292898 ChIP-Seq THP-1 Human","399","3.14557731189579170561","enrichr","399","3.14557731189579170561","0.06908155723648164159289564167920616455376148223876953125000000000000000000000000000000000000000000000000000000","0.246719847273148440436330020020250231027603149414062500000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"HTT","210","235.50000000000000","2","0.11141280617106416594985773826920194551348686218261718750000000000000000000000000000000000000000000000000000000","0.320151741870874528839152617365471087396144866943359375000000000000000000000000000000000000000000000000000000","2.95120635168481015853","Transcription_Factor_PPIs(rank=210, adjP=0.967); ChEA_2022(rank=261, adjP=0.32)","HTT; HTT 18923047 ChIP-ChIP STHdh Human","400","2.95120635168481015853","enrichr","400","2.95120635168481015853","0.11141280617106416594985773826920194551348686218261718750000000000000000000000000000000000000000000000000000000","0.320151741870874528839152617365471087396144866943359375000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"NOD2","211","211.00000000000000","1","0.93109619070728844025808257356402464210987091064453125000000000000000000000000000000000000000000000000000000000","0.975223972257396987117772368947044014930725097656250000000000000000000000000000000000000000000000000000000000","0.02648352072976523433","Transcription_Factor_PPIs(rank=211, adjP=0.975)","NOD2","401","0.02648352072976523433","enrichr","401","0.02648352072976523433","0.93109619070728844025808257356402464210987091064453125000000000000000000000000000000000000000000000000000000000","0.975223972257396987117772368947044014930725097656250000000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"TBX1","212","212.00000000000000","1","0.37818520277087397385429312635096721351146697998046875000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","2.27176020955541169144","TRRUST_Transcription_Factors_2019(rank=212, adjP=0.659)","TBX1 mouse","402","2.27176020955541169144","enrichr","402","2.27176020955541169144","0.37818520277087397385429312635096721351146697998046875000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","","3","Enrichr--Queries(rank=1020); GTEx--Coexpression(rank=1115); ARCHS4--Coexpression(rank=1470)","1538","0.693799999999999972","GTEx Coexpression,0.6938"
"NFE2","212","294.25000000000000","4","0.30132554957556656471950873310561291873455047607421875000000000000000000000000000000000000000000000000000000000","0.524348404133816892169761558761820197105407714843750000000000000000000000000000000000000000000000000000000000","1.45957036468590395373","Transcription_Factor_PPIs(rank=212, adjP=0.981); TRRUST_Transcription_Factors_2019(rank=243, adjP=0.659); ENCODE_TF_ChIP-seq_2015(rank=291, adjP=1); ChEA_2022(rank=431, adjP=0.524)","NFE2; NFE2 mouse; NFE2 K562 hg19; NFE2 27457419 Chip-Seq LIVER Mouse","403","1.45957036468590395373","enrichr","403","1.45957036468590395373","0.30132554957556656471950873310561291873455047607421875000000000000000000000000000000000000000000000000000000000","0.524348404133816892169761558761820197105407714843750000000000000000000000000000000000000000000000000000000000","","5","ENCODE--ChIP-seq(rank=77); ReMap--ChIP-seq(rank=161); Enrichr--Queries(rank=488); ARCHS4--Coexpression(rank=864); GTEx--Coexpression(rank=1269)","1099","0.347600000000000020","Enrichr Queries,0.3476"
"SCL","216","216.00000000000000","1","0.07331198150895669451987401998849236406385898590087890625000000000000000000000000000000000000000000000000000000","0.254555491350544227380225947854341939091682434082031250000000000000000000000000000000000000000000000000000000","3.96623846910578725655","ChEA_2022(rank=216, adjP=0.255)","SCL 19346495 ChIP-Seq HPC-7 Human","404","3.96623846910578725655","enrichr","404","3.96623846910578725655","0.07331198150895669451987401998849236406385898590087890625000000000000000000000000000000000000000000000000000000","0.254555491350544227380225947854341939091682434082031250000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"ETV1","218","218.00000000000000","1","0.07505546444225914826109402611109544523060321807861328125000000000000000000000000000000000000000000000000000000","0.258218340971075210887875073240138590335845947265625000000000000000000000000000000000000000000000000000000000","3.03778644053157531602","ChEA_2022(rank=218, adjP=0.258)","ETV1 20927104 ChIP-Seq GIST48 Human","405","3.03778644053157531602","enrichr","405","3.03778644053157531602","0.07505546444225914826109402611109544523060321807861328125000000000000000000000000000000000000000000000000000000","0.258218340971075210887875073240138590335845947265625000000000000000000000000000000000000000000000000000000000","","4","ReMap--ChIP-seq(rank=176); Enrichr--Queries(rank=523); GTEx--Coexpression(rank=555); ARCHS4--Coexpression(rank=1526)","1089","0.345399999999999985","GTEx Coexpression,0.3454"
"HDAC3","219","219.00000000000000","1","0.40648600439702864406399385188706219196319580078125000000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","1.33847040602299105494","TRRUST_Transcription_Factors_2019(rank=219, adjP=0.659)","HDAC3 human","406","1.33847040602299105494","enrichr","406","1.33847040602299105494","0.40648600439702864406399385188706219196319580078125000000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
"PITX2","220","220.00000000000000","1","0.40648600439702864406399385188706219196319580078125000000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","1.33847040602299105494","TRRUST_Transcription_Factors_2019(rank=220, adjP=0.659)","PITX2 mouse","407","1.33847040602299105494","enrichr","407","1.33847040602299105494","0.40648600439702864406399385188706219196319580078125000000000000000000000000000000000000000000000000000000000000","0.658694325114361101114468510786537081003189086914062500000000000000000000000000000000000000000000000000000000","","3","Enrichr--Queries(rank=991); GTEx--Coexpression(rank=1179); ARCHS4--Coexpression(rank=1283)","1547","0.705799999999999983","Enrichr Queries,0.7058"
"GF1","221","221.00000000000000","1","0.07831027336711601782859304421435808762907981872558593750000000000000000000000000000000000000000000000000000000","0.264607103595246140326224804084631614387035369873046875000000000000000000000000000000000000000000000000000000","3.06892499053504508311","ChEA_2022(rank=221, adjP=0.265)","GF1 26923725 Chip-Seq HPCs Mouse","408","3.06892499053504508311","enrichr","408","3.06892499053504508311","0.07831027336711601782859304421435808762907981872558593750000000000000000000000000000000000000000000000000000000","0.264607103595246140326224804084631614387035369873046875000000000000000000000000000000000000000000000000000000","","0","",NA,NA,NA
