"TF","RKO"
"AHR","3.34145131377815208"
"AR","-0.20609100982593967"
"ARID2","-0.09433867961257468"
"ARID3A","3.06278970036511389"
"ARNT","3.28237819339128611"
"ARNTL","1.16512928806764116"
"ASCL1","0.98293552179810550"
"ATF1","-0.33457971537975334"
"ATF2","2.75505413769684138"
"ATF3","-0.71499997004896487"
"ATF4","2.06859928895665179"
"ATF6","0.07634891958783491"
"ATF7","2.79672866561280964"
"BACH1","1.32326671389468808"
"BACH2","1.59136837547721388"
"BATF","1.13685216814727230"
"BCL11A","1.72974168447226440"
"BCL6","-2.16967139801736097"
"BHLHE22","-2.25822377037896693"
"BHLHE40","-2.30157107754914536"
"CDX2","1.33257951003718111"
"CEBPA","0.69496925417751121"
"CEBPB","2.89545976350038181"
"CEBPD","0.86898685006018239"
"CEBPG","2.67817482767525661"
"CLOCK","3.67013625854041647"
"CREB1","2.09794305732297337"
"CREB3","-2.21042713201474550"
"CREB3L1","0.03894700408587227"
"CREM","2.77092618453774664"
"CTCF","2.96978524642488528"
"CTCFL","1.72519605760251316"
"CUX1","0.84412169167017914"
"DUX4","0.90959021819863073"
"E2F1","-3.69788458412786225"
"E2F2","-5.77104778642890981"
"E2F3","-2.92948275406959446"
"E2F4","-9.94553187036516917"
"E2F5","-1.81125462336368015"
"E2F6","0.42498397063049953"
"E2F7","-1.12264037488658164"
"EBF1","6.14076719377003410"
"EGR1","0.70553526528610799"
"EHF","2.30981905654013930"
"ELF1","1.69792429970478098"
"ELF3","4.22382638055708703"
"ELF5","-0.29865597813204897"
"ELK1","0.16351125178489612"
"ELK4","-0.38385862631238338"
"EOMES","2.51032732748545095"
"EPAS1","-0.46100675975803979"
"ERG","0.67308437912277641"
"ESR1","2.81524613655958555"
"ESR2","2.66655445414725234"
"ESRRA","1.75890143157866508"
"ETS1","1.10052406406415515"
"ETS2","0.75620599812547729"
"ETV1","3.04971758165587481"
"ETV4","-0.84115904777219874"
"FLI1","1.13130797429482666"
"FOS","1.73788462214864348"
"FOSL1","1.82070278758319315"
"FOSL2","-0.95891647164873384"
"FOXA1","1.29990939858293886"
"FOXJ2","2.26072278815790595"
"FOXK2","0.70783003772390440"
"FOXL2","0.37320592587901008"
"FOXM1","-2.77067967053790465"
"FOXO1","2.86452618856993935"
"FOXO3","3.42768669243361757"
"FOXO4","2.63492587632017683"
"FOXP1","-5.32329128194244205"
"FOXP2","-1.92648341393538947"
"GABPA","1.01744245181736370"
"GATA2","0.57446704514944935"
"GATA3","2.25025973657942702"
"GATA4","0.88232482925931099"
"GATA6","2.78194157184019852"
"GFI1B","2.68652581756457387"
"GLI2","0.05019603179214336"
"GRHL2","4.11023760344101863"
"HBP1","-1.91835119585910485"
"HHEX","-1.02785470234319076"
"HIF1A","1.68621261774774234"
