"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","NFKB1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.5","1","4","ReMap--ChIP-seq(rank=146); ARCHS4--Coexpression(rank=326); Enrichr--Queries(rank=814); GTEx--Coexpression(rank=1195)","644","rank=8; score=3.3969; p=0.00040099","rank=1; score=4.62; p=2.3989e-05"
"2","RELA","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.0","2","6","Literature--ChIP-seq(rank=21); ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=87); Enrichr--Queries(rank=963); GTEx--Coexpression(rank=1064); ARCHS4--Coexpression(rank=1095)","460","rank=16; score=2.751; p=0.0017741","rank=2; score=4.1572; p=6.9627e-05"
"3","HIF1A","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","5","5","ARCHS4--Coexpression(rank=28); ReMap--ChIP-seq(rank=46); Literature--ChIP-seq(rank=66); GTEx--Coexpression(rank=226); Enrichr--Queries(rank=739)","80","rank=5; score=3.8097; p=0.00015499","rank=15; score=2.5381; p=0.0028968"
"4","EGR1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","4","6","GTEx--Coexpression(rank=2); ReMap--ChIP-seq(rank=29); ENCODE--ChIP-seq(rank=34); Literature--ChIP-seq(rank=58); Enrichr--Queries(rank=96); ARCHS4--Coexpression(rank=475)","5","rank=17; score=2.6581; p=0.0021972","rank=4; score=3.7408; p=0.00018162"
"5","STAT3","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.0","7","6","Literature--ChIP-seq(rank=14); ENCODE--ChIP-seq(rank=22); ReMap--ChIP-seq(rank=55); ARCHS4--Coexpression(rank=762); GTEx--Coexpression(rank=803); Enrichr--Queries(rank=1124)","329","rank=7; score=3.5102; p=0.0003089","rank=17; score=2.2667; p=0.0054112"
"6","NFYB","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.0","5","5","ENCODE--ChIP-seq(rank=60); ReMap--ChIP-seq(rank=97); GTEx--Coexpression(rank=433); Enrichr--Queries(rank=1248); ARCHS4--Coexpression(rank=1437)","819","rank=27; score=2.1061; p=0.0078319","rank=5; score=3.6488; p=0.00022451"
"7","FOXO1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.5","13","5","Literature--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=85); ReMap--ChIP-seq(rank=119); Enrichr--Queries(rank=258); GTEx--Coexpression(rank=902)","213","rank=20; score=2.5422; p=0.0028697","rank=13; score=2.7014; p=0.0019889"
"8","NFKB2","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.0","19","4","ReMap--ChIP-seq(rank=185); Enrichr--Queries(rank=467); GTEx--Coexpression(rank=571); ARCHS4--Coexpression(rank=1356)","963","rank=25; score=2.1254; p=0.0074916","rank=19; score=2.1335; p=0.0073529"
"9","RFX5","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.5","22","5","ENCODE--ChIP-seq(rank=56); GTEx--Coexpression(rank=127); ReMap--ChIP-seq(rank=200); Enrichr--Queries(rank=905); ARCHS4--Coexpression(rank=1579)","309","rank=23; score=2.2742; p=0.0053181","rank=22; score=2.1254; p=0.0074916"
"10","SP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.0","10","5","ENCODE--ChIP-seq(rank=64); ReMap--ChIP-seq(rank=65); ARCHS4--Coexpression(rank=1008); Enrichr--Queries(rank=1325); GTEx--Coexpression(rank=1341)","693","rank=10; score=3.3404; p=0.00045668","rank=38; score=1.6125; p=0.024405"
