"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","TP53","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","16.66666666666667","2","5","Literature--ChIP-seq(rank=13); Enrichr--Queries(rank=38); GTEx--Coexpression(rank=45); ReMap--ChIP-seq(rank=51); ARCHS4--Coexpression(rank=503)","134","rank=25; score=0.93059; p=0.11733","rank=23; score=1.1021; p=0.079057","rank=2; score=4.8678; p=1.1288e-06; direction=Repressed"
"2","AHR","DoRothEA;TRRUST;CollecTRI","5","DoRothEA;ChEA3;VIPER;TRRUST;CollecTRI","23.66666666666667","10","5","ReMap--ChIP-seq(rank=73); Literature--ChIP-seq(rank=131); ARCHS4--Coexpression(rank=518); Enrichr--Queries(rank=633); GTEx--Coexpression(rank=712)","921","rank=10; score=1.6618; p=0.021788","rank=27; score=0; p=1","rank=34; score=1.9352; p=0.052972; direction=Activated"
"3","ESR1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.00000000000000","21","6","ReMap--ChIP-seq(rank=42); Enrichr--Queries(rank=70); Literature--ChIP-seq(rank=104); ENCODE--ChIP-seq(rank=112); ARCHS4--Coexpression(rank=1037); GTEx--Coexpression(rank=1592)","231","rank=22; score=1.123; p=0.075335","rank=21; score=1.4275; p=0.037365","rank=35; score=1.9338; p=0.053136; direction=Repressed"
"4","BCL6","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.00000000000000","7","5","Literature--ChIP-seq(rank=85); ReMap--ChIP-seq(rank=98); GTEx--Coexpression(rank=388); Enrichr--Queries(rank=600); ARCHS4--Coexpression(rank=631)","904","rank=42; score=0; p=1","rank=44; score=0; p=1","rank=7; score=2.8861; p=0.0039008; direction=Repressed"
"5","AR","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","36.66666666666666","27","5","Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=193); Enrichr--Queries(rank=1146); GTEx--Coexpression(rank=1340); ARCHS4--Coexpression(rank=1443)","582","rank=27; score=0; p=1","rank=31; score=0; p=1","rank=52; score=1.7971; p=0.072316; direction=Repressed"
"6","E2F4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.00000000000000","1","6","ENCODE--ChIP-seq(rank=16); Literature--ChIP-seq(rank=36); ReMap--ChIP-seq(rank=99); ARCHS4--Coexpression(rank=137); Enrichr--Queries(rank=292); GTEx--Coexpression(rank=1405)","369","rank=62; score=0; p=1","rank=69; score=0; p=1","rank=1; score=5.3654; p=8.0754e-08; direction=Repressed"
"7","ETS1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.00000000000000","20","6","ENCODE--ChIP-seq(rank=39); ARCHS4--Coexpression(rank=62); ReMap--ChIP-seq(rank=85); Literature--ChIP-seq(rank=102); Enrichr--Queries(rank=641); GTEx--Coexpression(rank=859)","183","rank=20; score=1.1537; p=0.070195","rank=83; score=0; p=1","rank=32; score=1.9417; p=0.05217; direction=Repressed"
"8","E2F1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.33333333333334","16","6","Literature--ChIP-seq(rank=43); ENCODE--ChIP-seq(rank=63); ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=506); GTEx--Coexpression(rank=550); ARCHS4--Coexpression(rank=564)","965","rank=59; score=0; p=1","rank=67; score=0; p=1","rank=16; score=2.1736; p=0.029732; direction=Repressed"
"9","IRF9","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.66666666666667","4","4","ReMap--ChIP-seq(rank=257); ARCHS4--Coexpression(rank=302); GTEx--Coexpression(rank=1098); Enrichr--Queries(rank=1372)","741","rank=114; score=0; p=1","rank=4; score=2.3986; p=0.0039937","rank=25; score=2.0339; p=0.041967; direction=Activated"
"10","ATF4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","49.66666666666666","35","4","GTEx--Coexpression(rank=44); ARCHS4--Coexpression(rank=211); ReMap--ChIP-seq(rank=264); Enrichr--Queries(rank=557)","135","rank=35; score=0; p=1","rank=39; score=0; p=1","rank=75; score=1.6089; p=0.10763; direction=Repressed"
