"Tissue","Target_Gene","Target_Feature_ID","Sample_ID","Subject_ID","Target_Expression_Assay","Target_Expression_Log2_Transformed","Target_Expression_Value","Median_Cutoff","Expression_Group"
"COLON","ATF3","ENSG00000162772.16","GTEX-OHPM-1426-SM-3TW8Y","GTEX-OHPM","tpm",TRUE,"2.2631372696782037","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-14DAQ-2726-SM-5S2QY","GTEX-14DAQ","tpm",TRUE,"4.1376034888715463","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-14PJ3-1226-SM-5ZZVY","GTEX-14PJ3","tpm",TRUE,"2.7040840186285759","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-14PN3-1926-SM-6EU1Y","GTEX-14PN3","tpm",TRUE,"3.6627570543506964","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-15UF6-2726-SM-7KULY","GTEX-15UF6","tpm",TRUE,"6.8421377789138003","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-17F9Y-2626-SM-7IGN9","GTEX-17F9Y","tpm",TRUE,"4.3374499379302964","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-17GQL-1626-SM-7LG69","GTEX-17GQL","tpm",TRUE,"6.8943214204927070","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-18QFQ-1726-SM-731C9","GTEX-18QFQ","tpm",TRUE,"3.4516630008262057","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1A32A-2626-SM-73KX9","GTEX-1A32A","tpm",TRUE,"3.7740410450551138","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1AX9J-2526-SM-73KUY","GTEX-1AX9J","tpm",TRUE,"4.5215909615944794","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1F75I-2426-SM-9WPOY","GTEX-1F75I","tpm",TRUE,"2.0231962226795570","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1HBPI-2226-SM-9WYTY","GTEX-1HBPI","tpm",TRUE,"2.5754101557129667","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1HSKV-2326-SM-A9SL9","GTEX-1HSKV","tpm",TRUE,"4.6705946540061190","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1IDJH-2826-SM-CJI49","GTEX-1IDJH","tpm",TRUE,"6.2569596458897472","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1J8Q3-2326-SM-A8N8Y","GTEX-1J8Q3","tpm",TRUE,"2.5763181423472581","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1KANC-0926-SM-D3LA9","GTEX-1KANC","tpm",TRUE,"2.2925799856002578","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1KXAM-2126-SM-CY8I9","GTEX-1KXAM","tpm",TRUE,"4.3178075521218018","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1LSNL-1626-SM-E9TJY","GTEX-1LSNL","tpm",TRUE,"6.9936227636854680","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1LVAM-1626-SM-EV79Y","GTEX-1LVAM","tpm",TRUE,"3.4195138370435396","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1MJK3-0926-SM-EV7AY","GTEX-1MJK3","tpm",TRUE,"3.9385890856938386","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-1QCLY-1726-SM-DPRXY","GTEX-1QCLY","tpm",TRUE,"1.1651355370295262","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-R45C-2126-SM-EZ6KZ","GTEX-R45C","tpm",TRUE,"6.5529182789023901","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-Y8E4-2326-SM-EAZAZ","GTEX-Y8E4","tpm",TRUE,"2.7848838222148600","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZYY3-2226-SM-5E45A","GTEX-ZYY3","tpm",TRUE,"5.3031253831573668","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-13O21-2426-SM-5MR4A","GTEX-13O21","tpm",TRUE,"2.2039922229271252","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZAB4-2426-SM-5HL8A","GTEX-ZAB4","tpm",TRUE,"7.8703499568396289","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZGAY-2126-SM-4YCFB","GTEX-ZGAY","tpm",TRUE,"5.1957456250030711","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-11VI4-1526-SM-5EQKC","GTEX-11VI4","tpm",TRUE,"1.8464973723676608","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-14ICL-1226-SM-5S2RD","GTEX-14ICL","tpm",TRUE,"7.0602937560418768","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-13OVJ-1826-SM-5KM2D","GTEX-13OVJ","tpm",TRUE,"5.3184744906817443","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZQG8-2426-SM-57WEE","GTEX-ZQG8","tpm",TRUE,"2.3396151002307390","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-12ZZW-2426-SM-5DUWE","GTEX-12ZZW","tpm",TRUE,"8.5761830224680171","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-11WQK-2126-SM-5EQME","GTEX-11WQK","tpm",TRUE,"6.9874979208073125","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-YECK-2826-SM-5IFHF","GTEX-YECK","tpm",TRUE,"7.0436405114795395","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZF2S-1826-SM-4WKFF","GTEX-ZF2S","tpm",TRUE,"5.6245515432650617","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZXES-1726-SM-5E43G","GTEX-ZXES","tpm",TRUE,"1.9513821340944839","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-11EQ9-1426-SM-5987G","GTEX-11EQ9","tpm",TRUE,"5.5518561298776969","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-ZV6S-1226-SM-59HLH","GTEX-ZV6S","tpm",TRUE,"3.3468336851976406","4.017118637532028","Low"
"COLON","ATF3","ENSG00000162772.16","GTEX-14BMU-1326-SM-5RQIH","GTEX-14BMU","tpm",TRUE,"4.8777793222446562","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-1212Z-1826-SM-5FQSH","GTEX-1212Z","tpm",TRUE,"5.1169075046916994","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-117YX-0526-SM-5EGJH","GTEX-117YX","tpm",TRUE,"4.0354213524059919","4.017118637532028","High"
"COLON","ATF3","ENSG00000162772.16","GTEX-12BJ1-2026-SM-5FQUH","GTEX-12BJ1","tpm",TRUE,"3.1607554059847063","4.017118637532028","Low"
