Pathway,KDM1B TARGET GENES,F10 TARGET GENES,TERF1 TARGET GENES,HOXD1 TARGET GENES,SRPK1 TARGET GENES,ARHGAP35 TARGET GENES,MSX1 TARGET GENES,NPM1 TARGET GENES,TRIP13 TARGET GENES,ELF5 TARGET GENES,CSHL1 TARGET GENES,IRX2 TARGET GENES,MYBL1 TARGET GENES,IRX3 TARGET GENES,ZNF581 TARGET GENES,PCGF6 TARGET GENES,ZNF236 TARGET GENES,PHB2 TARGET GENES,CHAMP1 TARGET GENES,GTF2E2 TARGET GENES,RLF TARGET GENES,ZNF677 TARGET GENES,ZNF223 TARGET GENES,ZNF165 TARGET GENES,ZNF331 TARGET GENES,ZNF20 TARGET GENES,SIGMAR1 TARGET GENES,NCOA6 TARGET GENES,ATOH8 TARGET GENES,PTTG1 TARGET GENES,PHF21A TARGET GENES,EBNA1BP2 TARGET GENES,NR0B1 TARGET GENES,ZNF746 TARGET GENES,ZNF16 TARGET GENES,ZNF486 TARGET GENES,ZNF510 TARGET GENES,ZNF558 TARGET GENES,ZNF101 TARGET GENES,BCL6B TARGET GENES
KDM1B TARGET GENES,1.0,0.048484848484848485,0.01818181818181818,0.006060606060606061,0.03636363636363636,0.006060606060606061,0.01818181818181818,0.06060606060606061,0.006060606060606061,0.06060606060606061,0.012121212121212121,0.024242424242424242,0.01818181818181818,0.0,0.012121212121212121,0.0,0.024242424242424242,0.012121212121212121,0.024242424242424242,0.030303030303030304,0.030303030303030304,0.012121212121212121,0.0,0.0,0.03636363636363636,0.0,0.0,0.030303030303030304,0.006060606060606061,0.006060606060606061,0.006060606060606061,0.024242424242424242,0.024242424242424242,0.0,0.0,0.0,0.0,0.04242424242424243,0.01818181818181818,0.024242424242424242
F10 TARGET GENES,0.02768166089965398,1.0,0.02422145328719723,0.006920415224913495,0.010380622837370242,0.01730103806228374,0.020761245674740483,0.01730103806228374,0.0,0.03460207612456748,0.02422145328719723,0.010380622837370242,0.031141868512110725,0.0034602076124567475,0.006920415224913495,0.0,0.05190311418685121,0.006920415224913495,0.031141868512110725,0.05536332179930796,0.04152249134948097,0.010380622837370242,0.01384083044982699,0.006920415224913495,0.06920415224913495,0.0,0.0,0.020761245674740483,0.0,0.0,0.03460207612456748,0.02422145328719723,0.031141868512110725,0.0034602076124567475,0.0034602076124567475,0.02422145328719723,0.0,0.05190311418685121,0.05536332179930796,0.02422145328719723
TERF1 TARGET GENES,0.010033444816053512,0.023411371237458192,1.0,0.006688963210702341,0.023411371237458192,0.0,0.010033444816053512,0.016722408026755852,0.006688963210702341,0.030100334448160536,0.010033444816053512,0.016722408026755852,0.023411371237458192,0.0,0.016722408026755852,0.0033444816053511705,0.010033444816053512,0.016722408026755852,0.013377926421404682,0.020066889632107024,0.013377926421404682,0.006688963210702341,0.030100334448160536,0.0033444816053511705,0.013377926421404682,0.0,0.0,0.013377926421404682,0.0033444816053511705,0.0033444816053511705,0.010033444816053512,0.023411371237458192,0.026755852842809364,0.0033444816053511705,0.0,0.016722408026755852,0.0033444816053511705,0.010033444816053512,0.033444816053511704,0.006688963210702341
HOXD1 TARGET GENES,0.012987012987012988,0.025974025974025976,0.025974025974025976,1.0,0.025974025974025976,0.0,0.05194805194805195,0.012987012987012988,0.0,0.025974025974025976,0.0,0.0,0.012987012987012988,0.0,0.012987012987012988,0.012987012987012988,0.012987012987012988,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0.0,0.0,0.0,0.012987012987012988,0.0,0.025974025974025976,0.0,0.012987012987012988,0.0,0.012987012987012988,0.0,0.025974025974025976,0.03896103896103896,0.025974025974025976
SRPK1 TARGET GENES,0.01485148514851485,0.007425742574257425,0.017326732673267328,0.0049504950495049506,1.0,0.1608910891089109,0.12376237623762376,0.12623762376237624,0.0049504950495049506,0.0594059405940594,0.01485148514851485,0.017326732673267328,0.04950495049504951,0.007425742574257425,0.03712871287128713,0.0024752475247524753,0.03712871287128713,0.012376237623762377,0.017326732673267328,0.04950495049504951,0.019801980198019802,0.007425742574257425,0.01485148514851485,0.007425742574257425,0.024752475247524754,0.0,0.0,0.01485148514851485,0.0024752475247524753,0.007425742574257425,0.01485148514851485,0.022277227722772276,0.019801980198019802,0.0,0.0,0.012376237623762377,0.0049504950495049506,0.0297029702970297,0.04702970297029703,0.012376237623762377
ARHGAP35 TARGET GENES,0.008403361344537815,0.04201680672268908,0.0,0.0,0.5462184873949579,1.0,0.226890756302521,0.226890756302521,0.008403361344537815,0.03361344537815126,0.01680672268907563,0.008403361344537815,0.09243697478991597,0.0,0.025210084033613446,0.008403361344537815,0.01680672268907563,0.05042016806722689,0.01680672268907563,0.23529411764705882,0.04201680672268908,0.0,0.008403361344537815,0.008403361344537815,0.04201680672268908,0.0,0.0,0.04201680672268908,0.0,0.01680672268907563,0.01680672268907563,0.03361344537815126,0.01680672268907563,0.0,0.008403361344537815,0.008403361344537815,0.0,0.03361344537815126,0.025210084033613446,0.0
MSX1 TARGET GENES,0.01485148514851485,0.0297029702970297,0.01485148514851485,0.019801980198019802,0.24752475247524752,0.13366336633663367,1.0,0.13861386138613863,0.0049504950495049506,0.0297029702970297,0.01485148514851485,0.039603960396039604,0.019801980198019802,0.0049504950495049506,0.019801980198019802,0.0,0.04950495049504951,0.01485148514851485,0.0,0.06435643564356436,0.0049504950495049506,0.0049504950495049506,0.009900990099009901,0.0049504950495049506,0.01485148514851485,0.0,0.0,0.009900990099009901,0.0049504950495049506,0.019801980198019802,0.0049504950495049506,0.019801980198019802,0.019801980198019802,0.0049504950495049506,0.0,0.009900990099009901,0.0,0.019801980198019802,0.054455445544554455,0.009900990099009901
NPM1 TARGET GENES,0.027472527472527472,0.013736263736263736,0.013736263736263736,0.0027472527472527475,0.1401098901098901,0.07417582417582418,0.07692307692307693,1.0,0.01098901098901099,0.07142857142857142,0.013736263736263736,0.027472527472527472,0.04945054945054945,0.005494505494505495,0.03296703296703297,0.0027472527472527475,0.04395604395604396,0.008241758241758242,0.01098901098901099,0.07967032967032966,0.03296703296703297,0.01098901098901099,0.008241758241758242,0.0027472527472527475,0.027472527472527472,0.0,0.0027472527472527475,0.024725274725274724,0.0,0.005494505494505495,0.016483516483516484,0.019230769230769232,0.016483516483516484,0.005494505494505495,0.008241758241758242,0.019230769230769232,0.005494505494505495,0.03296703296703297,0.06043956043956044,0.0027472527472527475
TRIP13 TARGET GENES,0.01020408163265306,0.0,0.02040816326530612,0.0,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.04081632653061224,1.0,0.12244897959183673,0.030612244897959183,0.0,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.01020408163265306,0.02040816326530612,0.04081632653061224,0.08163265306122448,0.02040816326530612,0.030612244897959183,0.0,0.02040816326530612,0.0,0.05102040816326531,0.0,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.02040816326530612,0.04081632653061224,0.02040816326530612,0.0,0.0,0.0,0.01020408163265306,0.0,0.02040816326530612,0.04081632653061224,0.01020408163265306
ELF5 TARGET GENES,0.020618556701030927,0.020618556701030927,0.018556701030927835,0.004123711340206186,0.049484536082474224,0.008247422680412371,0.012371134020618556,0.05360824742268041,0.024742268041237112,1.0,0.020618556701030927,0.024742268041237112,0.04329896907216495,0.004123711340206186,0.04742268041237113,0.008247422680412371,0.03917525773195876,0.008247422680412371,0.026804123711340205,0.05154639175257732,0.05979381443298969,0.01443298969072165,0.01443298969072165,0.006185567010309278,0.05979381443298969,0.0,0.004123711340206186,0.02268041237113402,0.006185567010309278,0.010309278350515464,0.020618556701030927,0.018556701030927835,0.032989690721649485,0.002061855670103093,0.0,0.004123711340206186,0.004123711340206186,0.05979381443298969,0.07010309278350516,0.024742268041237112
