Pathway,STRUCTURAL CONSTITUENT OF RIBOSOME,GTPASE BINDING,NUCLEOCYTOPLASMIC CARRIER ACTIVITY,CADHERIN BINDING,"CELL ADHESIVE PROTEIN BINDING INVOLVED IN
BUNDLE OF HIS CELL PURKINJE MYOCYTE
COMMUNICATION",DNA BINDING TRANSCRIPTION FACTOR BINDING,"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",NUCLEAR RETINOIC ACID RECEPTOR BINDING,NUCLEAR RECEPTOR BINDING,TRANSCRIPTION COACTIVATOR ACTIVITY,TRANSCRIPTION COREPRESSOR ACTIVITY,OLFACTORY RECEPTOR ACTIVITY,HISTONE MODIFYING ACTIVITY,HISTONE ACETYLTRANSFERASE ACTIVITY,N ACETYLTRANSFERASE ACTIVITY,ACETYLTRANSFERASE ACTIVITY,PROTEIN N ACYLTRANSFERASE ACTIVITY,E BOX BINDING,ATP HYDROLYSIS ACTIVITY,MICROTUBULE BINDING,ACTIN FILAMENT BINDING,ACTIN BINDING,SPECTRIN BINDING,PHOSPHORIC ESTER HYDROLASE ACTIVITY,PHOSPHOPROTEIN PHOSPHATASE ACTIVITY,PHOSPHATASE ACTIVITY,PROTEIN SERINE KINASE ACTIVITY,PROTEIN SERINE THREONINE KINASE ACTIVITY,PROTEIN KINASE A BINDING,NUCLEOSIDE TRIPHOSPHATASE REGULATOR ACTIVITY,GUANYL NUCLEOTIDE EXCHANGE FACTOR ACTIVITY,LIPID ANTIGEN BINDING,MONOATOMIC CATION CHANNEL ACTIVITY,SCAFFOLD PROTEIN BINDING,HISTONE BINDING,MODIFICATION DEPENDENT PROTEIN BINDING,PHOSPHOLIPASE INHIBITOR ACTIVITY,PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,NADH DEHYDROGENASE UBIQUINONE ACTIVITY,ARYLSULFATASE ACTIVITY
STRUCTURAL CONSTITUENT OF RIBOSOME,1.0,0.0,0.0,0.05847953216374269,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GTPASE BINDING,0.0,1.0,0.05521472392638037,0.0705521472392638,0.0,0.018404907975460124,0.009202453987730062,0.0,0.003067484662576687,0.006134969325153374,0.006134969325153374,0.0,0.006134969325153374,0.0,0.0,0.0,0.0,0.0,0.02147239263803681,0.03374233128834356,0.0705521472392638,0.12576687116564417,0.006134969325153374,0.006134969325153374,0.0,0.003067484662576687,0.05214723926380368,0.06134969325153374,0.015337423312883436,0.32515337423312884,0.17177914110429449,0.0,0.003067484662576687,0.015337423312883436,0.015337423312883436,0.0,0.0,0.0,0.0,0.0
NUCLEOCYTOPLASMIC CARRIER ACTIVITY,0.0,0.5294117647058824,1.0,0.029411764705882353,0.0,0.058823529411764705,0.029411764705882353,0.0,0.029411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.058823529411764705,0.0,0.0,0.0,0.0,0.0
CADHERIN BINDING,0.029850746268656716,0.06865671641791045,0.0029850746268656717,1.0,0.005970149253731343,0.029850746268656716,0.01791044776119403,0.0,0.008955223880597015,0.03283582089552239,0.011940298507462687,0.0,0.0029850746268656717,0.0,0.0,0.0029850746268656717,0.0,0.0,0.03582089552238806,0.03582089552238806,0.11343283582089553,0.18507462686567164,0.005970149253731343,0.03283582089552239,0.029850746268656716,0.029850746268656716,0.026865671641791045,0.03880597014925373,0.008955223880597015,0.050746268656716415,0.023880597014925373,0.0,0.011940298507462687,0.014925373134328358,0.0029850746268656717,0.0029850746268656717,0.005970149253731343,0.0,0.0,0.0
"CELL ADHESIVE PROTEIN BINDING INVOLVED IN
BUNDLE OF HIS CELL PURKINJE MYOCYTE
COMMUNICATION",0.0,0.0,0.0,0.4,1.0,0.2,0.2,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
DNA BINDING TRANSCRIPTION FACTOR BINDING,0.0020491803278688526,0.012295081967213115,0.004098360655737705,0.020491803278688523,0.0020491803278688526,1.0,0.7192622950819673,0.04918032786885246,0.2827868852459016,0.2151639344262295,0.17008196721311475,0.0,0.09631147540983606,0.02459016393442623,0.030737704918032786,0.030737704918032786,0.028688524590163935,0.05942622950819672,0.02459016393442623,0.004098360655737705,0.00819672131147541,0.012295081967213115,0.0020491803278688526,0.010245901639344262,0.00819672131147541,0.010245901639344262,0.0389344262295082,0.0430327868852459,0.010245901639344262,0.006147540983606557,0.0020491803278688526,0.0,0.0020491803278688526,0.00819672131147541,0.0389344262295082,0.00819672131147541,0.0020491803278688526,0.0020491803278688526,0.0,0.0
"RNA POLYMERASE II SPECIFIC DNA BINDING
TRANSCRIPTION FACTOR BINDING",0.0,0.008547008547008548,0.002849002849002849,0.017094017094017096,0.002849002849002849,1.0,1.0,0.06837606837606838,0.39316239316239315,0.23931623931623933,0.17094017094017094,0.0,0.09686609686609686,0.019943019943019943,0.02849002849002849,0.02849002849002849,0.02564102564102564,0.045584045584045586,0.019943019943019943,0.0,0.008547008547008548,0.014245014245014245,0.002849002849002849,0.014245014245014245,0.011396011396011397,0.014245014245014245,0.03418803418803419,0.037037037037037035,0.008547008547008548,0.005698005698005698,0.0,0.0,0.002849002849002849,0.008547008547008548,0.045584045584045586,0.005698005698005698,0.002849002849002849,0.002849002849002849,0.0,0.0
NUCLEAR RETINOIC ACID RECEPTOR BINDING,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.4166666666666667,0.2916666666666667,0.0,0.08333333333333333,0.0,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.0,0.0,0.041666666666666664,0.041666666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NUCLEAR RECEPTOR BINDING,0.0,0.007246376811594203,0.007246376811594203,0.021739130434782608,0.007246376811594203,1.0,1.0,0.17391304347826086,1.0,0.38405797101449274,0.15217391304347827,0.0,0.11594202898550725,0.028985507246376812,0.050724637681159424,0.050724637681159424,0.043478260869565216,0.036231884057971016,0.021739130434782608,0.0,0.007246376811594203,0.014492753623188406,0.0,0.0,0.0,0.0,0.036231884057971016,0.036231884057971016,0.0,0.0,0.0,0.0,0.0,0.007246376811594203,0.050724637681159424,0.007246376811594203,0.0,0.0,0.0,0.0
TRANSCRIPTION COACTIVATOR ACTIVITY,0.0,0.006688963210702341,0.0,0.03678929765886288,0.0033444816053511705,0.3511705685618729,0.2809364548494983,0.033444816053511704,0.17725752508361203,1.0,0.12374581939799331,0.0,0.13377926421404682,0.05016722408026756,0.056856187290969896,0.056856187290969896,0.05351170568561873,0.0,0.023411371237458192,0.006688963210702341,0.013377926421404682,0.030100334448160536,0.0,0.013377926421404682,0.0,0.010033444816053512,0.026755852842809364,0.04013377926421405,0.0,0.010033444816053512,0.0,0.0,0.0033444816053511705,0.0033444816053511705,0.06354515050167224,0.0033444816053511705,0.0,0.0033444816053511705,0.0,0.0
TRANSCRIPTION COREPRESSOR ACTIVITY,0.0,0.009216589861751152,0.0,0.018433179723502304,0.0,0.3824884792626728,0.2764976958525346,0.03225806451612903,0.0967741935483871,0.17050691244239632,1.0,0.0,0.11059907834101383,0.004608294930875576,0.02304147465437788,0.02304147465437788,0.02304147465437788,0.013824884792626729,0.027649769585253458,0.009216589861751152,0.009216589861751152,0.027649769585253458,0.0,0.009216589861751152,0.0,0.0,0.013824884792626729,0.013824884792626729,0.0,0.004608294930875576,0.0,0.0,0.0,0.0,0.07834101382488479,0.009216589861751152,0.0,0.0,0.0,0.0
OLFACTORY RECEPTOR ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
