"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","E2F1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.50","1","6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=7); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=10); Literature--ChIP-seq(rank=10); ENCODE--ChIP-seq(rank=12)","12","rank=2; score=8.7711; p=1.6939e-09","rank=12; score=0.003111","rank=3; score=120.53; p=1.0285e-24; adjP=1.5428e-22","rank=1; score=8.0024; p=9.9439e-09"
"2","E2F4","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.00","1","6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=101); ARCHS4--Coexpression(rank=306); GTEx--Coexpression(rank=715)","20","rank=1; score=20.742; p=1.8133e-21","rank=20; score=0.006734","rank=1; score=1790.7; p=3.7756e-95; adjP=3.9266e-93","rank=2; score=6.6502; p=2.2379e-07"
"3","TFDP1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.25","4","4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=13); Enrichr--Queries(rank=22)","10","rank=4; score=7.3196; p=4.7902e-08","rank=10; score=0.002489","rank=7; score=295.38; p=6.2259e-06; adjP=0.00058834","rank=4; score=5.2058; p=6.2263e-06"
"4","TP53","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.50","3","5","ARCHS4--Coexpression(rank=17); Literature--ChIP-seq(rank=34); ReMap--ChIP-seq(rank=120); GTEx--Coexpression(rank=142); Enrichr--Queries(rank=201)","33","rank=5; score=6.5186; p=3.0299e-07","rank=33; score=0.01044","rank=5; score=46.151; p=7.5764e-07; adjP=9.5463e-05","rank=3; score=6.1205; p=7.5772e-07"
"5","FOXM1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.50","2","6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=6)","2","rank=3; score=7.6649; p=2.1634e-08","rank=2; score=0.0006223","rank=2; score=5779.7; p=2.2426e-84; adjP=1.6819e-81","rank=47; score=1.1487; p=0.071001"
"6","MYBL2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.25","7","6","Enrichr--Queries(rank=3); Literature--ChIP-seq(rank=3); ARCHS4--Coexpression(rank=7); ReMap--ChIP-seq(rank=9); GTEx--Coexpression(rank=13); ENCODE--ChIP-seq(rank=30)","8","rank=7; score=3.1767; p=0.0006657","rank=8; score=0.002137","rank=20; score=47.89; p=2.1501e-11; adjP=2.0157e-09","rank=50; score=1.1323; p=0.073748"
"7","E2F3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.25","8","3","ARCHS4--Coexpression(rank=22); Enrichr--Queries(rank=30); GTEx--Coexpression(rank=666)","47","rank=59; score=0.76875; p=0.17031","rank=47; score=0.01351","rank=19; score=76.976; p=0.00055022; adjP=0.025998","rank=8; score=3.2594; p=0.00055024"
"8","MYC","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","56.00","6","6","ENCODE--ChIP-seq(rank=18); Literature--ChIP-seq(rank=19); Enrichr--Queries(rank=72); ReMap--ChIP-seq(rank=200); ARCHS4--Coexpression(rank=453); GTEx--Coexpression(rank=567)","193","rank=11; score=2.2594; p=0.0055031","rank=193; score=0.05128","rank=14; score=33.247; p=5.395e-05; adjP=0.0033989","rank=6; score=4.268; p=5.3953e-05"
"9","NFYB","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.25","9","5","ReMap--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=38); Enrichr--Queries(rank=82); GTEx--Coexpression(rank=1497)","60","rank=10; score=2.3909; p=0.0040653","rank=60; score=0.01684","rank=9; score=68.072; p=4.3046e-17; adjP=1.1192e-15","rank=182; score=0.24823; p=0.56464"
"10","IRF3","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.00","15","5","ReMap--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=842); Enrichr--Queries(rank=942); GTEx--Coexpression(rank=1388)","32","rank=44; score=0.87395; p=0.13367","rank=32; score=0.0101","rank=15; score=48.525; p=5.4538e-12; adjP=3.7086e-10","rank=185; score=0.22933; p=0.58975"
