"statistic","source","condition","score","p_value","TF","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","Method_Direction","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"ora","ASCL1","HVL_HUB098","0.33376174416283766","0.463701238481142141711899","ASCL1","204","trrust","204","0.33376174416283766","0.463701238481142141711899",NA,"","4","ReMap--ChIP-seq(rank=159); GTEx--Coexpression(rank=797); Enrichr--Queries(rank=1220); ARCHS4--Coexpression(rank=1260)","1305","0.49600000000000000","GTEx Coexpression,0.496"
"ora","HOXA1","HVL_HUB098","0.33376174416283766","0.463701238481142141711899","HOXA1","205","trrust","205","0.33376174416283766","0.463701238481142141711899",NA,"","3","ARCHS4--Coexpression(rank=14); Enrichr--Queries(rank=329); GTEx--Coexpression(rank=660)","24","0.00860000000000000","ARCHS4 Coexpression,0.0086"
"ora","HSF2","HVL_HUB098","0.33376174416283766","0.463701238481142141711899","HSF2","206","trrust","206","0.33376174416283766","0.463701238481142141711899",NA,"","3","Enrichr--Queries(rank=447); ARCHS4--Coexpression(rank=889); GTEx--Coexpression(rank=1360)","980","0.31840000000000002","Enrichr Queries,0.3184"
"ora","NCOR1","HVL_HUB098","0.33376174416283766","0.463701238481142141711899","NCOR1","207","trrust","207","0.33376174416283766","0.463701238481142141711899",NA,"","0","",NA,NA,NA
"ora","NFATC1","HVL_HUB098","0.33376174416283766","0.463701238481142141711899","NFATC1","208","trrust","208","0.33376174416283766","0.463701238481142141711899",NA,"","5","ENCODE--ChIP-seq(rank=111); ReMap--ChIP-seq(rank=289); Enrichr--Queries(rank=439); ARCHS4--Coexpression(rank=591); GTEx--Coexpression(rank=813)","968","0.31269999999999998","Enrichr Queries,0.3127"
"ora","NFATC2","HVL_HUB098","0.33376174416283766","0.463701238481142141711899","NFATC2","209","trrust","209","0.33376174416283766","0.463701238481142141711899",NA,"","3","Enrichr--Queries(rank=178); ARCHS4--Coexpression(rank=251); GTEx--Coexpression(rank=652)","479","0.12680000000000000","Enrichr Queries,0.1268"
"ora","NR3C2","HVL_HUB098","0.33376174416283766","0.463701238481142141711899","NR3C2","210","trrust","210","0.33376174416283766","0.463701238481142141711899",NA,"","3","Enrichr--Queries(rank=77); ARCHS4--Coexpression(rank=155); GTEx--Coexpression(rank=467)","220","0.05484000000000000","Enrichr Queries,0.05484"
"ora","SALL4","HVL_HUB098","0.33376174416283766","0.463701238481142141711899","SALL4","211","trrust","211","0.33376174416283766","0.463701238481142141711899",NA,"","4","Literature--ChIP-seq(rank=51); Enrichr--Queries(rank=270); ARCHS4--Coexpression(rank=335); GTEx--Coexpression(rank=1331)","666","0.19230000000000000","Enrichr Queries,0.1923"
"ora","GLI1","HVL_HUB098","0.31005271667068196","0.489719371360651523072960","GLI1","212","trrust","212","0.31005271667068196","0.489719371360651523072960",NA,"","4","Literature--ChIP-seq(rank=145); GTEx--Coexpression(rank=172); Enrichr--Queries(rank=518); ARCHS4--Coexpression(rank=900)","410","0.10700000000000000","GTEx Coexpression,0.107"
"ora","RUNX2","HVL_HUB098","0.31005271667068196","0.489719371360651523072960","RUNX2","213","trrust","213","0.31005271667068196","0.489719371360651523072960",NA,"","5","Literature--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=100); Enrichr--Queries(rank=104); ARCHS4--Coexpression(rank=313); GTEx--Coexpression(rank=331)","300","0.07407000000000000","Enrichr Queries,0.07407"
"ora","DNMT1","HVL_HUB098","0.30218894055205731","0.498667494121405707740990","DNMT1","214","trrust","214","0.30218894055205731","0.498667494121405707740990",NA,"","2","GTEx--Coexpression(rank=2); ARCHS4--Coexpression(rank=35)","4","0.00124500000000000","GTEx Coexpression,0.001245"
"ora","HDAC5","HVL_HUB098","0.29295549631090373","0.509383066664337413875785","HDAC5","215","trrust","215","0.29295549631090373","0.509383066664337413875785",NA,"","0","",NA,NA,NA
"ora","IRF2","HVL_HUB098","0.29295549631090373","0.509383066664337413875785","IRF2","216","trrust","216","0.29295549631090373","0.509383066664337413875785",NA,"","4","ReMap--ChIP-seq(rank=89); ARCHS4--Coexpression(rank=310); Enrichr--Queries(rank=379); GTEx--Coexpression(rank=559)","661","0.19040000000000001","ARCHS4 Coexpression,0.1904"
"ora","KLF8","HVL_HUB098","0.29295549631090373","0.509383066664337413875785","KLF8","217","trrust","217","0.29295549631090373","0.509383066664337413875785",NA,"","3","Enrichr--Queries(rank=133); GTEx--Coexpression(rank=439); ARCHS4--Coexpression(rank=991)","371","0.09472999999999999","Enrichr Queries,0.09473"
"ora","MYBL2","HVL_HUB098","0.29295549631090373","0.509383066664337413875785","MYBL2","218","trrust","218","0.29295549631090373","0.509383066664337413875785",NA,"","6","Enrichr--Queries(rank=5); ARCHS4--Coexpression(rank=7); GTEx--Coexpression(rank=12); Literature--ChIP-seq(rank=33); ENCODE--ChIP-seq(rank=69); ReMap--ChIP-seq(rank=155)","11","0.00356100000000000","Enrichr Queries,0.003561"
"ora","ETS2","HVL_HUB098","0.28364545834812582","0.520420674995073384572208","ETS2","219","trrust","219","0.28364545834812582","0.520420674995073384572208",NA,"","4","Enrichr--Queries(rank=118); ARCHS4--Coexpression(rank=128); Literature--ChIP-seq(rank=150); GTEx--Coexpression(rank=616)","317","0.07862000000000000","ARCHS4 Coexpression,0.07862"
"ora","REST","HVL_HUB098","0.28364545834812582","0.520420674995073384572208","REST","220","trrust","220","0.28364545834812582","0.520420674995073384572208",NA,"","6","ReMap--ChIP-seq(rank=85); ENCODE--ChIP-seq(rank=92); Literature--ChIP-seq(rank=102); Enrichr--Queries(rank=800); GTEx--Coexpression(rank=896); ARCHS4--Coexpression(rank=1096)","901","0.28620000000000001","ReMap ChIP-seq,0.2862"
"ora","HNF4A","HVL_HUB098","0.26703520726229402","0.540710487003850825971085","HNF4A","221","trrust","221","0.26703520726229402","0.540710487003850825971085",NA,"","6","Literature--ChIP-seq(rank=22); ENCODE--ChIP-seq(rank=55); ReMap--ChIP-seq(rank=136); Enrichr--Queries(rank=573); ARCHS4--Coexpression(rank=634); GTEx--Coexpression(rank=669)","506","0.13410000000000000","Literature ChIP-seq,0.1341"
"ora","AR","HVL_HUB098","0.26620195162438043","0.541748912724794862150191","AR","222","trrust","222","0.26620195162438043","0.541748912724794862150191",NA,"","5","Literature--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=185); ARCHS4--Coexpression(rank=359); Enrichr--Queries(rank=432); GTEx--Coexpression(rank=1312)","168","0.04268000000000000","Literature ChIP-seq,0.04268"
"ora","EWSR1","HVL_HUB098","0.25870984655330403","0.551175815637458432760809","EWSR1","223","trrust","223","0.25870984655330403","0.551175815637458432760809",NA,"","0","",NA,NA,NA
"ora","FOSL1","HVL_HUB098","0.25870984655330403","0.551175815637458432760809","FOSL1","224","trrust","224","0.25870984655330403","0.551175815637458432760809",NA,"","5","ARCHS4--Coexpression(rank=11); ENCODE--ChIP-seq(rank=27); Enrichr--Queries(rank=29); ReMap--ChIP-seq(rank=143); GTEx--Coexpression(rank=366)","19","0.00675700000000000","ARCHS4 Coexpression,0.006757"
"ora","HIPK2","HVL_HUB098","0.25870984655330403","0.551175815637458432760809","HIPK2","225","trrust","225","0.25870984655330403","0.551175815637458432760809",NA,"","0","",NA,NA,NA
