"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","ENRICHR","TRRUST"
"1","NFKB1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.25","1","4","ARCHS4--Coexpression(rank=18); ReMap--ChIP-seq(rank=207); Enrichr--Queries(rank=249); GTEx--Coexpression(rank=920)","51","rank=3; score=4.2065; p=6.216e-05","rank=51; score=0.01106","rank=2; score=133.06; p=5.0319e-07; adjP=8.3529e-05","rank=1; score=6.2982; p=5.0324e-07"
"2","FOS","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.75","3","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=18); Enrichr--Queries(rank=92); ARCHS4--Coexpression(rank=204)","14","rank=20; score=2.2044; p=0.0062458","rank=14; score=0.003367","rank=3; score=68.676; p=0.00015287; adjP=0.013662","rank=38; score=1.6302; p=0.023433"
"3","JUN","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.75","9","6","GTEx--Coexpression(rank=8); Literature--ChIP-seq(rank=9); ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=54); Enrichr--Queries(rank=74); ARCHS4--Coexpression(rank=120)","22","rank=9; score=2.7903; p=0.0016207","rank=22; score=0.004978","rank=64; score=39.149; p=0.00072671; adjP=0.025311","rank=16; score=2.4626; p=0.0034468"
"4","NFE2L2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.25","9","5","ARCHS4--Coexpression(rank=13); Literature--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=174); Enrichr--Queries(rank=210); GTEx--Coexpression(rank=749)","37","rank=46; score=1.3494; p=0.044725","rank=37; score=0.007985","rank=49; score=218.75; p=0.0019662; adjP=0.025106","rank=9; score=2.7064; p=0.0019662"
"5","EPAS1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.00","2","4","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=72); ARCHS4--Coexpression(rank=139)","2","rank=51; score=1.2787; p=0.052642","rank=2; score=0.0006223","rank=48; score=86.335; p=0.040742; adjP=0.090176","rank=51; score=1.39; p=0.040742"
"6","ERG","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.00","4","5","GTEx--Coexpression(rank=43); Literature--ChIP-seq(rank=108); Enrichr--Queries(rank=200); ARCHS4--Coexpression(rank=234); ReMap--ChIP-seq(rank=240)","121","rank=7; score=2.9613; p=0.0010931","rank=121; score=0.02676","rank=20; score=266.73; p=0.00018759; adjP=0.0062278","rank=4; score=3.7268; p=0.00018759"
"7","ETS1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.00","18","6","GTEx--Coexpression(rank=12); ENCODE--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=120); Literature--ChIP-seq(rank=147); Enrichr--Queries(rank=185); ARCHS4--Coexpression(rank=316)","36","rank=33; score=1.6478; p=0.022499","rank=36; score=0.007467","rank=77; score=53.248; p=0.0043435; adjP=0.030613","rank=18; score=2.3622; p=0.0043435"
"8","FOSL2","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.00","4","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=55); ARCHS4--Coexpression(rank=344); GTEx--Coexpression(rank=1018)","77","rank=41; score=1.39; p=0.040742","rank=77; score=0.01684","rank=4; score=48.634; p=0.00072971; adjP=0.10042","rank=62; score=1.2183; p=0.060494"
"9","NR3C1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.50","18","6","ARCHS4--Coexpression(rank=10); ENCODE--ChIP-seq(rank=13); Enrichr--Queries(rank=43); Literature--ChIP-seq(rank=47); ReMap--ChIP-seq(rank=85); GTEx--Coexpression(rank=1302)","28","rank=44; score=1.39; p=0.040742","rank=28; score=0.006143","rank=18; score=29.53; p=2.7177e-05; adjP=0.0034006","rank=96; score=0.83476; p=0.1463"
"10","STAT1","DoRothEA;ChEA3;ENRICHR;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.00","8","6","ARCHS4--Coexpression(rank=34); ReMap--ChIP-seq(rank=37); ENCODE--ChIP-seq(rank=44); Enrichr--Queries(rank=117); Literature--ChIP-seq(rank=134); GTEx--Coexpression(rank=875)","95","rank=8; score=2.8833; p=0.0013084","rank=95; score=0.02088","rank=86; score=48.373; p=0.0051565; adjP=0.031871","rank=19; score=2.2876; p=0.0051566"
