"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","MTF2","ChEA3;ENRICHR;CollecTRI","3","ChEA3;ENRICHR;CollecTRI","21.33333333333333","4","3","Literature--ChIP-seq(rank=1); GTEx--Coexpression(rank=1412); ARCHS4--Coexpression(rank=1628)","28","rank=28; score=0.006098","rank=4; score=146.17; p=6.4796e-22; adjP=2.4169e-19","rank=32; score=2.2206; p=0.026375; direction=Repressed"
"2","LMX1B","ChEA3;ENRICHR;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","53.00000000000000","41","3","GTEx--Coexpression(rank=21); Enrichr--Queries(rank=556); ARCHS4--Coexpression(rank=731)","63","rank=63; score=0.01307","rank=55; score=10.886; p=0.16886; adjP=0.99901","rank=41; score=2.0795; p=0.037571; direction=Activated"
"3","TCF3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","65.33333333333333","26","6","Literature--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=24); ReMap--ChIP-seq(rank=135); GTEx--Coexpression(rank=804); Enrichr--Queries(rank=1009); ARCHS4--Coexpression(rank=1178)","106","rank=106; score=0.02439","rank=26; score=63.891; p=1.1071e-11; adjP=5.5057e-10","rank=64; score=1.8585; p=0.0631; direction=Repressed"
"4","FOSL2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","76.00000000000000","15","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=35); Enrichr--Queries(rank=138); GTEx--Coexpression(rank=395); ARCHS4--Coexpression(rank=866)","41","rank=41; score=0.008475","rank=15; score=20.04; p=0.00021942; adjP=0.037324","rank=172; score=1.3102; p=0.19012; direction=Repressed"
"5","WT1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","92.00000000000000","57","4","Literature--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=117); Enrichr--Queries(rank=259); GTEx--Coexpression(rank=753)","131","rank=131; score=0.03049","rank=57; score=52.037; p=2.7212e-11; adjP=1.1941e-09","rank=88; score=1.7298; p=0.083667; direction=Repressed"
"6","KLF6","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","98.66666666666666","17","4","ReMap--ChIP-seq(rank=2); Enrichr--Queries(rank=184); ARCHS4--Coexpression(rank=628); GTEx--Coexpression(rank=791)","32","rank=32; score=0.006734","rank=247; score=15.002; p=0.0001643; adjP=0.0011785","rank=17; score=2.611; p=0.0090266; direction=Activated"
"7","TP63","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","109.33333333333333","48","5","Literature--ChIP-seq(rank=23); ARCHS4--Coexpression(rank=72); GTEx--Coexpression(rank=79); ReMap--ChIP-seq(rank=92); Enrichr--Queries(rank=120)","185","rank=185; score=0.04423","rank=48; score=30.023; p=2.1896e-07; adjP=4.4146e-06","rank=95; score=1.6869; p=0.091617; direction=Repressed"
"8","ESR1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","113.33333333333333","54","6","ENCODE--ChIP-seq(rank=4); Literature--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=118); Enrichr--Queries(rank=365); GTEx--Coexpression(rank=437); ARCHS4--Coexpression(rank=560)","145","rank=145; score=0.0339","rank=54; score=17.886; p=8.2978e-05; adjP=0.00065853","rank=141; score=1.4809; p=0.13863; direction=Repressed"
"9","IRF6","ChEA3;ENRICHR;CollecTRI","3","ChEA3;ENRICHR;CollecTRI","115.66666666666667","52","3","GTEx--Coexpression(rank=19); ARCHS4--Coexpression(rank=141); Enrichr--Queries(rank=156)","57","rank=57; score=0.01182","rank=52; score=10.886; p=0.16886; adjP=0.99901","rank=238; score=1.0885; p=0.27638; direction=Repressed"
"10","ATF4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","122.00000000000000","39","4","GTEx--Coexpression(rank=100); ReMap--ChIP-seq(rank=257); Enrichr--Queries(rank=1350); ARCHS4--Coexpression(rank=1557)","247","rank=247; score=0.06223","rank=39; score=48.863; p=0.0011236; adjP=0.02901","rank=80; score=1.7748; p=0.075923; direction=Activated"
