"ID","P","HR","CI_low_0.95","CI_up_0.95"
"B_lineage_MCPcounter","0.01262233902897615","1.0527","1.0111000000000001","1.0960"
"Neutrophils_MCPcounter","0.16396719453741890","0.9144","0.8062000000000000","1.0372"
"T_cells_MCPcounter","0.24000311548395531","1.0801","0.9498000000000000","1.2281"
"Cytotoxic_lymphocytes_MCPcounter","0.28077779817468218","1.0503","0.9607000000000000","1.1483"
"Endothelial_cells_MCPcounter","0.36025466000779149","1.0245","0.9727000000000000","1.0792"
"Monocytic_lineage_MCPcounter","0.40556717073294846","1.0158","0.9789000000000000","1.0541"
"Myeloid_dendritic_cells_MCPcounter","0.41680729542396489","0.9379","0.8036000000000000","1.0948"
"NK_cells_MCPcounter","0.59632216648381042","1.0709","0.8310999999999999","1.3799"
"Fibroblasts_MCPcounter","0.61809996928527600","1.0001","0.9996000000000000","1.0007"
"CD8_T_cells_MCPcounter","0.90413961311037694","1.0031","0.9532000000000000","1.0557"
