"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","6","ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); ARCHS4--Coexpression(rank=469); Enrichr--Queries(rank=813); GTEx--Coexpression(rank=991)","18","rank=2; score=8.9013; direction=Repressed","rank=1; score=7.8804; p=3.2645e-15; direction=Repressed"
"2","CEBPG","VIPER;CollecTRI","4","DoRothEA;ChEA3;VIPER;CollecTRI","25.0","21","4","ReMap--ChIP-seq(rank=235); Enrichr--Queries(rank=308); ARCHS4--Coexpression(rank=1214); GTEx--Coexpression(rank=1385)","743","rank=21; score=4.9246; direction=Activated","rank=29; score=3.5289; p=0.00041723; direction=Activated"
"3","RARA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.0","28","5","ReMap--ChIP-seq(rank=39); Literature--ChIP-seq(rank=113); Enrichr--Queries(rank=317); GTEx--Coexpression(rank=612); ARCHS4--Coexpression(rank=800)","496","rank=30; score=4.5301; direction=Activated","rank=28; score=3.596; p=0.00032309; direction=Activated"
"4","MAFK","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","31.5","12","5","ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=141); GTEx--Coexpression(rank=304); Enrichr--Queries(rank=472); ARCHS4--Coexpression(rank=1352)","658","rank=12; score=5.5668; direction=Activated","rank=51; score=2.9151; p=0.0035552; direction=Activated"
"5","IRF3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.5","9","5","ENCODE--ChIP-seq(rank=30); ReMap--ChIP-seq(rank=171); ARCHS4--Coexpression(rank=831); Enrichr--Queries(rank=1303); GTEx--Coexpression(rank=1321)","824","rank=58; score=3.5791; direction=Repressed","rank=9; score=4.1938; p=2.743e-05; direction=Activated"
"6","FOXO4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.5","16","3","Enrichr--Queries(rank=364); GTEx--Coexpression(rank=913); ARCHS4--Coexpression(rank=1246)","837","rank=55; score=3.6742; direction=Activated","rank=16; score=4.0107; p=6.0528e-05; direction=Activated"
"7","E2F1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.0","17","6","GTEx--Coexpression(rank=3); Enrichr--Queries(rank=4); ARCHS4--Coexpression(rank=13); ReMap--ChIP-seq(rank=24); ENCODE--ChIP-seq(rank=61); Literature--ChIP-seq(rank=91)","6","rank=69; score=3.3454; direction=Repressed","rank=17; score=3.9867; p=6.6989e-05; direction=Repressed"
"8","STAT2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","47.5","27","5","ENCODE--ChIP-seq(rank=37); ReMap--ChIP-seq(rank=194); ARCHS4--Coexpression(rank=221); Enrichr--Queries(rank=385); GTEx--Coexpression(rank=1139)","511","rank=68; score=3.3749; direction=Activated","rank=27; score=3.6909; p=0.0002235; direction=Activated"
"9","NFE2L2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","52.0","25","5","Literature--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=73); ARCHS4--Coexpression(rank=211); GTEx--Coexpression(rank=525); Enrichr--Queries(rank=570)","464","rank=79; score=3.1336; direction=Activated","rank=25; score=3.6967; p=0.00021845; direction=Activated"
"10","IRF4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","54.0","49","5","GTEx--Coexpression(rank=47); ReMap--ChIP-seq(rank=69); ENCODE--ChIP-seq(rank=116); ARCHS4--Coexpression(rank=269); Enrichr--Queries(rank=537)","111","rank=49; score=3.7887; direction=Activated","rank=59; score=2.8401; p=0.0045105; direction=Activated"
