"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","MAFF","DoRothEA;ChEA3;VIPER","4","DoRothEA;ChEA3;VIPER;ENRICHR","8.333333333333334","4","5","Enrichr--Queries(rank=2); GTEx--Coexpression(rank=4); ENCODE--ChIP-seq(rank=66); ReMap--ChIP-seq(rank=72); ARCHS4--Coexpression(rank=1624)","4","rank=14; score=2.1133; p=0.007704","rank=4; score=0.001425","rank=7; score=3.9395; direction=Activated"
"2","JUN","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.333333333333334","5","6","ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=6); GTEx--Coexpression(rank=10); ARCHS4--Coexpression(rank=44); Enrichr--Queries(rank=66)","12","rank=5; score=3.7579; p=0.00017464","rank=12; score=0.003367","rank=11; score=3.4486; direction=Activated"
"3","STAT1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.000000000000000","4","6","ReMap--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=23); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=268); GTEx--Coexpression(rank=1380)","54","rank=4; score=3.9059; p=0.0001242","rank=54; score=0.01413","rank=5; score=4.162; direction=Activated"
"4","FOS","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.666666666666668","6","5","GTEx--Coexpression(rank=3); ReMap--ChIP-seq(rank=4); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=20); ARCHS4--Coexpression(rank=220)","6","rank=10; score=2.7449; p=0.0017994","rank=6; score=0.001867","rank=52; score=2.0729; direction=Activated"
"5","ATF3","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.000000000000000","1","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=60)","1","rank=9; score=2.8637; p=0.0013686","rank=1; score=0.0006143","rank=59; score=1.9468; direction=Repressed"
"6","NFKB1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.000000000000000","12","4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=237); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=616)","56","rank=12; score=2.2812; p=0.0052333","rank=56; score=0.01474","rank=13; score=3.3207; direction=Activated"
"7","RELB","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","32.333333333333336","13","4","Enrichr--Queries(rank=5); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=94); GTEx--Coexpression(rank=181)","13","rank=59; score=0.92639; p=0.11847","rank=13; score=0.003561","rank=25; score=2.8659; direction=Activated"
"8","ARNTL","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST","37.000000000000000","3","4","ARCHS4--Coexpression(rank=45); ReMap--ChIP-seq(rank=96); Enrichr--Queries(rank=102); GTEx--Coexpression(rank=104)","104","rank=3; score=3.9957; p=0.000101","rank=104; score=0.02764","rank=4; score=4.3357; direction=Activated"
"9","RELA","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.000000000000000","17","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=384); Enrichr--Queries(rank=693); GTEx--Coexpression(rank=963)","71","rank=17; score=1.8859; p=0.013005","rank=71; score=0.01829","rank=23; score=2.8994; direction=Activated"
"10","NFKB2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.666666666666664","8","4","GTEx--Coexpression(rank=31); ReMap--ChIP-seq(rank=33); Enrichr--Queries(rank=36); ARCHS4--Coexpression(rank=41)","76","rank=8; score=3.1879; p=0.0006488","rank=76; score=0.01929","rank=35; score=2.3597; direction=Repressed"
