"TF","MVL_TOR10","Activity_Score_Mean","Score","Method_Direction","Rank","Method","Method_Rank","Method_Score","Method_P_Value","Method_Adjusted_P_Value","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","CheA3_Integrated_Score","CheA3_Integrated_Library"
"E2F4","-8.00116365257065532","-8.00116365257065532","8.00116365257065532","Repressed","1","viper","1","8.00116365257065532",NA,NA,"6","ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=156); ARCHS4--Coexpression(rank=637); GTEx--Coexpression(rank=1140)","32","0.01010000000000000","ReMap ChIP-seq,0.0101"
"NFE2L2","5.60779053719135145","5.60779053719135145","5.60779053719135145","Activated","2","viper","2","5.60779053719135145",NA,NA,"5","ReMap--ChIP-seq(rank=154); Literature--ChIP-seq(rank=155); GTEx--Coexpression(rank=199); ARCHS4--Coexpression(rank=411); Enrichr--Queries(rank=831)","469","0.12379999999999999","GTEx Coexpression,0.1238"
"E2F1","-4.63433460571907840","-4.63433460571907840","4.63433460571907840","Repressed","3","viper","3","4.63433460571907840",NA,NA,"6","GTEx--Coexpression(rank=5); ReMap--ChIP-seq(rank=5); Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=9); ENCODE--ChIP-seq(rank=36); Literature--ChIP-seq(rank=37)","11","0.00311100000000000","GTEx Coexpression,0.003111"
"FOXM1","-4.44063191277902369","-4.44063191277902369","4.44063191277902369","Repressed","4","viper","4","4.44063191277902369",NA,NA,"6","ENCODE--ChIP-seq(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ARCHS4--Coexpression(rank=6)","2","0.00062230000000000","GTEx Coexpression,6.223E-4"
"CDX2","4.28675464422125785","4.28675464422125785","4.28675464422125785","Activated","5","viper","5","4.28675464422125785",NA,NA,"5","ARCHS4--Coexpression(rank=79); GTEx--Coexpression(rank=94); ReMap--ChIP-seq(rank=104); Literature--ChIP-seq(rank=129); Enrichr--Queries(rank=1021)","181","0.04853000000000000","ARCHS4 Coexpression,0.04853"
"GRHL2","4.11601799235893751","4.11601799235893751","4.11601799235893751","Activated","6","viper","6","4.11601799235893751",NA,NA,"5","ReMap--ChIP-seq(rank=35); Literature--ChIP-seq(rank=124); GTEx--Coexpression(rank=240); ARCHS4--Coexpression(rank=559); Enrichr--Queries(rank=898)","448","0.11780000000000000","ReMap ChIP-seq,0.1178"
"TFDP1","-4.04136342448118668","-4.04136342448118668","4.04136342448118668","Repressed","7","viper","7","4.04136342448118668",NA,NA,"4","GTEx--Coexpression(rank=4); ReMap--ChIP-seq(rank=7); ARCHS4--Coexpression(rank=15); Enrichr--Queries(rank=25)","9","0.00248900000000000","GTEx Coexpression,0.002489"
"SP3","3.91007251544765699","3.91007251544765699","3.91007251544765699","Activated","8","viper","8","3.91007251544765699",NA,NA,"3","GTEx--Coexpression(rank=983); Enrichr--Queries(rank=1253); ARCHS4--Coexpression(rank=1511)","1459","0.61170000000000002","GTEx Coexpression,0.6117"
"HNF1B","3.86245682570271676","3.86245682570271676","3.86245682570271676","Activated","9","viper","9","3.86245682570271676",NA,NA,"3","ReMap--ChIP-seq(rank=111); Enrichr--Queries(rank=753); ARCHS4--Coexpression(rank=917)","1134","0.37369999999999998","ReMap ChIP-seq,0.3737"
"PPARA","3.80460809016534274","3.80460809016534274","3.80460809016534274","Activated","10","viper","10","3.80460809016534274",NA,NA,"3","ARCHS4--Coexpression(rank=620); Enrichr--Queries(rank=889); GTEx--Coexpression(rank=1166)","1148","0.38080000000000003","ARCHS4 Coexpression,0.3808"
