"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","JUN","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.0","2","6","GTEx--Coexpression(rank=1); ENCODE--ChIP-seq(rank=2); Literature--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=11); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=61)","2","rank=2; score=0.0006223","rank=8; score=39.655; p=8.2254e-05; adjP=0.018233"
"2","ARNTL","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST","15.5","1","4","ARCHS4--Coexpression(rank=12); Enrichr--Queries(rank=101); ReMap--ChIP-seq(rank=119); GTEx--Coexpression(rank=1202)","30","rank=30; score=0.007371","rank=1; score=1982.4; p=8.7649e-05; adjP=0.0095538"
"3","STAT1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.0","9","6","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=84); Literature--ChIP-seq(rank=149); Enrichr--Queries(rank=235); GTEx--Coexpression(rank=914)","27","rank=27; score=0.006734","rank=9; score=31.747; p=8.0533e-05; adjP=0.018233"
"4","ATF3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.0","5","6","GTEx--Coexpression(rank=2); ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=50)","5","rank=5; score=0.001245","rank=33; score=90.184; p=0.00050031; adjP=0.025593"
"5","CEBPB","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.0","5","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=51); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=69); ARCHS4--Coexpression(rank=188)","33","rank=33; score=0.008475","rank=5; score=52.561; p=0.00014889; adjP=0.043672"
"6","JUND","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.5","21","6","Literature--ChIP-seq(rank=8); GTEx--Coexpression(rank=9); ENCODE--ChIP-seq(rank=10); ReMap--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=53); Enrichr--Queries(rank=239)","21","rank=21; score=0.0056","rank=22; score=30.749; p=0.00031985; adjP=0.022452"
"7","ELK3","ChEA3;ENRICHR","3","ChEA3;ENRICHR;CollecTRI","24.0","2","4","Literature--ChIP-seq(rank=2); GTEx--Coexpression(rank=75); Enrichr--Queries(rank=118); ARCHS4--Coexpression(rank=412)","46","rank=46; score=0.0122","rank=2; score=44.715; p=3.5524e-05; adjP=0.018233"
"8","BHLHE40","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","24.0","7","4","ENCODE--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=17); GTEx--Coexpression(rank=25); ReMap--ChIP-seq(rank=56)","41","rank=41; score=0.01044","rank=7; score=41.913; p=0.0015774; adjP=0.058362"
"9","HIF1A","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.5","23","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=367); Enrichr--Queries(rank=686)","23","rank=23; score=0.006098","rank=30; score=73.498; p=0.00034403; adjP=0.022452"
"10","FOS","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.5","8","5","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=3); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=40); ARCHS4--Coexpression(rank=44)","8","rank=8; score=0.001867","rank=47; score=15.063; p=0.021359; adjP=0.15151"
