"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","ATF3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6.5","1","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=77)","1","rank=1; score=0.0006143","rank=12; score=90.501; p=5.8292e-07; adjP=0.00013563"
"2","JUN","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","1","6","Literature--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=11); GTEx--Coexpression(rank=29); ARCHS4--Coexpression(rank=58); Enrichr--Queries(rank=79)","20","rank=20; score=0.006098","rank=1; score=119.18; p=3.3989e-08; adjP=2.3724e-05"
"3","FOS","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.5","2","5","GTEx--Coexpression(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=6); Enrichr--Queries(rank=18); ARCHS4--Coexpression(rank=106)","2","rank=2; score=0.0006223","rank=25; score=64.374; p=0.0024622; adjP=0.032828"
"4","JUND","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","18.5","5","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=32); GTEx--Coexpression(rank=175); Enrichr--Queries(rank=483); ARCHS4--Coexpression(rank=574)","32","rank=32; score=0.008475","rank=5; score=93.425; p=1.1692e-07; adjP=4.0807e-05"
"5","JUNB","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.5","19","4","GTEx--Coexpression(rank=10); Enrichr--Queries(rank=16); ARCHS4--Coexpression(rank=63); ReMap--ChIP-seq(rank=82)","22","rank=22; score=0.006223","rank=19; score=36.642; p=0.024949; adjP=0.12341"
"6","ESR1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.0","10","6","Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=6); ENCODE--ChIP-seq(rank=10); ARCHS4--Coexpression(rank=132); Enrichr--Queries(rank=491); GTEx--Coexpression(rank=507)","46","rank=46; score=0.0122","rank=10; score=101.95; p=8.5339e-06; adjP=0.0014892"
"7","MAFK","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","28.5","6","5","Enrichr--Queries(rank=2); ENCODE--ChIP-seq(rank=17); ReMap--ChIP-seq(rank=180); GTEx--Coexpression(rank=356); ARCHS4--Coexpression(rank=1339)","6","rank=6; score=0.001425","rank=51; score=26.018; p=0.092618; adjP=0.5228"
"8","FOSL2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.5","7","5","ENCODE--ChIP-seq(rank=4); ReMap--ChIP-seq(rank=14); Enrichr--Queries(rank=19); ARCHS4--Coexpression(rank=352); GTEx--Coexpression(rank=374)","52","rank=52; score=0.01353","rank=7; score=49.192; p=0.00028249; adjP=0.021273"
"9","NFE2L2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.5","21","5","ARCHS4--Coexpression(rank=10); Literature--ChIP-seq(rank=31); GTEx--Coexpression(rank=42); ReMap--ChIP-seq(rank=191); Enrichr--Queries(rank=277)","21","rank=21; score=0.006143","rank=38; score=4.8326; p=0.076437; adjP=0.37551"
"10","BHLHE40","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","38.0","35","4","GTEx--Coexpression(rank=14); ENCODE--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=87); ReMap--ChIP-seq(rank=155)","35","rank=35; score=0.008712","rank=41; score=5.2853; p=0.10249; adjP=0.7174"
