"TF","ALL"
"AHR","2.450549096640546765"
"AR","0.933494379584494105"
"ARID2","1.290064601828014190"
"ARID3A","3.750903449425753600"
"ARNT","2.828756313626549446"
"ARNTL","4.512720199706802049"
"ASCL1","0.921273095167980283"
"ATF1","0.768362345891610121"
"ATF2","1.902731079453579666"
"ATF3","-1.440865892310479124"
"ATF4","5.171040299570535126"
"ATF6","1.091217784675790003"
"ATF7","1.476668499124655476"
"BACH1","0.935350629354145258"
"BACH2","2.983516025854444642"
"BATF","0.798473253441351893"
"BCL11A","0.707889785695921536"
"BCL6","-1.564773322377479792"
"BHLHE22","-2.214184918821566761"
"BHLHE40","-1.829319520063456439"
"CDX2","0.392027591921288387"
"CEBPA","-0.122044147229002184"
"CEBPB","3.340337765470067222"
"CEBPD","1.523319157253159251"
"CEBPG","2.384769922087626171"
"CLOCK","3.393608421064146619"
"CREB1","1.687818744914478364"
"CREB3","-0.633006251215895710"
"CREB3L1","0.969633890988059077"
"CREM","2.573596604535589361"
"CTCF","1.728127112819159761"
"CTCFL","0.272077141954613133"
"CUX1","0.947589255967901223"
"DUX4","0.189883893372557039"
"E2F1","-3.096307961903896899"
"E2F2","-4.483914433097464958"
"E2F3","-2.602047619479231688"
"E2F4","-8.647473234178868040"
"E2F5","-1.925964301614268903"
"E2F6","1.018697701108097098"
"E2F7","-0.009814151436548514"
"EBF1","3.548270915991185159"
"EGR1","0.875331654676010040"
"EHF","1.565327653664909890"
"ELF1","2.643145934849965961"
"ELF3","1.609520830988071749"
"ELF5","-0.467132660974575231"
"ELK1","2.168906030972952870"
"ELK4","0.963377326765082476"
"EOMES","1.393793283910675695"
"EPAS1","2.431495795840350915"
"ERG","1.871784473950836691"
"ESR1","3.853214734031327637"
"ESR2","2.448640501962156435"
"ESRRA","2.009881424447085507"
"ETS1","2.046772052788842444"
"ETS2","0.823605931370177347"
"ETV1","1.933451708062035035"
"ETV4","1.520528833620965026"
"FLI1","0.414316646644487252"
"FOS","2.630112908872326738"
"FOSL1","2.400662338708027477"
"FOSL2","1.898212565272281660"
"FOXA1","0.980437141444338689"
"FOXA2","0.088063489402433900"
"FOXJ2","2.718905365519421746"
"FOXK2","1.221926439731539915"
"FOXL2","2.527625847470317488"
"FOXM1","-2.999109377086429884"
"FOXO1","3.356215101191188488"
"FOXO3","5.125185304837668099"
"FOXO4","1.764007260570407576"
"FOXP1","-3.868907984867177241"
"FOXP2","-1.766130907578736142"
"GABPA","2.037970101409300572"
"GATA2","-0.133539514885024663"
"GATA3","2.925255474104684339"
"GATA4","1.365093930685165713"
"GATA6","2.804963493721739365"
"GFI1B","2.117823378068411699"
"GLI2","-0.306792661890998242"
"GRHL2","2.683882932558225853"
"HBP1","-4.304350588481192119"
"HHEX","-0.695592928574178093"
"HIF1A","4.246172380128590440"
"HINFP","-0.671996934687368652"
"HMBOX1","-2.675590676905355902"
"HNF1A","0.419755424224814211"
"HNF1B","1.700848733828017156"
"HNF4A","-0.378799336822205901"
"HNF4G","2.261132807428081204"
"HOXA9","1.686757789372480332"
"HOXB13","1.410807403983349140"
"HSF1","1.083265700468808657"
"IKZF1","2.193093710426387233"
"IRF1","1.591903943134398869"
"IRF2","1.525975919100669209"
"IRF3","-3.111658060489707278"
"IRF4","3.088987727742549261"
"IRF9","2.156226805587083017"
"JUN","3.583143960341072187"
"JUNB","3.056364855608557196"
"JUND","0.768452820525898805"
"KDM5B","1.466243826893453672"
"KLF1","1.120831174375850336"
"KLF13","1.332180634972926603"
"KLF3","1.314916221195108870"
"KLF4","2.278942471624628041"
"KLF5","1.079901747343576357"
"KLF6","2.197926796912911485"
"KLF9","2.937768180351305602"
"KMT2A","-0.971786242227721697"
"LEF1","-1.622884252513332015"
"LHX2","1.727941707962251661"
"LYL1","0.625691516906372147"
"MAF","1.399992988295637897"
"MAFB","3.859332815734306088"
"MAFF","3.592393239117196657"
"MAFG","2.337296605081635725"
"MAFK","3.669459779167135061"
"MAX","2.135139840344767670"
"MAZ","-2.703498273178222888"
"MBD1","3.304880230659724916"
"MBD2","0.827423608288732515"
"MEF2A","5.218824666311167704"
"MEF2B","2.085185910503023266"
"MEF2C","1.849973019930850837"
"MEIS1","2.375828851210552983"
"MEIS2","2.067594698606030956"
"MITF","1.147539109219437359"
"MNT","-2.286382744669681166"
"MXI1","-0.824196109960912415"
"MYB","-1.205905585248912004"
"MYBL2","-0.721976406927099634"
"MYC","-6.180958732564430846"
"MYCN","-2.509171150368481040"
"MYOD1","1.365356051125930614"
"NANOG","2.352237629948316755"
"NCOA1","3.524670637092873982"
"NCOA2","2.723720392900879084"
"NCOA3","3.233242830265689705"
"NEUROD1","1.633401643070405029"
"NFATC1","2.201837570540671418"
"NFE2","1.964770350818615174"
"NFE2L1","1.413304179931497817"
"NFE2L2","0.027315808721517211"
"NFIC","-1.382784649670494748"
"NFKB1","3.519012393028369878"
"NFKB2","-2.331839434564739744"
"NFYA","-0.759376499639867086"
"NFYB","-1.156283716324205457"
"NR1H2","1.369477768608797330"
"NR1H3","0.666926391998543422"
"NR2C2","-3.049977767280124485"
"NR2F1","-0.553463626362137640"
"NR2F6","0.157901614250050726"
"NR3C1","-1.053884725190859628"
"NR4A1","1.953976277180816901"
"NR5A2","1.331841140224639730"
"NRF1","1.050881798686047697"
"ONECUT1","2.143781378620337907"
"OTX2","2.171419161076729054"
"PAX5","0.007566418821417924"
"PAX6","1.569015945410697555"
"PAX8","-1.403611731509573746"
"PBX2","3.164606440257510922"
"PBX3","2.776463648683766827"
"PDX1","3.026496590820558996"
"PGR","0.315091922733386931"
"PKNOX1","0.923744737309529995"
"POU2F1","1.109587022676836510"
"POU4F2","2.087051059995717495"
"POU5F1","2.571556814457778728"
"PPARA","0.905122822792792325"
"PPARG","2.069823367217235255"
"PRDM1","1.330222627346012043"
"PRDM14","3.648936906104897293"
"PROX1","1.333367223592936579"
"RARA","1.501767058258610676"
"RBPJ","2.897534995783776157"
"REL","2.138732272769499509"
"RELA","2.744856047841516933"
"RELB","2.893190420072807356"
"RFX1","0.013914128950612318"
"RFX2","-0.200274319187829203"
"RFX5","0.577544451734473552"
"RUNX1","1.063921820174925204"
"RUNX2","3.014135451411424249"
"RUNX3","-0.115007133584775767"
"RXRA","-0.197800483981529551"
"SIX2","1.807322452866310769"
"SIX5","-2.379015204838405673"
"SMAD1","0.824948914676955858"
"SMAD3","2.343589695232798142"
"SMAD4","2.385261747179947989"
"SMAD5","-2.551713861361531777"
"SNAI2","-0.104531750392841627"
"SNAPC4","-4.204891620994587242"
"SOX10","1.509495825843120143"
"SOX11","1.867049444082457432"
"SOX13","1.776856079356116336"
"SOX6","1.356096761865512201"
"SOX9","1.667938651325301613"
"SP1","0.865989596993066990"
"SP2","0.535274710222138683"
"SP3","2.647575858965133921"
"SP4","0.120955151639585742"
"SPI1","1.090624851655805694"
"SPIB","0.765946423329233017"
"SREBF1","-3.711084160247086761"
"SREBF2","-4.382686152532746959"
"SRF","-0.395290290496789876"
"STAT1","5.469666432740001305"
"STAT2","1.835727181122157159"
"STAT3","2.344760484697353320"
"STAT4","0.608577977276195115"
"STAT5A","2.801427886258819111"
"STAT5B","3.238657900409719570"
"STAT6","1.577343592409305550"
"TAL1","2.010513430093141096"
"TBP","1.627334699185982281"
"TBX21","1.478244102247531000"
"TCF12","3.287272729212313394"
"TCF3","-2.061892252965631389"
"TCF4","2.212184607053538254"
"TCF7","0.594219756592595849"
"TCF7L2","0.535686672274497733"
"TEAD1","5.033853714175552163"
"TEAD2","1.368946935544059329"
"TEAD4","2.827260240227154942"
"TFAP2A","1.932695606093419061"
"TFAP2C","0.325904473882803580"
"TFAP4","3.013885987300247038"
"TFDP1","-3.040909680151421934"
"TGIF2","-0.421607884520970033"
"THAP1","-2.235902763430461349"
"THAP11","2.499713152668499916"
"TP53","5.773626191001616448"
"TP63","1.431831341822355830"
"TP73","1.362088457801851504"
"TWIST1","1.204333153802665812"
"USF1","-0.874096751295907803"
"USF2","0.951657025798549050"
"VDR","1.331333341705128515"
"WT1","1.836921565205074325"
"XBP1","0.072846161489662262"
"YY1","-1.881007328160124725"
"ZBED1","-0.625190002495759289"
"ZBTB11","2.580329138950587797"
"ZBTB33","1.353344176064177118"
"ZBTB7A","-0.171499567119707708"
"ZEB1","0.954454530310522520"
"ZEB2","-2.154667729131208631"
"ZFX","0.052530295907938840"
"ZKSCAN1","1.495875694112104526"
"ZNF143","0.025929524460647998"
"ZNF217","2.771391020810062500"
"ZNF24","-1.240020354422799009"
"ZNF263","-0.435357240293101910"
"ZNF274","-3.130609466300071198"
"ZNF384","2.492445288819187699"
"ZNF592","2.073239526084124762"
"ZNF639","-1.498059083432184524"
"ZNF740","-0.583767838159331420"
