Pathway,XENOBIOTIC METABOLISM,BILE ACID METABOLISM,PEROXISOME,FATTY ACID METABOLISM,ADIPOGENESIS,OXIDATIVE PHOSPHORYLATION,MYOGENESIS,REACTIVE OXYGEN SPECIES PATHWAY,COAGULATION,COMPLEMENT,TNFA SIGNALING VIA NFKB,INFLAMMATORY RESPONSE,ALLOGRAFT REJECTION,KRAS SIGNALING UP,EPITHELIAL MESENCHYMAL TRANSITION,ANGIOGENESIS,UV RESPONSE DN,APICAL JUNCTION,MYC TARGETS V1,MYC TARGETS V2,E2F TARGETS,MTORC1 SIGNALING,CHOLESTEROL HOMEOSTASIS,HYPOXIA,GLYCOLYSIS,UV RESPONSE UP,P53 PATHWAY,UNFOLDED PROTEIN RESPONSE,PANCREAS BETA CELLS
XENOBIOTIC METABOLISM,1.0,0.06,0.045,0.125,0.08,0.045,0.02,0.02,0.055,0.05,0.035,0.025,0.03,0.05,0.025,0.005,0.01,0.005,0.02,0.005,0.0,0.06,0.01,0.04,0.04,0.055,0.055,0.005,0.0
BILE ACID METABOLISM,0.10714285714285714,1.0,0.3482142857142857,0.09821428571428571,0.08035714285714286,0.03571428571428571,0.017857142857142856,0.026785714285714284,0.008928571428571428,0.008928571428571428,0.008928571428571428,0.026785714285714284,0.008928571428571428,0.026785714285714284,0.0,0.0,0.026785714285714284,0.0,0.0,0.0,0.0,0.05357142857142857,0.026785714285714284,0.017857142857142856,0.026785714285714284,0.0,0.026785714285714284,0.0,0.0
PEROXISOME,0.08653846153846154,0.375,1.0,0.2403846153846154,0.09615384615384616,0.057692307692307696,0.028846153846153848,0.038461538461538464,0.0,0.0,0.009615384615384616,0.0,0.009615384615384616,0.009615384615384616,0.009615384615384616,0.0,0.019230769230769232,0.028846153846153848,0.038461538461538464,0.0,0.028846153846153848,0.0673076923076923,0.028846153846153848,0.019230769230769232,0.038461538461538464,0.04807692307692308,0.028846153846153848,0.0,0.009615384615384616
FATTY ACID METABOLISM,0.15822784810126583,0.06962025316455696,0.15822784810126583,1.0,0.18354430379746836,0.1962025316455696,0.02531645569620253,0.006329113924050633,0.006329113924050633,0.02531645569620253,0.006329113924050633,0.0,0.006329113924050633,0.0189873417721519,0.012658227848101266,0.0,0.012658227848101266,0.0189873417721519,0.02531645569620253,0.0,0.012658227848101266,0.06329113924050633,0.04430379746835443,0.04430379746835443,0.08227848101265822,0.056962025316455694,0.0189873417721519,0.0,0.0
ADIPOGENESIS,0.08,0.045,0.05,0.145,1.0,0.205,0.045,0.02,0.005,0.02,0.03,0.005,0.005,0.02,0.015,0.005,0.015,0.01,0.015,0.005,0.01,0.07,0.02,0.055,0.05,0.03,0.02,0.015,0.0
OXIDATIVE PHOSPHORYLATION,0.045,0.02,0.03,0.155,0.205,1.0,0.005,0.02,0.005,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.005,0.0,0.035,0.005,0.01,0.04,0.03,0.02,0.005,0.0
MYOGENESIS,0.02,0.01,0.015,0.02,0.045,0.005,1.0,0.02,0.025,0.025,0.025,0.02,0.01,0.025,0.1,0.01,0.02,0.06,0.005,0.0,0.005,0.025,0.015,0.065,0.04,0.015,0.065,0.01,0.0
REACTIVE OXYGEN SPECIES PATHWAY,0.08163265306122448,0.061224489795918366,0.08163265306122448,0.02040816326530612,0.08163265306122448,0.08163265306122448,0.08163265306122448,1.0,0.0,0.02040816326530612,0.04081632653061224,0.02040816326530612,0.0,0.02040816326530612,0.0,0.0,0.02040816326530612,0.0,0.02040816326530612,0.0,0.02040816326530612,0.12244897959183673,0.0,0.04081632653061224,0.12244897959183673,0.08163265306122448,0.0,0.0,0.0
COAGULATION,0.07971014492753623,0.007246376811594203,0.0,0.007246376811594203,0.007246376811594203,0.007246376811594203,0.036231884057971016,0.0,1.0,0.41304347826086957,0.050724637681159424,0.06521739130434782,0.043478260869565216,0.07246376811594203,0.13043478260869565,0.028985507246376812,0.028985507246376812,0.057971014492753624,0.0,0.0,0.0,0.021739130434782608,0.021739130434782608,0.036231884057971016,0.014492753623188406,0.021739130434782608,0.014492753623188406,0.0,0.007246376811594203
COMPLEMENT,0.05,0.005,0.0,0.02,0.02,0.015,0.025,0.005,0.285,1.0,0.08,0.105,0.075,0.05,0.06,0.01,0.015,0.03,0.0,0.0,0.0,0.025,0.03,0.055,0.025,0.05,0.02,0.01,0.005
TNFA SIGNALING VIA NFKB,0.035,0.005,0.005,0.005,0.03,0.0,0.025,0.01,0.035,0.08,1.0,0.255,0.095,0.115,0.11,0.02,0.06,0.02,0.005,0.01,0.01,0.05,0.03,0.145,0.025,0.1,0.13,0.025,0.0
INFLAMMATORY RESPONSE,0.025,0.015,0.0,0.0,0.005,0.0,0.02,0.005,0.045,0.105,0.255,1.0,0.185,0.08,0.065,0.015,0.075,0.015,0.005,0.005,0.01,0.025,0.01,0.055,0.025,0.05,0.06,0.005,0.0
