"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR","CollecTRI"
"1","ATF3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.333333333333333","1","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=39); ENCODE--ChIP-seq(rank=60)","1","rank=1; score=0.0006143","rank=4; score=67.924; p=1.3742e-07; adjP=9.9903e-05","rank=8; score=3.289; p=0.0010054; direction=Activated"
"2","BATF","ChEA3;ENRICHR;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","18.333333333333332","5","5","ARCHS4--Coexpression(rank=3); ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=44); Enrichr--Queries(rank=163); GTEx--Coexpression(rank=592)","5","rank=5; score=0.001843","rank=40; score=20.7; p=0.033242; adjP=0.75447","rank=10; score=3.2418; p=0.0011878; direction=Activated"
"3","FOSL2","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.666666666666668","3","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=13); Enrichr--Queries(rank=93); ARCHS4--Coexpression(rank=114); GTEx--Coexpression(rank=851)","31","rank=31; score=0.008475","rank=3; score=38.027; p=8.8805e-05; adjP=0.048451","rank=34; score=2.4463; p=0.014433; direction=Activated"
"4","NFKB1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.333333333333332","7","4","ARCHS4--Coexpression(rank=24); Enrichr--Queries(rank=237); ReMap--ChIP-seq(rank=240); GTEx--Coexpression(rank=616)","56","rank=56; score=0.01474","rank=7; score=44.387; p=0.00014541; adjP=0.0085574","rank=22; score=2.7139; p=0.0066492; direction=Activated"
"5","RELA","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.000000000000000","10","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=16); ReMap--ChIP-seq(rank=38); ARCHS4--Coexpression(rank=384); Enrichr--Queries(rank=693); GTEx--Coexpression(rank=963)","71","rank=71; score=0.01829","rank=10; score=26.559; p=6.3953e-05; adjP=0.0058118","rank=24; score=2.6249; p=0.0086683; direction=Activated"
"6","STAT1","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.000000000000000","4","6","ReMap--ChIP-seq(rank=12); ARCHS4--Coexpression(rank=23); ENCODE--ChIP-seq(rank=49); Literature--ChIP-seq(rank=90); Enrichr--Queries(rank=268); GTEx--Coexpression(rank=1380)","54","rank=54; score=0.01413","rank=53; score=55.009; p=0.0042483; adjP=0.053246","rank=4; score=4.1029; p=4.0798e-05; direction=Activated"
"7","IRF4","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.666666666666664","18","5","ARCHS4--Coexpression(rank=8); ReMap--ChIP-seq(rank=69); Enrichr--Queries(rank=74); ENCODE--ChIP-seq(rank=100); GTEx--Coexpression(rank=1169)","18","rank=18; score=0.004914","rank=58; score=122.93; p=0.0048116; adjP=0.056536","rank=40; score=2.3866; p=0.017005; direction=Activated"
"8","STAT3","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.000000000000000","29","6","ENCODE--ChIP-seq(rank=12); Literature--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=30); ReMap--ChIP-seq(rank=40); Enrichr--Queries(rank=658); GTEx--Coexpression(rank=954)","72","rank=72; score=0.01843","rank=37; score=27.651; p=0.0025844; adjP=0.038888","rank=29; score=2.5412; p=0.011046; direction=Activated"
"9","DDIT3","ChEA3;ENRICHR;CollecTRI","4","ChEA3;ENRICHR;TRRUST;CollecTRI","58.000000000000000","9","3","Enrichr--Queries(rank=4); GTEx--Coexpression(rank=7); ARCHS4--Coexpression(rank=50)","9","rank=9; score=0.002849","rank=92; score=56.445; p=0.012805; adjP=0.077656","rank=73; score=1.8872; p=0.059136; direction=Activated"
"10","JUNB","ChEA3;ENRICHR;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","58.000000000000000","23","4","ReMap--ChIP-seq(rank=15); ARCHS4--Coexpression(rank=19); Enrichr--Queries(rank=19); GTEx--Coexpression(rank=38)","44","rank=44; score=0.01167","rank=23; score=14.723; p=0.078301; adjP=0.21946","rank=107; score=1.7498; p=0.080148; direction=Activated"
