"Feature","AUC","Direction"
"WNT_target","0.7406280450260343",">"
"Pan_F_TBRs","0.7279906265505346",">"
"EMT1","0.7257249777320792","<"
"FGFR3_related","0.7171346417106544","<"
"EMT2","0.7099610834464167",">"
"CellCycle_Reg","0.7052982705746618",">"
"EMT3","0.7007550170073110",">"
"DDR","0.6716064585936229",">"
"Histones","0.5774833962016009","<"
"Immune_Checkpoint","0.5342328178334657",">"
"CD_8_T_effector","0.5291874151876189","<"
"APM","0.5288466711700670","<"
