"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","VIPER","CollecTRI"
"1","E2F4","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.0","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=73); GTEx--Coexpression(rank=830); ARCHS4--Coexpression(rank=1173)","18","rank=1; score=9.9455; direction=Repressed","rank=1; score=9.161; p=5.1434e-20; direction=Repressed"
"2","MYC","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.5","3","6","Literature--ChIP-seq(rank=13); ENCODE--ChIP-seq(rank=31); ReMap--ChIP-seq(rank=115); Enrichr--Queries(rank=200); ARCHS4--Coexpression(rank=248); GTEx--Coexpression(rank=723)","324","rank=3; score=7.0135; direction=Repressed","rank=4; score=4.6753; p=2.9346e-06; direction=Repressed"
"3","SREBF2","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.5","2","6","ENCODE--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=96); Literature--ChIP-seq(rank=127); GTEx--Coexpression(rank=277); Enrichr--Queries(rank=567); ARCHS4--Coexpression(rank=1403)","676","rank=2; score=7.0234; direction=Repressed","rank=17; score=3.4494; p=0.00056173; direction=Repressed"
"4","STAT1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.5","11","6","GTEx--Coexpression(rank=21); ENCODE--ChIP-seq(rank=69); Literature--ChIP-seq(rank=130); ReMap--ChIP-seq(rank=163); ARCHS4--Coexpression(rank=174); Enrichr--Queries(rank=437)","47","rank=11; score=5.2037; direction=Activated","rank=14; score=3.5298; p=0.00041581; direction=Activated"
"5","FOXO3","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","19.0","2","4","ARCHS4--Coexpression(rank=43); Literature--ChIP-seq(rank=125); Enrichr--Queries(rank=447); GTEx--Coexpression(rank=876)","100","rank=36; score=3.4277; direction=Activated","rank=2; score=5.8045; p=6.4571e-09; direction=Activated"
"6","IRF9","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","25.0","7","4","ReMap--ChIP-seq(rank=254); ARCHS4--Coexpression(rank=429); GTEx--Coexpression(rank=457); Enrichr--Queries(rank=608)","926","rank=43; score=3.2875; direction=Activated","rank=7; score=4.0661; p=4.7811e-05; direction=Activated"
"7","RUNX1","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","34.5","20","5","Literature--ChIP-seq(rank=53); ReMap--ChIP-seq(rank=216); Enrichr--Queries(rank=269); ARCHS4--Coexpression(rank=750); GTEx--Coexpression(rank=1024)","733","rank=49; score=3.0822; direction=Activated","rank=20; score=3.3676; p=0.00075814; direction=Activated"
"8","ZNF384","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","44.0","40","5","ENCODE--ChIP-seq(rank=20); ReMap--ChIP-seq(rank=188); Enrichr--Queries(rank=1080); GTEx--Coexpression(rank=1507); ARCHS4--Coexpression(rank=1558)","665","rank=48; score=3.104; direction=Activated","rank=40; score=2.8687; p=0.0041217; direction=Activated"
"9","EBF1","VIPER;CollecTRI","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","47.5","6","5","ENCODE--ChIP-seq(rank=104); ReMap--ChIP-seq(rank=172); GTEx--Coexpression(rank=575); ARCHS4--Coexpression(rank=630); Enrichr--Queries(rank=1069)","1120","rank=6; score=6.1408; direction=Activated","rank=89; score=2.2305; p=0.025714; direction=Activated"
"10","NFYA","VIPER;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","51.5","9","5","ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=17); GTEx--Coexpression(rank=548); Enrichr--Queries(rank=634); ARCHS4--Coexpression(rank=1495)","232","rank=94; score=2.3405; direction=Repressed","rank=9; score=3.9958; p=6.4464e-05; direction=Repressed"
