Pathway,OXIDATIVE PHOSPHORYLATION,TNFA SIGNALING VIA NFKB,P53 PATHWAY,ANGIOGENESIS,UV RESPONSE DN,HEDGEHOG SIGNALING,MYOGENESIS,COAGULATION,UNFOLDED PROTEIN RESPONSE,PANCREAS BETA CELLS,ESTROGEN RESPONSE EARLY,ESTROGEN RESPONSE LATE,MYC TARGETS V1,G2M CHECKPOINT
OXIDATIVE PHOSPHORYLATION,1.0,0.0,0.02,0.0,0.0,0.0,0.005,0.005,0.005,0.0,0.0,0.015,0.055,0.0
TNFA SIGNALING VIA NFKB,0.0,1.0,0.13,0.02,0.06,0.01,0.025,0.035,0.025,0.0,0.065,0.06,0.005,0.025
P53 PATHWAY,0.02,0.13,1.0,0.025,0.005,0.005,0.065,0.01,0.015,0.005,0.04,0.045,0.015,0.005
ANGIOGENESIS,0.0,0.1111111111111111,0.1388888888888889,1.0,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0
UV RESPONSE DN,0.0,0.08333333333333333,0.006944444444444444,0.027777777777777776,1.0,0.013888888888888888,0.027777777777777776,0.027777777777777776,0.0,0.006944444444444444,0.04861111111111111,0.027777777777777776,0.006944444444444444,0.0625
HEDGEHOG SIGNALING,0.0,0.05555555555555555,0.027777777777777776,0.05555555555555555,0.05555555555555555,1.0,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.027777777777777776,0.0,0.0,0.05555555555555555
MYOGENESIS,0.005,0.025,0.065,0.01,0.02,0.01,1.0,0.025,0.01,0.0,0.05,0.03,0.005,0.01
COAGULATION,0.007246376811594203,0.050724637681159424,0.014492753623188406,0.028985507246376812,0.028985507246376812,0.007246376811594203,0.036231884057971016,1.0,0.0,0.007246376811594203,0.007246376811594203,0.043478260869565216,0.0,0.0
UNFOLDED PROTEIN RESPONSE,0.008849557522123894,0.04424778761061947,0.02654867256637168,0.008849557522123894,0.0,0.008849557522123894,0.017699115044247787,0.0,1.0,0.02654867256637168,0.04424778761061947,0.035398230088495575,0.08849557522123894,0.05309734513274336
PANCREAS BETA CELLS,0.0,0.0,0.025,0.0,0.025,0.025,0.0,0.025,0.075,1.0,0.0,0.0,0.0,0.0
ESTROGEN RESPONSE EARLY,0.0,0.065,0.04,0.0,0.035,0.005,0.05,0.005,0.025,0.0,1.0,0.505,0.005,0.015
ESTROGEN RESPONSE LATE,0.015,0.06,0.045,0.005,0.02,0.0,0.03,0.03,0.02,0.0,0.505,1.0,0.01,0.04
MYC TARGETS V1,0.055,0.005,0.015,0.0,0.005,0.0,0.005,0.0,0.05,0.0,0.005,0.01,1.0,0.145
G2M CHECKPOINT,0.0,0.025,0.005,0.0,0.045,0.01,0.01,0.0,0.03,0.0,0.015,0.04,0.145,1.0
