Pathway,NR1H4 TARGET GENES,SIX1 TARGET GENES,THRA TARGET GENES,LCORL TARGET GENES,ZNF491 TARGET GENES,EPC1 TARGET GENES,MIER1 TARGET GENES,PPARGC1A TARGET GENES,ZNF157 TARGET GENES,DLX2 TARGET GENES,CEBPE TARGET GENES,PER1 TARGET GENES
NR1H4 TARGET GENES,1.0,0.03218390804597701,0.006896551724137931,0.059770114942528735,0.0,0.013793103448275862,0.016091954022988506,0.004597701149425287,0.004597701149425287,0.0367816091954023,0.0,0.0
SIX1 TARGET GENES,0.03655352480417755,1.0,0.007832898172323759,0.02610966057441253,0.0,0.018276762402088774,0.02610966057441253,0.0,0.007832898172323759,0.018276762402088774,0.005221932114882507,0.0
THRA TARGET GENES,0.02727272727272727,0.02727272727272727,1.0,0.01818181818181818,0.0,0.02727272727272727,0.00909090909090909,0.0,0.0,0.00909090909090909,0.0,0.0
LCORL TARGET GENES,0.05591397849462366,0.021505376344086023,0.004301075268817204,1.0,0.01935483870967742,0.025806451612903226,0.025806451612903226,0.012903225806451613,0.0,0.030107526881720432,0.002150537634408602,0.0
ZNF491 TARGET GENES,0.0,0.0,0.0,1.0,1.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.0
EPC1 TARGET GENES,0.015267175572519083,0.017811704834605598,0.007633587786259542,0.030534351145038167,0.005089058524173028,1.0,0.01272264631043257,0.010178117048346057,0.005089058524173028,0.02544529262086514,0.002544529262086514,0.0
MIER1 TARGET GENES,0.018617021276595744,0.026595744680851064,0.0026595744680851063,0.031914893617021274,0.0,0.013297872340425532,1.0,0.02127659574468085,0.007978723404255319,0.007978723404255319,0.0,0.0
PPARGC1A TARGET GENES,0.019801980198019802,0.0,0.0,0.0594059405940594,0.0,0.039603960396039604,0.07920792079207921,1.0,0.0,0.009900990099009901,0.0,0.0
ZNF157 TARGET GENES,0.023809523809523808,0.03571428571428571,0.0,0.0,0.0,0.023809523809523808,0.03571428571428571,0.0,1.0,0.023809523809523808,0.0,0.0
DLX2 TARGET GENES,0.0547945205479452,0.023972602739726026,0.003424657534246575,0.04794520547945205,0.0,0.03424657534246575,0.010273972602739725,0.003424657534246575,0.00684931506849315,1.0,0.05136986301369863,0.0
CEBPE TARGET GENES,0.0,0.05714285714285714,0.0,0.02857142857142857,0.0,0.02857142857142857,0.0,0.0,0.0,0.42857142857142855,1.0,0.02857142857142857
PER1 TARGET GENES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030303030303030304,1.0
