"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","HIF1A","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","35.00000000000000","1","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=367); Enrichr--Queries(rank=686)","23","rank=10; score=2.2438; p=0.0057038","rank=23; score=0.006098","rank=1; score=5.6492; direction=Activated","rank=30; score=73.498; p=0.00034403; adjP=0.022452","rank=141; score=0; p=1","rank=5; score=4.3482; p=5.6836e-07; direction=Activated"
"2","CEBPB","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.83333333333334","5","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=51); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=69); ARCHS4--Coexpression(rank=188)","33","rank=88; score=0; p=1","rank=33; score=0.008475","rank=18; score=2.9738; direction=Activated","rank=5; score=52.561; p=0.00014889; adjP=0.043672","rank=50; score=0.86312; p=0.13705","rank=33; score=2.2084; p=0.00051592; direction=Activated"
"3","ATF3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.66666666666667","2","6","GTEx--Coexpression(rank=2); ReMap--ChIP-seq(rank=5); ARCHS4--Coexpression(rank=6); Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=12); ENCODE--ChIP-seq(rank=50)","5","rank=2; score=3.6024; p=0.00024979","rank=5; score=0.001245","rank=192; score=0.90369; direction=Repressed","rank=33; score=90.184; p=0.00050031; adjP=0.025593","rank=21; score=1.4145; p=0.038502","rank=3; score=4.1843; p=1.9183e-08; direction=Activated"
"4","STAT1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.00000000000000","9","6","ReMap--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=33); ARCHS4--Coexpression(rank=84); Literature--ChIP-seq(rank=149); Enrichr--Queries(rank=235); GTEx--Coexpression(rank=914)","27","rank=75; score=0.29109; p=0.51157","rank=27; score=0.006734","rank=10; score=3.3545; direction=Activated","rank=9; score=31.747; p=8.0533e-05; adjP=0.018233","rank=55; score=0.72918; p=0.18656","rank=100; score=2.7618; p=0.0047985; direction=Activated"
"5","ATF4","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","46.83333333333333","3","4","ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=438); ARCHS4--Coexpression(rank=553)","222","rank=6; score=3.1609; p=0.00069033","rank=222; score=0.06061","rank=3; score=4.7541; direction=Activated","rank=26; score=146.58; p=0.0033227; adjP=0.045272","rank=5; score=2.4785; p=0.0033228","rank=19; score=2.673; p=0.00015291; direction=Activated"
"6","FOS","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.66666666666666","8","5","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=3); ENCODE--ChIP-seq(rank=9); Enrichr--Queries(rank=40); ARCHS4--Coexpression(rank=44)","8","rank=69; score=0.70225; p=0.19849","rank=8; score=0.001867","rank=48; score=2.3535; direction=Activated","rank=47; score=15.063; p=0.021359; adjP=0.15151","rank=49; score=0.88387; p=0.13066","rank=83; score=1.9728; p=0.0030669; direction=Activated"
"7","PPARG","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.00000000000000","4","5","Literature--ChIP-seq(rank=32); GTEx--Coexpression(rank=79); ARCHS4--Coexpression(rank=102); ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=131)","177","rank=47; score=1.0188; p=0.095772","rank=177; score=0.04916","rank=30; score=2.7062; direction=Activated","rank=63; score=18.26; p=0.013962; adjP=0.13996","rank=51; score=0.82479; p=0.1497","rank=4; score=3.5864; p=6.9941e-08; direction=Activated"
"8","STAT3","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","62.50000000000000","6","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=30); ARCHS4--Coexpression(rank=81); Enrichr--Queries(rank=623); GTEx--Coexpression(rank=958)","151","rank=63; score=0.77384; p=0.16833","rank=151; score=0.04268","rank=11; score=3.3349; direction=Activated","rank=38; score=49.094; p=0.0042271; adjP=0.050028","rank=6; score=2.2937; p=0.0050853","rank=106; score=2.3494; p=0.0059927; direction=Activated"
"9","NFKB1","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","66.00000000000000","38","4","ARCHS4--Coexpression(rank=38); ReMap--ChIP-seq(rank=140); Enrichr--Queries(rank=292); GTEx--Coexpression(rank=659)","89","rank=38; score=1.2135; p=0.061169","rank=89; score=0.02334","rank=49; score=2.3481; direction=Activated","rank=54; score=28.425; p=0.0073402; adjP=0.080692","rank=54; score=0.77; p=0.16983","rank=112; score=2.0676; p=0.0069055; direction=Activated"
"10","CEBPA","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","69.66666666666667","26","5","ReMap--ChIP-seq(rank=21); Literature--ChIP-seq(rank=29); GTEx--Coexpression(rank=62); Enrichr--Queries(rank=284); ARCHS4--Coexpression(rank=296)","141","rank=73; score=0.51761; p=0.30366","rank=141; score=0.03858","rank=46; score=2.3965; direction=Activated","rank=58; score=14.231; p=0.024863; adjP=0.23287","rank=74; score=0; p=1","rank=26; score=2.2876; p=0.00023896; direction=Activated"
