"GeneID","Symbol","Ensembl","Entrez"
"ENSG00000086548","CEACAM6","ENSG00000086548","4680"
"ENSG00000282937","PRSS22","ENSG00000282937","64063"
"ENSG00000162772","ATF3","ENSG00000162772","467"
"ENSG00000131016","AKAP12","ENSG00000131016","9590"
"ENSG00000124107","SLPI","ENSG00000124107","6590"
"ENSG00000120885","CLU","ENSG00000120885","1191"
"ENSG00000078081","LAMP3","ENSG00000078081","27074"
"ENSG00000183091","NEB","ENSG00000183091","4703"
"ENSG00000087589","CASS4","ENSG00000087589","57091"
"ENSG00000196208","GREB1","ENSG00000196208","9687"
"ENSG00000057657","PRDM1","ENSG00000057657","639"
"ENSG00000129226","CD68","ENSG00000129226","968"
"ENSG00000158406","H4C8","ENSG00000158406","8365"
"ENSG00000174885","NLRP6","ENSG00000174885","171389"
"ENSG00000162733","DDR2","ENSG00000162733","4921"
"ENSG00000204421","LY6G6C","ENSG00000204421","80740"
"ENSG00000162496","DHRS3","ENSG00000162496","9249"
"ENSG00000229341","TNXB","ENSG00000229341","7148"
"ENSG00000205426","KRT81","ENSG00000205426","3887"
