Pathway ID	Name	pvalue	DEG number	DEG Density	Intersecton size	DEGs in Intersection	Result	Reciprocal pvalue	Filtered	Versus	Versus Name	Is Reciprocal	Top Genes
CYCLIN_D1_UP.V1_DN	CYCLIN_D1_UP.V1_DN	0.0234	77	0.4053	0	0	1	0	keep	itself		True	ACKR3,CDKL5,IFNGR2,BTG1,VASP,IL1A,RGS16,PBXIP1,KRT17,S100G,CXCR4,S100A4,RBMS2,BBC3,ALOX5,LMAN2,ITGA3,ACVR1,HDAC2,GAL
IL21_UP.V1_UP	IL21_UP.V1_UP	0.0247	83	0.4462	0	0	1	0	keep	itself		True	FOSB,RGCC,NUDT11,EGR2,SPRY4,TPBG,PIM1,USP2,MAFK,MVD,LEFTY1,ZC3H12A,KRT6B,DYRK1B,SPP1,SPINT1,TEAD3,ECM1,ARHGAP22,ROR2
EIF4E_UP	EIF4E_UP	0.029	51	0.51	0	0	1	0	keep	itself		True	BHLHE40,VPS28,PEX39,JOSD1,TAX1BP3,CCDC187,GTF2H5,KLF8,NEGR1,NDRG1,MAPK8IP1,FBXL13,IL18,PTS,PFDN2,LAMC3,DPY30,ZNRD2,RGS3,TMEM11
P53_DN.V2_UP	P53_DN.V2_UP	0.03	44	0.2973	0	0	1	0	keep	itself		True	KRT14,SPRR1B,FOSL2,IER3,CCL20,CXCL5,SDC4,CH25H,RELB,MMP17,MMP3,IL1RN,ALOX5AP,PCDH1,TNFAIP3,CA3,RIPK4,KCNMB1,TNNI3K,CXCL8
HOXA9_DN.V1_UP	HOXA9_DN.V1_UP	0.032	122	0.6354	0	0	1	0	keep	itself		True	FOS,NOD2,GDF15,AKIRIN1,TSEN34,TGM5,CRISPLD2,FZD2,TAX1BP3,COQ10B,RABAC1,ARHGAP26,CDK8,TOB1,CXCL8,KLF4,NGRN,FRY,MYOF,CYP1B1
RELA_DN.V1_DN	RELA_DN.V1_DN	0.036	45	0.3237	0	0	1	0	keep	itself		True	DSG3,NFE2,L1CAM,HAS1,CH25H,SPRY4,HDAC9,DUOX2,TACSTD2,RBP1,KLK7,KLF8,LGALS4,OR10H1,CST1,KLK11,SRPX2,RAMP1,SIGLEC5,KCNK5
SIRNA_EIF4GI_DN	SIRNA_EIF4GI_DN	0.046	50	0.5102	0	0	1	0	keep	itself		True	DUSP4,MFAP5,DCTN6,CCL2,SLC17A7,PMP22,MRGBP,STAMBP,CYTL1,FUT6,SMURF2,ATP6V0E1,PDCD10,ADIPOR2,PPME1,RAB1A,CDH11,LOXL2,MBD5,TAF11
LEF1_UP.V1_DN	LEF1_UP.V1_DN	0.046	88	0.4706	0	0	1	0	keep	itself		True	ID1,GSPT2,CPE,MFGE8,TMEM53,TPM1,SH3BGRL,CCL20,CXCL5,FGFBP1,IL20RA,TMPRSS3,LGR5,ELF3,ID3,PIAS3,NUDT18,CNN3,TRAF3IP2,TM4SF1
LTE2_UP.V1_UP	LTE2_UP.V1_UP	0.049	63	0.3351	0	0	1	0	keep	itself		True	PNRC1,BNIP3L,TFPT,BTG1,DUSP4,ADORA1,TNFRSF11B,AKAP12,CEMIP,FGFR4,ORAI3,CXCR4,MMP9,HMGCS1,CSGALNACT1,MEIS2,EDN1,KIF13B,LMO4,SDCBP
SIRNA_EIF4GI_UP	SIRNA_EIF4GI_UP	0.049	59	0.6211	0	0	1	0	keep	itself		True	ATF3,PERP,SPRR1B,BTG2,SPRR1A,ZFP36L2,FCAR,PYGL,PAPSS1,DRG1,TRAF3IP2,SAMM50,FBXO46,DAG1,CEBPD,PTPN13,UBE2E1,S100A14,LRPAP1,AFG3L2
