Pathway,ESC V6.5 UP EARLY.V1 DN,ESC J1 UP EARLY.V1 DN,RELA DN.V1 UP,SINGH KRAS DEPENDENCY SIGNATURE,STK33 UP,STK33 NOMO UP,STK33 SKM UP,IL15 UP.V1 UP,IL2 UP.V1 UP,PDGF ERK DN.V1 DN,BMI1 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,MEL18 DN.V1 UP,ALK DN.V1 UP,LEF1 UP.V1 UP,KRAS.BREAST UP.V1 UP,KRAS.600.LUNG.BREAST UP.V1 UP,KRAS.LUNG.BREAST UP.V1 UP,KRAS.600 UP.V1 UP,KRAS.300 UP.V1 UP,AKT UP MTOR DN.V1 UP,AKT UP.V1 UP,TBK1.DF UP,RAF UP.V1 DN,MTOR UP.N4.V1 UP,RB DN.V1 DN,P53 DN.V1 UP,ATF2 UP.V1 DN,EGFR UP.V1 UP,MEK UP.V1 UP,ERBB2 UP.V1 UP,RAF UP.V1 UP,CSR LATE UP.V1 DN,CAMP UP.V1 DN,TGFB UP.V1 UP,CSR EARLY UP.V1 UP,ESC J1 UP LATE.V1 UP,SNF5 DN.V1 DN,BCAT BILD ET AL UP,E2F1 UP.V1 DN
ESC V6.5 UP EARLY.V1 DN,1.0,0.18518518518518517,0.043209876543209874,0.006172839506172839,0.04938271604938271,0.043209876543209874,0.043209876543209874,0.037037037037037035,0.043209876543209874,0.018518518518518517,0.04938271604938271,0.037037037037037035,0.024691358024691357,0.012345679012345678,0.037037037037037035,0.018518518518518517,0.037037037037037035,0.030864197530864196,0.043209876543209874,0.0,0.043209876543209874,0.024691358024691357,0.018518518518518517,0.037037037037037035,0.018518518518518517,0.043209876543209874,0.09876543209876543,0.024691358024691357,0.06172839506172839,0.06790123456790123,0.030864197530864196,0.037037037037037035,0.018518518518518517,0.012345679012345678,0.06790123456790123,0.024691358024691357,0.1111111111111111,0.018518518518518517,0.012345679012345678,0.05555555555555555
ESC J1 UP EARLY.V1 DN,0.1744186046511628,1.0,0.046511627906976744,0.011627906976744186,0.05232558139534884,0.046511627906976744,0.05232558139534884,0.05232558139534884,0.040697674418604654,0.040697674418604654,0.023255813953488372,0.023255813953488372,0.005813953488372093,0.01744186046511628,0.01744186046511628,0.005813953488372093,0.023255813953488372,0.011627906976744186,0.01744186046511628,0.01744186046511628,0.040697674418604654,0.023255813953488372,0.01744186046511628,0.011627906976744186,0.023255813953488372,0.023255813953488372,0.046511627906976744,0.011627906976744186,0.06976744186046512,0.023255813953488372,0.023255813953488372,0.011627906976744186,0.0,0.029069767441860465,0.046511627906976744,0.040697674418604654,0.01744186046511628,0.005813953488372093,0.01744186046511628,0.046511627906976744
RELA DN.V1 UP,0.04697986577181208,0.053691275167785234,1.0,0.013422818791946308,0.09395973154362416,0.08053691275167785,0.06711409395973154,0.06040268456375839,0.0738255033557047,0.040268456375838924,0.020134228187919462,0.040268456375838924,0.03355704697986577,0.013422818791946308,0.020134228187919462,0.03355704697986577,0.040268456375838924,0.026845637583892617,0.03355704697986577,0.020134228187919462,0.053691275167785234,0.040268456375838924,0.013422818791946308,0.020134228187919462,0.020134228187919462,0.013422818791946308,0.013422818791946308,0.03355704697986577,0.026845637583892617,0.013422818791946308,0.020134228187919462,0.013422818791946308,0.020134228187919462,0.040268456375838924,0.06040268456375839,0.03355704697986577,0.053691275167785234,0.013422818791946308,0.0,0.03355704697986577
SINGH KRAS DEPENDENCY SIGNATURE,0.05,0.1,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.05,0.05,0.05,0.05,0.05,0.0,0.1,0.0,0.0,0.05,0.05,0.0,0.05,0.05,0.05,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.1
STK33 UP,0.027972027972027972,0.03146853146853147,0.04895104895104895,0.0,1.0,0.6503496503496503,0.6153846153846154,0.038461538461538464,0.038461538461538464,0.04195804195804196,0.027972027972027972,0.038461538461538464,0.03146853146853147,0.027972027972027972,0.02097902097902098,0.027972027972027972,0.04895104895104895,0.03146853146853147,0.045454545454545456,0.024475524475524476,0.03146853146853147,0.006993006993006993,0.06293706293706294,0.03496503496503497,0.02097902097902098,0.013986013986013986,0.027972027972027972,0.02097902097902098,0.07692307692307693,0.027972027972027972,0.024475524475524476,0.03146853146853147,0.02097902097902098,0.024475524475524476,0.04195804195804196,0.01048951048951049,0.013986013986013986,0.017482517482517484,0.0034965034965034965,0.027972027972027972
STK33 NOMO UP,0.02413793103448276,0.027586206896551724,0.041379310344827586,0.0,0.6413793103448275,1.0,0.3,0.03793103448275862,0.04482758620689655,0.027586206896551724,0.03103448275862069,0.03793103448275862,0.034482758620689655,0.034482758620689655,0.020689655172413793,0.03793103448275862,0.05862068965517241,0.04482758620689655,0.05862068965517241,0.027586206896551724,0.027586206896551724,0.010344827586206896,0.06551724137931035,0.04827586206896552,0.020689655172413793,0.010344827586206896,0.02413793103448276,0.034482758620689655,0.06896551724137931,0.03103448275862069,0.034482758620689655,0.034482758620689655,0.006896551724137931,0.02413793103448276,0.034482758620689655,0.020689655172413793,0.017241379310344827,0.017241379310344827,0.0034482758620689655,0.03793103448275862
STK33 SKM UP,0.025179856115107913,0.03237410071942446,0.03597122302158273,0.0,0.6330935251798561,0.3129496402877698,1.0,0.03597122302158273,0.03237410071942446,0.02877697841726619,0.02158273381294964,0.02877697841726619,0.025179856115107913,0.014388489208633094,0.017985611510791366,0.007194244604316547,0.017985611510791366,0.0035971223021582736,0.02877697841726619,0.01079136690647482,0.02877697841726619,0.01079136690647482,0.0539568345323741,0.02877697841726619,0.017985611510791366,0.007194244604316547,0.02877697841726619,0.02158273381294964,0.07913669064748201,0.03237410071942446,0.02158273381294964,0.02877697841726619,0.02158273381294964,0.025179856115107913,0.03597122302158273,0.0035971223021582736,0.014388489208633094,0.017985611510791366,0.0,0.03597122302158273
IL15 UP.V1 UP,0.031746031746031744,0.047619047619047616,0.047619047619047616,0.0,0.0582010582010582,0.0582010582010582,0.05291005291005291,1.0,0.5714285714285714,0.05291005291005291,0.0582010582010582,0.047619047619047616,0.0582010582010582,0.037037037037037035,0.05291005291005291,0.021164021164021163,0.06349206349206349,0.021164021164021163,0.05291005291005291,0.026455026455026454,0.010582010582010581,0.005291005291005291,0.037037037037037035,0.026455026455026454,0.037037037037037035,0.015873015873015872,0.047619047619047616,0.042328042328042326,0.05291005291005291,0.031746031746031744,0.021164021164021163,0.047619047619047616,0.005291005291005291,0.005291005291005291,0.047619047619047616,0.037037037037037035,0.037037037037037035,0.010582010582010581,0.0,0.005291005291005291
IL2 UP.V1 UP,0.03684210526315789,0.03684210526315789,0.05789473684210526,0.0,0.05789473684210526,0.06842105263157895,0.04736842105263158,0.5684210526315789,1.0,0.04736842105263158,0.05789473684210526,0.042105263157894736,0.05263157894736842,0.021052631578947368,0.06842105263157895,0.021052631578947368,0.05789473684210526,0.02631578947368421,0.05263157894736842,0.031578947368421054,0.031578947368421054,0.02631578947368421,0.031578947368421054,0.02631578947368421,0.03684210526315789,0.010526315789473684,0.042105263157894736,0.05263157894736842,0.05789473684210526,0.03684210526315789,0.031578947368421054,0.04736842105263158,0.0,0.010526315789473684,0.05789473684210526,0.02631578947368421,0.021052631578947368,0.015789473684210527,0.0,0.005263157894736842
PDGF ERK DN.V1 DN,0.020134228187919462,0.04697986577181208,0.040268456375838924,0.0,0.08053691275167785,0.053691275167785234,0.053691275167785234,0.06711409395973154,0.06040268456375839,1.0,0.020134228187919462,0.026845637583892617,0.020134228187919462,0.006711409395973154,0.006711409395973154,0.020134228187919462,0.006711409395973154,0.006711409395973154,0.013422818791946308,0.013422818791946308,0.06711409395973154,0.03355704697986577,0.03355704697986577,0.020134228187919462,0.040268456375838924,0.026845637583892617,0.040268456375838924,0.006711409395973154,0.03355704697986577,0.006711409395973154,0.020134228187919462,0.013422818791946308,0.006711409395973154,0.006711409395973154,0.053691275167785234,0.04697986577181208,0.006711409395973154,0.013422818791946308,0.006711409395973154,0.03355704697986577
