Pathway,PSMB5 TARGET GENES,GTF2E2 TARGET GENES,MAPK3 TARGET GENES,RBM15 TARGET GENES,"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",NPM1 TARGET GENES,ZNF239 TARGET GENES,KLF14 TARGET GENES,CASP8AP2 TARGET GENES,RUVBL1 TARGET GENES,CTR9 TARGET GENES,FOXR2 TARGET GENES,HJURP TARGET GENES,TFAM TARGET GENES,EPC1 TARGET GENES,ZNF704 TARGET GENES,ZNF354B TARGET GENES,YBX3 TARGET GENES,TAFAZZIN TARGET GENES,ATOH8 TARGET GENES,PRMT5 TARGET GENES,MED25 TARGET GENES,TBX1 TARGET GENES,ZNF101 TARGET GENES,ZNF354C TARGET GENES,CHAMP1 TARGET GENES,RAX2 TARGET GENES,DMRT1 TARGET GENES,DNMT1 TARGET GENES,ZBED4 TARGET GENES,MYBL1 TARGET GENES,NR1I2 TARGET GENES,NR2E3 TARGET GENES,NR0B1 TARGET GENES,PHF21A TARGET GENES,ZSCAN5C TARGET GENES,ZNF622 TARGET GENES,NR1H4 TARGET GENES,PPARGC1A TARGET GENES,ZNF486 TARGET GENES
PSMB5 TARGET GENES,1.0,0.3054662379421222,0.07395498392282958,0.1189710610932476,0.03215434083601286,0.07395498392282958,0.003215434083601286,0.012861736334405145,0.07395498392282958,0.06430868167202572,0.02572347266881029,0.012861736334405145,0.02572347266881029,0.0,0.05787781350482315,0.006430868167202572,0.0,0.0,0.02572347266881029,0.003215434083601286,0.02572347266881029,0.05144694533762058,0.02572347266881029,0.03858520900321544,0.003215434083601286,0.003215434083601286,0.006430868167202572,0.03215434083601286,0.00964630225080386,0.04501607717041801,0.07717041800643087,0.06109324758842444,0.0,0.06109324758842444,0.02572347266881029,0.00964630225080386,0.00964630225080386,0.03536977491961415,0.02572347266881029,0.003215434083601286
GTF2E2 TARGET GENES,0.2278177458033573,1.0,0.03597122302158273,0.05995203836930456,0.019184652278177457,0.06954436450839328,0.004796163069544364,0.05515587529976019,0.09592326139088729,0.06235011990407674,0.014388489208633094,0.02158273381294964,0.023980815347721823,0.0,0.047961630695443645,0.007194244604316547,0.023980815347721823,0.023980815347721823,0.02158273381294964,0.0,0.026378896882494004,0.07673860911270983,0.03117505995203837,0.04316546762589928,0.002398081534772182,0.016786570743405275,0.016786570743405275,0.06954436450839328,0.014388489208633094,0.02877697841726619,0.0671462829736211,0.02877697841726619,0.0,0.05275779376498801,0.019184652278177457,0.02158273381294964,0.009592326139088728,0.014388489208633094,0.004796163069544364,0.019184652278177457
MAPK3 TARGET GENES,0.21296296296296297,0.1388888888888889,1.0,0.12037037037037036,0.05555555555555555,0.05555555555555555,0.018518518518518517,0.027777777777777776,0.07407407407407407,0.05555555555555555,0.06481481481481481,0.05555555555555555,0.027777777777777776,0.0,0.046296296296296294,0.0,0.0,0.0,0.037037037037037035,0.009259259259259259,0.06481481481481481,0.09259259259259259,0.027777777777777776,0.05555555555555555,0.0,0.0,0.018518518518518517,0.07407407407407407,0.018518518518518517,0.07407407407407407,0.037037037037037035,0.07407407407407407,0.0,0.12037037037037036,0.018518518518518517,0.018518518518518517,0.0,0.0,0.027777777777777776,0.009259259259259259
RBM15 TARGET GENES,0.18686868686868688,0.12626262626262627,0.06565656565656566,1.0,0.020202020202020204,0.045454545454545456,0.005050505050505051,0.045454545454545456,0.07575757575757576,0.03535353535353535,0.010101010101010102,0.015151515151515152,0.020202020202020204,0.0,0.045454545454545456,0.010101010101010102,0.010101010101010102,0.0,0.020202020202020204,0.0,0.010101010101010102,0.025252525252525252,0.005050505050505051,0.03535353535353535,0.0,0.010101010101010102,0.0,0.005050505050505051,0.005050505050505051,0.03535353535353535,0.04040404040404041,0.020202020202020204,0.0,0.06060606060606061,0.03535353535353535,0.0,0.0,0.020202020202020204,0.010101010101010102,0.005050505050505051
"ZA UNIPROT Q9UM89 UNREVIEWED GENES TARGET
GENES",0.136986301369863,0.1095890410958904,0.0821917808219178,0.0547945205479452,1.0,0.0273972602739726,0.0136986301369863,0.0273972602739726,0.0410958904109589,0.0136986301369863,0.0410958904109589,0.0273972602739726,0.0273972602739726,0.0,0.0547945205479452,0.0136986301369863,0.0,0.0,0.0958904109589041,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.0273972602739726,0.0136986301369863,0.0,0.0,0.0,0.0684931506849315,0.0136986301369863,0.0410958904109589,0.0136986301369863,0.0136986301369863,0.0,0.0410958904109589,0.0273972602739726,0.0136986301369863,0.0,0.0273972602739726,0.0,0.0
NPM1 TARGET GENES,0.06318681318681318,0.07967032967032966,0.016483516483516484,0.024725274725274724,0.005494505494505495,1.0,0.008241758241758242,0.038461538461538464,0.038461538461538464,0.02197802197802198,0.0027472527472527475,0.03296703296703297,0.013736263736263736,0.0027472527472527475,0.054945054945054944,0.005494505494505495,0.01098901098901099,0.013736263736263736,0.019230769230769232,0.0,0.0027472527472527475,0.01098901098901099,0.03021978021978022,0.06043956043956044,0.0,0.01098901098901099,0.013736263736263736,0.046703296703296704,0.03296703296703297,0.013736263736263736,0.04945054945054945,0.016483516483516484,0.0,0.016483516483516484,0.016483516483516484,0.005494505494505495,0.0027472527472527475,0.0027472527472527475,0.005494505494505495,0.019230769230769232
ZNF239 TARGET GENES,0.02564102564102564,0.05128205128205128,0.05128205128205128,0.02564102564102564,0.02564102564102564,0.07692307692307693,1.0,0.15384615384615385,0.07692307692307693,0.02564102564102564,0.02564102564102564,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128,0.0,0.0,0.02564102564102564,0.0,0.0,0.05128205128205128,0.07692307692307693,0.28205128205128205,0.02564102564102564,0.05128205128205128,0.02564102564102564,0.0,0.02564102564102564,0.0,0.05128205128205128,0.0,0.0,0.0,0.05128205128205128,0.05128205128205128,0.0,0.0,0.0,0.0
KLF14 TARGET GENES,0.01556420233463035,0.08949416342412451,0.011673151750972763,0.03501945525291829,0.007782101167315175,0.054474708171206226,0.023346303501945526,1.0,0.14396887159533073,0.06614785992217899,0.007782101167315175,0.019455252918287938,0.0038910505836575876,0.0,0.042801556420233464,0.019455252918287938,0.04669260700389105,0.007782101167315175,0.058365758754863814,0.0038910505836575876,0.01556420233463035,0.019455252918287938,0.023346303501945526,0.17120622568093385,0.0038910505836575876,0.04669260700389105,0.019455252918287938,0.03501945525291829,0.01556420233463035,0.01556420233463035,0.05058365758754864,0.027237354085603113,0.0,0.08949416342412451,0.04669260700389105,0.027237354085603113,0.0038910505836575876,0.019455252918287938,0.019455252918287938,0.011673151750972763
CASP8AP2 TARGET GENES,0.06705539358600583,0.11661807580174927,0.023323615160349854,0.043731778425655975,0.008746355685131196,0.04081632653061224,0.008746355685131196,0.10787172011661808,1.0,0.07580174927113703,0.008746355685131196,0.023323615160349854,0.02040816326530612,0.008746355685131196,0.043731778425655975,0.01749271137026239,0.026239067055393587,0.023323615160349854,0.03498542274052478,0.0,0.014577259475218658,0.043731778425655975,0.04081632653061224,0.08454810495626822,0.0,0.04956268221574344,0.0029154518950437317,0.05830903790087463,0.03206997084548105,0.037900874635568516,0.026239067055393587,0.04081632653061224,0.0,0.052478134110787174,0.02040816326530612,0.023323615160349854,0.008746355685131196,0.014577259475218658,0.02040816326530612,0.008746355685131196
RUVBL1 TARGET GENES,0.10989010989010989,0.14285714285714285,0.03296703296703297,0.038461538461538464,0.005494505494505495,0.04395604395604396,0.005494505494505495,0.09340659340659341,0.14285714285714285,1.0,0.02197802197802198,0.06593406593406594,0.016483516483516484,0.0,0.04945054945054945,0.0,0.0,0.02197802197802198,0.02197802197802198,0.0,0.03296703296703297,0.03296703296703297,0.02197802197802198,0.07142857142857142,0.0,0.027472527472527472,0.0,0.13736263736263737,0.02197802197802198,0.02197802197802198,0.1043956043956044,0.06593406593406594,0.0,0.005494505494505495,0.03296703296703297,0.016483516483516484,0.0,0.02197802197802198,0.005494505494505495,0.005494505494505495
