"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","JUN","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.666666666666666","2","6","ReMap--ChIP-seq(rank=1); GTEx--Coexpression(rank=8); ENCODE--ChIP-seq(rank=9); Literature--ChIP-seq(rank=24); Enrichr--Queries(rank=31); ARCHS4--Coexpression(rank=40)","11","rank=2; score=6.2086; p=6.1864e-07","rank=11; score=0.003367","rank=13; score=3.4519; direction=Activated"
"2","NFKB1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.000000000000000","4","4","ARCHS4--Coexpression(rank=6); ReMap--ChIP-seq(rank=160); Enrichr--Queries(rank=416); GTEx--Coexpression(rank=458)","13","rank=13; score=3.4183; p=0.00038167","rank=13; score=0.003686","rank=4; score=4.2144; direction=Activated"
"3","FOS","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","21.333333333333332","6","5","ReMap--ChIP-seq(rank=2); GTEx--Coexpression(rank=4); ENCODE--ChIP-seq(rank=6); Enrichr--Queries(rank=38); ARCHS4--Coexpression(rank=274)","8","rank=6; score=3.9257; p=0.00011865","rank=8; score=0.002489","rank=50; score=2.0098; direction=Activated"
"4","RELA","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","30.000000000000000","8","6","Literature--ChIP-seq(rank=3); ENCODE--ChIP-seq(rank=7); ReMap--ChIP-seq(rank=77); ARCHS4--Coexpression(rank=531); Enrichr--Queries(rank=588); GTEx--Coexpression(rank=656)","68","rank=14; score=3.3943; p=0.0004034","rank=68; score=0.01829","rank=8; score=3.7914; direction=Activated"
"5","RELB","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","35.000000000000000","21","4","Enrichr--Queries(rank=8); ARCHS4--Coexpression(rank=25); ReMap--ChIP-seq(rank=104); GTEx--Coexpression(rank=171)","21","rank=59; score=1.3581; p=0.043848","rank=21; score=0.005698","rank=25; score=2.661; direction=Activated"
"6","FOSL1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","41.333333333333336","29","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=9); Enrichr--Queries(rank=17); ARCHS4--Coexpression(rank=34); GTEx--Coexpression(rank=109)","45","rank=50; score=1.4949; p=0.031995","rank=45; score=0.01211","rank=29; score=2.5787; direction=Activated"
"7","FOSL2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.000000000000000","32","5","ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=4); Enrichr--Queries(rank=39); ARCHS4--Coexpression(rank=52); GTEx--Coexpression(rank=241)","51","rank=49; score=1.5746; p=0.026631","rank=51; score=0.01347","rank=32; score=2.5419; direction=Activated"
"8","PPARG","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.000000000000000","43","5","ReMap--ChIP-seq(rank=14); Literature--ChIP-seq(rank=15); GTEx--Coexpression(rank=18); Enrichr--Queries(rank=93); ARCHS4--Coexpression(rank=108)","43","rank=44; score=1.6639; p=0.021682","rank=43; score=0.0112","rank=48; score=2.0445; direction=Activated"
"9","JUNB","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","48.000000000000000","33","4","ARCHS4--Coexpression(rank=14); Enrichr--Queries(rank=23); GTEx--Coexpression(rank=29); ReMap--ChIP-seq(rank=29)","33","rank=60; score=1.333; p=0.046457","rank=33; score=0.0086","rank=51; score=2.0022; direction=Activated"
"10","KLF6","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","50.666666666666664","5","4","ReMap--ChIP-seq(rank=17); ARCHS4--Coexpression(rank=26); Enrichr--Queries(rank=37); GTEx--Coexpression(rank=164)","61","rank=5; score=4.315; p=4.8416e-05","rank=61; score=0.01597","rank=86; score=1.4726; direction=Activated"
