Pathway,FCGR ACTIVATION,FCGAMMA RECEPTOR FCGR DEPENDENT PHAGOCYTOSIS,ROLE OF PHOSPHOLIPIDS IN PHAGOCYTOSIS,PARASITE INFECTION,LEISHMANIA INFECTION,FCGR3A MEDIATED IL10 SYNTHESIS,"ANTI INFLAMMATORY RESPONSE FAVOURING
LEISHMANIA PARASITE INFECTION",CREATION OF C4 AND C2 ACTIVATORS,INITIAL TRIGGERING OF COMPLEMENT,COMPLEMENT CASCADE,CD22 MEDIATED BCR REGULATION,"ANTIGEN ACTIVATES B CELL RECEPTOR BCR LEADING
TO GENERATION OF SECOND MESSENGERS",SIGNALING BY THE B CELL RECEPTOR BCR,FCERI MEDIATED MAPK ACTIVATION,FC EPSILON RECEPTOR FCERI SIGNALING,FCERI MEDIATED CA 2 MOBILIZATION,FCERI MEDIATED NF KB ACTIVATION,"IMMUNOREGULATORY INTERACTIONS BETWEEN A
LYMPHOID AND A NON LYMPHOID CELL",ROLE OF LAT2 NTAL LAB ON CALCIUM MOBILIZATION,"CELL SURFACE INTERACTIONS AT THE VASCULAR
WALL",POTENTIAL THERAPEUTICS FOR SARS,SARS COV INFECTIONS,"REGULATION OF T CELL ACTIVATION BY CD28
FAMILY",CO INHIBITION BY PD 1,TRANSCRIPTIONAL REGULATION OF GRANULOPOIESIS,CELL CYCLE CHECKPOINTS,G2 M CHECKPOINTS,MITOTIC G1 PHASE AND G1 S TRANSITION,TRANSCRIPTIONAL REGULATION BY TP53,NEURONAL SYSTEM,MUSCLE CONTRACTION,SIGNALING BY INTERLEUKINS,TCR SIGNALING,DOWNSTREAM TCR SIGNALING,NEUTROPHIL DEGRANULATION,INTERFERON ALPHA BETA SIGNALING,EXTRACELLULAR MATRIX ORGANIZATION,ECM PROTEOGLYCANS,"REGULATION OF INSULIN LIKE GROWTH FACTOR IGF
TRANSPORT AND UPTAKE BY INSULIN LIKE GROWTH
FACTOR BINDING PROTEINS IGFBPS",GLUCURONIDATION
FCGR ACTIVATION,1.0,1.0,0.9130434782608695,0.9710144927536232,1.0,1.0,1.0,0.8260869565217391,0.8260869565217391,0.8260869565217391,0.7971014492753623,0.8260869565217391,0.8260869565217391,0.8115942028985508,0.8260869565217391,0.8115942028985508,0.7971014492753623,0.8405797101449275,0.8260869565217391,0.8405797101449275,0.7971014492753623,0.7971014492753623,0.08695652173913043,0.028985507246376812,0.0,0.0,0.0,0.028985507246376812,0.0,0.014492753623188406,0.0,0.10144927536231885,0.028985507246376812,0.028985507246376812,0.028985507246376812,0.0,0.0,0.0,0.0,0.0
FCGAMMA RECEPTOR FCGR DEPENDENT PHAGOCYTOSIS,0.4825174825174825,1.0,0.5734265734265734,0.8111888111888111,0.8741258741258742,0.5244755244755245,0.5314685314685315,0.3986013986013986,0.3986013986013986,0.3986013986013986,0.38461538461538464,0.46853146853146854,0.46853146853146854,0.46153846153846156,0.5314685314685315,0.46853146853146854,0.38461538461538464,0.40559440559440557,0.43356643356643354,0.44755244755244755,0.43356643356643354,0.43356643356643354,0.1048951048951049,0.013986013986013986,0.0,0.0,0.0,0.02097902097902098,0.0,0.027972027972027972,0.03496503496503497,0.13286713286713286,0.07692307692307693,0.04195804195804196,0.08391608391608392,0.0,0.013986013986013986,0.0,0.0,0.0
ROLE OF PHOSPHOLIPIDS IN PHAGOCYTOSIS,0.7682926829268293,1.0,1.0,0.7439024390243902,0.8414634146341463,0.8414634146341463,0.8414634146341463,0.6951219512195121,0.6951219512195121,0.6951219512195121,0.6585365853658537,0.7439024390243902,0.7439024390243902,0.6951219512195121,0.7926829268292683,0.7439024390243902,0.6585365853658537,0.7073170731707317,0.7195121951219512,0.7195121951219512,0.6829268292682927,0.6829268292682927,0.07317073170731707,0.024390243902439025,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805,0.08536585365853659,0.0975609756097561,0.07317073170731707,0.036585365853658534,0.0,0.0,0.0,0.0,0.0
PARASITE INFECTION,0.5775862068965517,1.0,0.5258620689655172,1.0,1.0,0.5775862068965517,0.5862068965517241,0.49137931034482757,0.49137931034482757,0.49137931034482757,0.47413793103448276,0.5258620689655172,0.5258620689655172,0.5431034482758621,0.5603448275862069,0.5258620689655172,0.47413793103448276,0.49137931034482757,0.5,0.5086206896551724,0.5086206896551724,0.5086206896551724,0.08620689655172414,0.017241379310344827,0.0,0.0,0.0,0.02586206896551724,0.0,0.034482758620689655,0.0,0.11206896551724138,0.034482758620689655,0.017241379310344827,0.0603448275862069,0.0,0.017241379310344827,0.0,0.0,0.0
LEISHMANIA INFECTION,0.3165137614678899,0.573394495412844,0.3165137614678899,0.5321100917431193,1.0,0.43577981651376146,0.6100917431192661,0.26146788990825687,0.26605504587155965,0.2706422018348624,0.25229357798165136,0.3073394495412844,0.3165137614678899,0.3073394495412844,0.3486238532110092,0.3119266055045872,0.26146788990825687,0.2706422018348624,0.26605504587155965,0.27522935779816515,0.2889908256880734,0.3119266055045872,0.06422018348623854,0.027522935779816515,0.0045871559633027525,0.0045871559633027525,0.0,0.013761467889908258,0.022935779816513763,0.2018348623853211,0.027522935779816515,0.14220183486238533,0.03669724770642202,0.01834862385321101,0.0779816513761468,0.0,0.027522935779816515,0.0045871559633027525,0.01834862385321101,0.0
FCGR3A MEDIATED IL10 SYNTHESIS,0.7263157894736842,0.7894736842105263,0.7263157894736842,0.7052631578947368,1.0,1.0,1.0,0.6,0.6,0.6,0.5789473684210527,0.6631578947368421,0.6631578947368421,0.6105263157894737,0.6736842105263158,0.6631578947368421,0.5789473684210527,0.6105263157894737,0.6,0.6210526315789474,0.5894736842105263,0.5894736842105263,0.06315789473684211,0.021052631578947368,0.010526315789473684,0.0,0.0,0.021052631578947368,0.0,0.21052631578947367,0.06315789473684211,0.10526315789473684,0.042105263157894736,0.021052631578947368,0.021052631578947368,0.0,0.0,0.0,0.0,0.0
"ANTI INFLAMMATORY RESPONSE FAVOURING
LEISHMANIA PARASITE INFECTION",0.518796992481203,0.5714285714285714,0.518796992481203,0.5112781954887218,1.0,0.7142857142857143,1.0,0.42857142857142855,0.42857142857142855,0.42857142857142855,0.41353383458646614,0.47368421052631576,0.47368421052631576,0.43609022556390975,0.48120300751879697,0.47368421052631576,0.41353383458646614,0.43609022556390975,0.42857142857142855,0.44360902255639095,0.43609022556390975,0.43609022556390975,0.045112781954887216,0.015037593984962405,0.007518796992481203,0.007518796992481203,0.0,0.015037593984962405,0.015037593984962405,0.3082706766917293,0.045112781954887216,0.09022556390977443,0.03007518796992481,0.015037593984962405,0.022556390977443608,0.0,0.015037593984962405,0.0,0.007518796992481203,0.0
CREATION OF C4 AND C2 ACTIVATORS,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.8028169014084507,0.8028169014084507,1.0,1.0,1.0,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.7605633802816901,0.8028169014084507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028169014084507043,0.0,0.0,0.014084507042253521,0.0,0.0,0.0,0.0,0.0
INITIAL TRIGGERING OF COMPLEMENT,0.7125,0.7125,0.7125,0.7125,0.725,0.7125,0.7125,0.8875,1.0,1.0,0.675,0.675,0.675,0.675,0.675,0.675,0.675,0.6875,0.675,0.675,0.675,0.7125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025,0.0,0.0,0.05,0.0,0.0,0.0,0.025,0.0
COMPLEMENT CASCADE,0.4956521739130435,0.4956521739130435,0.4956521739130435,0.4956521739130435,0.5130434782608696,0.4956521739130435,0.4956521739130435,0.6173913043478261,0.6956521739130435,1.0,0.46956521739130436,0.4782608695652174,0.4782608695652174,0.46956521739130436,0.46956521739130436,0.46956521739130436,0.46956521739130436,0.4956521739130435,0.46956521739130436,0.48695652173913045,0.46956521739130436,0.4956521739130435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017391304347826087,0.0,0.0,0.08695652173913043,0.0,0.017391304347826087,0.008695652173913044,0.02608695652173913,0.0
CD22 MEDIATED BCR REGULATION,0.9016393442622951,0.9016393442622951,0.8852459016393442,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.8852459016393442,0.8852459016393442,0.8852459016393442,1.0,1.0,1.0,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9016393442622951,0.9344262295081968,0.9508196721311475,0.9672131147540983,0.03278688524590164,0.01639344262295082,0.0,0.0,0.0,0.01639344262295082,0.0,0.0,0.0,0.03278688524590164,0.0,0.0,0.01639344262295082,0.01639344262295082,0.0,0.0,0.0,0.0
"ANTIGEN ACTIVATES B CELL RECEPTOR BCR LEADING
TO GENERATION OF SECOND MESSENGERS",0.6627906976744186,0.7790697674418605,0.7093023255813954,0.7093023255813954,0.7790697674418605,0.7325581395348837,0.7325581395348837,0.627906976744186,0.627906976744186,0.6395348837209303,0.7093023255813954,1.0,1.0,0.6976744186046512,0.7906976744186046,0.7674418604651163,0.6395348837209303,0.6511627906976745,0.6976744186046512,0.7093023255813954,0.7790697674418605,0.7906976744186046,0.08139534883720931,0.011627906976744186,0.0,0.0,0.0,0.011627906976744186,0.0,0.011627906976744186,0.10465116279069768,0.11627906976744186,0.03488372093023256,0.011627906976744186,0.011627906976744186,0.011627906976744186,0.0,0.0,0.0,0.0
