Pathway,REFERENCE TRANSLATION INITIATION,"VARIANT MUTATION INACTIVATED VCP TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","REFERENCE 26S PROTEASOME MEDIATED PROTEIN
DEGRADATION","VARIANT MUTATION CAUSED ABERRANT SOD1 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION INACTIVATED UBQLN2 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT SCRAPIE CONFORMATION PRPSC TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT SNCA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT HTT TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","VARIANT MUTATION CAUSED ABERRANT ABETA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION","REFERENCE ANXA2 S100A10 REGULATED ACTIN
CYTOSKELETON","REFERENCE ITGA B TALIN VINCULIN SIGNALING
PATHWAY","REFERENCE TIGHT JUNCTION ACTIN SIGNALING
PATHWAY",REFERENCE EGF EGFR ACTIN SIGNALING PATHWAY,"PATHOGEN SHIGELLA IPAC TO ACTIN SIGNALING
PATHWAY",REFERENCE UREA CYCLE,"REFERENCE MITOCHONDRIAL COMPLEX UCP1 IN
THERMOGENESIS",REFERENCE ELECTRON TRANSFER IN COMPLEX I,"VARIANT MUTATION CAUSED ABERRANT SNCA TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION INACTIVATED PINK1 TO
ELECTRON TRANSFER IN COMPLEX I","VARIANT MUTATION CAUSED ABERRANT TDP43 TO
ELECTRON TRANSFER IN COMPLEX I",REFERENCE KINETOCHORE FIBER ORGANIZATION,"PATHOGEN ESCHERICHIA ESPG TO MICROTUBULE RHOA
SIGNALING PATHWAY","VARIANT MUTATION CAUSED ABERRANT DCTN1 TO
RETROGRADE AXONAL TRANSPORT","ENV FACTOR IRON TO ANTEROGRADE AXONAL
TRANSPORT","REFERENCE MICROTUBULE DEPOLYMERIZATION AT THE
MINUS ENDS",REFERENCE KINETOCHORE MICROTUBULE ATTACHMENT,REFERENCE MICROTUBULE DEPOLYMERIZATION,REFERENCE MYOSTATIN SIGNALING PATHWAY,REFERENCE BMP HAMP SIGNALING PATHWAY,"VARIANT MLL AF4 FUSION TO TRANSCRIPTIONAL
ACTIVATION",REFERENCE THYROID HORMONE SIGNALING PATHWAY,"REFERENCE REGULATION OF FIBRINOLYTIC SYSTEM
PAI","REFERENCE REGULATION OF GF RTK RAS ERK
SIGNALING UBIQUITINATION OF RTK BY CBL",REFERENCE CHOLESTEROL BIOSYNTHESIS,"REFERENCE ORGANIZATION OF THE OUTER
KINETOCHORE","PATHOGEN SHIGELLA IPAA TO ITGA B RHOGEF RHOA
SIGNALING PATHWAY",REFERENCE TSC1 2 MTORC1 SIGNALING PATHWAY,REFERENCE KEAP1 NRF2 SIGNALING PATHWAY,"VARIANT MUTATION ACTIVATED KCNJ5 TO
ANGIOTENSIN ALDOSTERONE SIGNALING PATHWAY","REFERENCE ASSEMBLY AND TRAFFICKING OF
TELOMERASE"
REFERENCE TRANSLATION INITIATION,1.0,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.024691358024691357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION INACTIVATED VCP TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.05,1.0,0.975,0.975,0.975,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE 26S PROTEASOME MEDIATED PROTEIN
DEGRADATION",0.05128205128205128,1.0,1.0,1.0,1.0,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.8974358974358975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT SOD1 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.04878048780487805,0.9512195121951219,0.9512195121951219,1.0,0.9512195121951219,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.8536585365853658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION INACTIVATED UBQLN2 TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.05,0.975,0.975,0.975,1.0,0.875,0.875,0.875,0.875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT SCRAPIE CONFORMATION PRPSC TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT SNCA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1.0,0.9722222222222222,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT HTT TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1.0,0.9722222222222222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"VARIANT MUTATION CAUSED ABERRANT ABETA TO 26S
PROTEASOME MEDIATED PROTEIN DEGRADATION",0.0,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,0.9722222222222222,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"REFERENCE ANXA2 S100A10 REGULATED ACTIN
CYTOSKELETON",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.4,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
