Pathway,STRUCTURAL CONSTITUENT OF RIBOSOME,RRNA BINDING,UBIQUITIN CONJUGATING ENZYME BINDING,"UBIQUITIN LIKE PROTEIN CONJUGATING ENZYME
BINDING",UBIQUITIN LIKE PROTEIN LIGASE ACTIVITY,ATP DEPENDENT ACTIVITY ACTING ON RNA,NUCLEIC ACID CONFORMATION ISOMERASE ACTIVITY,CATALYTIC ACTIVITY ACTING ON RNA,FOUR WAY JUNCTION HELICASE ACTIVITY,ATP HYDROLYSIS ACTIVITY,PROTON TRANSMEMBRANE TRANSPORTER ACTIVITY,NADH DEHYDROGENASE UBIQUINONE ACTIVITY,"OXIDOREDUCTION DRIVEN ACTIVE TRANSMEMBRANE
TRANSPORTER ACTIVITY",ELECTRON TRANSFER ACTIVITY,"ACTIVE MONOATOMIC ION TRANSMEMBRANE
TRANSPORTER ACTIVITY","PRIMARY ACTIVE TRANSMEMBRANE TRANSPORTER
ACTIVITY","ATPASE COUPLED ION TRANSMEMBRANE TRANSPORTER
ACTIVITY","GAMMA AMINOBUTYRIC ACID TRANSMEMBRANE
TRANSPORTER ACTIVITY","GAMMA AMINOBUTYRIC ACID SODIUM CHLORIDE
SYMPORTER ACTIVITY",ORGANIC ACID SODIUM SYMPORTER ACTIVITY,STRUCTURAL CONSTITUENT OF SKIN EPIDERMIS,PROTEIN SERINE THREONINE KINASE ACTIVITY,PROTEIN SERINE KINASE ACTIVITY,PROTEIN TYROSINE KINASE ACTIVITY,EXTRACELLULAR MATRIX BINDING,DISACCHARIDE BINDING,PRE MRNA BINDING,SINGLE STRANDED RNA BINDING,DEUBIQUITINASE ACTIVITY,UBIQUITIN LIKE PROTEIN PEPTIDASE ACTIVITY,PHOSPHOLIPASE A2 ACTIVITY,HISTONE H4K5 ACETYLTRANSFERASE ACTIVITY,HISTONE READER ACTIVITY,STRUCTURAL CONSTITUENT OF CHROMATIN,ALPHA ADRENERGIC RECEPTOR ACTIVITY,PHOSPHOLIPID SCRAMBLASE ACTIVITY,MAGNESIUM ION BINDING,STRUCTURAL CONSTITUENT OF EYE LENS,FOLIC ACID BINDING,"3S 3 HYDROXYACYL COA DEHYDROGENASE NADPLUS
ACTIVITY"
STRUCTURAL CONSTITUENT OF RIBOSOME,1.0,0.16374269005847952,0.0,0.005847953216374269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011695906432748537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RRNA BINDING,0.4,1.0,0.0,0.014285714285714285,0.014285714285714285,0.04285714285714286,0.04285714285714286,0.12857142857142856,0.0,0.04285714285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014285714285714285,0.014285714285714285,0.0,0.0,0.0,0.014285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0
UBIQUITIN CONJUGATING ENZYME BINDING,0.0,0.0,1.0,1.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"UBIQUITIN LIKE PROTEIN CONJUGATING ENZYME
BINDING",0.02631578947368421,0.02631578947368421,0.8421052631578947,1.0,0.5789473684210527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02631578947368421,0.0,0.0,0.0
UBIQUITIN LIKE PROTEIN LIGASE ACTIVITY,0.0,0.0025,0.05,0.055,1.0,0.0025,0.0075,0.005,0.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025,0.0025,0.0,0.0,0.0,0.0,0.0025,0.0,0.0,0.0,0.0025,0.0225,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ATP DEPENDENT ACTIVITY ACTING ON RNA,0.0,0.03896103896103896,0.0,0.0,0.012987012987012988,1.0,1.0,0.987012987012987,0.012987012987012988,0.987012987012987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987012987012988,0.15584415584415584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03896103896103896,0.0,0.0,0.0
NUCLEIC ACID CONFORMATION ISOMERASE ACTIVITY,0.0,0.018867924528301886,0.0,0.0,0.018867924528301886,0.48427672955974843,1.0,0.5031446540880503,0.03773584905660377,0.8050314465408805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006289308176100629,0.0,0.0,0.0,0.0,0.006289308176100629,0.0880503144654088,0.0,0.0,0.0,0.0,0.031446540880503145,0.0,0.0,0.0,0.03773584905660377,0.0,0.0,0.0
CATALYTIC ACTIVITY ACTING ON RNA,0.0,0.02097902097902098,0.0,0.0,0.004662004662004662,0.17715617715617715,0.1864801864801865,1.0,0.002331002331002331,0.17482517482517482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006993006993006993,0.006993006993006993,0.0,0.002331002331002331,0.0,0.006993006993006993,0.06060606060606061,0.004662004662004662,0.004662004662004662,0.0,0.0,0.002331002331002331,0.0,0.0,0.0,0.05827505827505827,0.0,0.0,0.0
FOUR WAY JUNCTION HELICASE ACTIVITY,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,1.0,0.16666666666666666,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.0
ATP HYDROLYSIS ACTIVITY,0.0,0.007481296758104738,0.0,0.0,0.004987531172069825,0.18952618453865336,0.3192019950124688,0.18703241895261846,0.014962593516209476,1.0,0.017456359102244388,0.0,0.0,0.0,0.06733167082294264,0.17206982543640897,0.004987531172069825,0.0,0.0,0.0,0.0,0.004987531172069825,0.004987531172069825,0.0,0.0,0.0,0.0024937655860349127,0.032418952618453865,0.0,0.0,0.0,0.0,0.0199501246882793,0.0,0.0,0.0,0.06234413965087282,0.0,0.0,0.0
