Pathway,NFE2L2.V2,ALK DN.V1 UP,MTOR UP.N4.V1 UP,CAHOY ASTROCYTIC,ATM DN.V1 UP,ATF2 S UP.V1 DN,RPS14 DN.V1 UP,STK33 NOMO UP,LTE2 UP.V1 UP,PKCA DN.V1 UP,ESC J1 UP LATE.V1 UP,ESC V6.5 UP LATE.V1 UP,BMI1 DN.V1 DN,EGFR UP.V1 DN,LEF1 UP.V1 DN,PTEN DN.V1 DN,KRAS.PROSTATE UP.V1 UP,RELA DN.V1 DN,JNK DN.V1 UP,ATM DN.V1 DN,CYCLIN D1 KE .V1 DN,P53 DN.V2 UP,PRC1 BMI UP.V1 UP,IL21 UP.V1 UP,PGF UP.V1 DN,VEGF A UP.V1 UP,CYCLIN D1 KE .V1 UP,P53 DN.V1 DN,KRAS.KIDNEY UP.V1 UP,KRAS.AMP.LUNG UP.V1 UP,KRAS.LUNG UP.V1 UP,KRAS.50 UP.V1 UP,IL2 UP.V1 DN,PRC1 BMI UP.V1 DN,SRC UP.V1 UP,CAHOY NEURONAL,JAK2 DN.V1 UP,PKCA DN.V1 DN,MTOR UP.V1 UP,AKT UP.V1 UP
NFE2L2.V2,1.0,0.03411513859275053,0.0255863539445629,0.01279317697228145,0.014925373134328358,0.010660980810234541,0.017057569296375266,0.014925373134328358,0.017057569296375266,0.017057569296375266,0.006396588486140725,0.008528784648187633,0.008528784648187633,0.014925373134328358,0.010660980810234541,0.019189765458422176,0.0042643923240938165,0.010660980810234541,0.021321961620469083,0.006396588486140725,0.019189765458422176,0.01279317697228145,0.01279317697228145,0.01279317697228145,0.010660980810234541,0.010660980810234541,0.010660980810234541,0.03624733475479744,0.014925373134328358,0.023454157782515993,0.010660980810234541,0.010660980810234541,0.01279317697228145,0.01279317697228145,0.0042643923240938165,0.0042643923240938165,0.017057569296375266,0.010660980810234541,0.019189765458422176,0.01279317697228145
ALK DN.V1 UP,0.11347517730496454,1.0,0.07801418439716312,0.0425531914893617,0.0425531914893617,0.06382978723404255,0.07092198581560284,0.07092198581560284,0.0070921985815602835,0.014184397163120567,0.014184397163120567,0.0,0.014184397163120567,0.014184397163120567,0.03546099290780142,0.03546099290780142,0.028368794326241134,0.04964539007092199,0.04964539007092199,0.03546099290780142,0.0070921985815602835,0.07801418439716312,0.0,0.05673758865248227,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.014184397163120567,0.02127659574468085,0.0070921985815602835,0.03546099290780142,0.02127659574468085,0.014184397163120567,0.05673758865248227,0.014184397163120567,0.0070921985815602835,0.02127659574468085,0.02127659574468085,0.014184397163120567,0.0070921985815602835
MTOR UP.N4.V1 UP,0.061224489795918366,0.05612244897959184,1.0,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.015306122448979591,0.030612244897959183,0.02040816326530612,0.00510204081632653,0.015306122448979591,0.015306122448979591,0.015306122448979591,0.02040816326530612,0.015306122448979591,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.02040816326530612,0.01020408163265306,0.015306122448979591,0.0,0.02040816326530612,0.025510204081632654,0.025510204081632654,0.025510204081632654,0.03571428571428571,0.02040816326530612,0.01020408163265306,0.01020408163265306,0.00510204081632653,0.0,0.00510204081632653,0.01020408163265306,0.00510204081632653,0.00510204081632653,0.00510204081632653,0.025510204081632654,0.04591836734693878,0.05102040816326531
CAHOY ASTROCYTIC,0.06,0.06,0.05,1.0,0.03,0.03,0.01,0.04,0.02,0.01,0.01,0.01,0.02,0.02,0.02,0.03,0.0,0.02,0.02,0.01,0.01,0.0,0.02,0.01,0.01,0.01,0.01,0.02,0.01,0.02,0.04,0.02,0.03,0.02,0.01,0.0,0.01,0.0,0.02,0.01
ATM DN.V1 UP,0.04794520547945205,0.0410958904109589,0.03424657534246575,0.02054794520547945,1.0,0.0547945205479452,0.00684931506849315,0.0136986301369863,0.0136986301369863,0.0273972602739726,0.0410958904109589,0.02054794520547945,0.0136986301369863,0.00684931506849315,0.00684931506849315,0.0273972602739726,0.00684931506849315,0.02054794520547945,0.03424657534246575,0.0,0.0410958904109589,0.0547945205479452,0.00684931506849315,0.0273972602739726,0.0,0.0684931506849315,0.0136986301369863,0.0136986301369863,0.0136986301369863,0.03424657534246575,0.0,0.00684931506849315,0.02054794520547945,0.06164383561643835,0.03424657534246575,0.0136986301369863,0.03424657534246575,0.00684931506849315,0.00684931506849315,0.00684931506849315
ATF2 S UP.V1 DN,0.026737967914438502,0.0481283422459893,0.026737967914438502,0.016042780748663103,0.0427807486631016,1.0,0.0481283422459893,0.053475935828877004,0.0481283422459893,0.0106951871657754,0.0213903743315508,0.0374331550802139,0.0427807486631016,0.026737967914438502,0.0427807486631016,0.03208556149732621,0.0106951871657754,0.0213903743315508,0.016042780748663103,0.0106951871657754,0.026737967914438502,0.0213903743315508,0.0213903743315508,0.03208556149732621,0.03208556149732621,0.03208556149732621,0.03208556149732621,0.03208556149732621,0.0427807486631016,0.03208556149732621,0.0213903743315508,0.0213903743315508,0.0106951871657754,0.0374331550802139,0.016042780748663103,0.026737967914438502,0.0213903743315508,0.0053475935828877,0.0106951871657754,0.03208556149732621
RPS14 DN.V1 UP,0.041884816753926704,0.05235602094240838,0.015706806282722512,0.005235602094240838,0.005235602094240838,0.04712041884816754,1.0,0.14659685863874344,0.05235602094240838,0.020942408376963352,0.02617801047120419,0.015706806282722512,0.010471204188481676,0.020942408376963352,0.03664921465968586,0.031413612565445025,0.005235602094240838,0.005235602094240838,0.041884816753926704,0.020942408376963352,0.031413612565445025,0.03664921465968586,0.031413612565445025,0.041884816753926704,0.020942408376963352,0.041884816753926704,0.020942408376963352,0.08900523560209424,0.041884816753926704,0.031413612565445025,0.041884816753926704,0.020942408376963352,0.04712041884816754,0.03664921465968586,0.005235602094240838,0.005235602094240838,0.031413612565445025,0.010471204188481676,0.0,0.010471204188481676
STK33 NOMO UP,0.02413793103448276,0.034482758620689655,0.020689655172413793,0.013793103448275862,0.006896551724137931,0.034482758620689655,0.09655172413793103,1.0,0.03103448275862069,0.0034482758620689655,0.017241379310344827,0.013793103448275862,0.010344827586206896,0.027586206896551724,0.02413793103448276,0.017241379310344827,0.010344827586206896,0.013793103448275862,0.013793103448275862,0.017241379310344827,0.017241379310344827,0.027586206896551724,0.020689655172413793,0.020689655172413793,0.0034482758620689655,0.020689655172413793,0.020689655172413793,0.04482758620689655,0.013793103448275862,0.0034482758620689655,0.02413793103448276,0.017241379310344827,0.03103448275862069,0.010344827586206896,0.006896551724137931,0.0034482758620689655,0.010344827586206896,0.017241379310344827,0.0034482758620689655,0.010344827586206896
LTE2 UP.V1 UP,0.0425531914893617,0.005319148936170213,0.02127659574468085,0.010638297872340425,0.010638297872340425,0.047872340425531915,0.05319148936170213,0.047872340425531915,1.0,0.005319148936170213,0.031914893617021274,0.031914893617021274,0.02127659574468085,0.005319148936170213,0.047872340425531915,0.02127659574468085,0.005319148936170213,0.010638297872340425,0.005319148936170213,0.010638297872340425,0.02127659574468085,0.0,0.005319148936170213,0.02127659574468085,0.010638297872340425,0.02127659574468085,0.010638297872340425,0.031914893617021274,0.015957446808510637,0.005319148936170213,0.0,0.0,0.015957446808510637,0.015957446808510637,0.010638297872340425,0.0,0.005319148936170213,0.005319148936170213,0.010638297872340425,0.0425531914893617
PKCA DN.V1 UP,0.050314465408805034,0.012578616352201259,0.006289308176100629,0.006289308176100629,0.025157232704402517,0.012578616352201259,0.025157232704402517,0.006289308176100629,0.006289308176100629,1.0,0.031446540880503145,0.025157232704402517,0.03773584905660377,0.03773584905660377,0.025157232704402517,0.006289308176100629,0.012578616352201259,0.018867924528301886,0.006289308176100629,0.012578616352201259,0.012578616352201259,0.0,0.018867924528301886,0.006289308176100629,0.006289308176100629,0.018867924528301886,0.018867924528301886,0.012578616352201259,0.006289308176100629,0.012578616352201259,0.006289308176100629,0.0,0.006289308176100629,0.031446540880503145,0.018867924528301886,0.006289308176100629,0.025157232704402517,0.0,0.012578616352201259,0.031446540880503145
