"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","ChEA3","VIPER"
"1","TFDP1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.000000000000000","3","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=19); ReMap--ChIP-seq(rank=20)","8","rank=4; score=8.0719; p=8.4734e-09","rank=8; score=0.002489","rank=3; score=6.2193; direction=Repressed"
"2","E2F1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.333333333333333","2","6","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=19)","12","rank=2; score=15.301; p=4.9955e-16","rank=12; score=0.004274","rank=2; score=7.4807; direction=Repressed"
"3","FOXM1","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.666666666666667","2","6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=4)","2","rank=5; score=6.586; p=2.5941e-07","rank=2; score=0.0006223","rank=10; score=4.5693; direction=Repressed"
"4","E2F2","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","9.000000000000000","7","3","ARCHS4--Coexpression(rank=5); Enrichr--Queries(rank=9); GTEx--Coexpression(rank=1179)","9","rank=7; score=3.4985; p=0.0003173","rank=9; score=0.003071","rank=11; score=4.475; direction=Repressed"
"5","E2F4","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.666666666666668","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=1127)","27","rank=1; score=28.922; p=1.1975e-29","rank=27; score=0.008475","rank=1; score=13.221; direction=Repressed"
"6","E2F3","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","24.666666666666668","18","3","ARCHS4--Coexpression(rank=18); Enrichr--Queries(rank=28); GTEx--Coexpression(rank=1222)","36","rank=18; score=2.1321; p=0.0073769","rank=36; score=0.01106","rank=20; score=3.3956; direction=Repressed"
"7","MYBL2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","27.000000000000000","5","6","Enrichr--Queries(rank=2); ARCHS4--Coexpression(rank=6); Literature--ChIP-seq(rank=7); GTEx--Coexpression(rank=13); ENCODE--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=124)","5","rank=28; score=1.8715; p=0.013444","rank=5; score=0.001425","rank=48; score=2.5419; direction=Repressed"
"8","E2F7","DoRothEA;ChEA3;VIPER","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","36.333333333333336","6","5","ARCHS4--Coexpression(rank=3); Enrichr--Queries(rank=7); GTEx--Coexpression(rank=8); Literature--ChIP-seq(rank=21); ReMap--ChIP-seq(rank=45)","6","rank=22; score=2.0286; p=0.0093627","rank=6; score=0.001843","rank=81; score=1.9734; direction=Repressed"
"9","HNF4A","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","42.000000000000000","5","6","Literature--ChIP-seq(rank=25); ENCODE--ChIP-seq(rank=34); ARCHS4--Coexpression(rank=36); GTEx--Coexpression(rank=81); ReMap--ChIP-seq(rank=121); Enrichr--Queries(rank=309)","83","rank=38; score=1.4046; p=0.039394","rank=83; score=0.02211","rank=5; score=5.0173; direction=Activated"
"10","CDX2","DoRothEA;ChEA3;VIPER","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.333333333333329","8","5","ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=719)","111","rank=11; score=2.7728; p=0.0016875","rank=111; score=0.02826","rank=8; score=4.7399; direction=Activated"
