term_id	term_name	p_value	term_size	intersection_size	intersection
GOBP_HOST_MEDIATED_PERTURBATION_OF_VIRAL_PROCESS	GOBP_HOST_MEDIATED_PERTURBATION_OF_VIRAL_PROCESS	0.0019291897043562	66	24	CCNK,CHD1,PHB1,SP1,SMC6,PI4KA,HPN,ZDHHC9,RRP1B,ROCK2,BRD4,APOE,RAB29,CFL1,CTDP1,STOM,EIF2AK4,FASN,SMARCA4,JUN,PC,HMGA2,IGF2R,EEF1A1
GOBP_POSITIVE_REGULATION_OF_MYELINATION	GOBP_POSITIVE_REGULATION_OF_MYELINATION	0.0085965589021843	17	9	WASF3,TPPP,NRDC,CDK18,CST7,QKI,PARD3,MYRF,TNFRSF1B
GOBP_RESPONSE_TO_SALT_STRESS	GOBP_RESPONSE_TO_SALT_STRESS	0.0103028200529652	15	6	HSP90AA1,XRCC6,BDKRB2,MICU1,SLC25A23,ZFP36L1
GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	GOBP_POSITIVE_REGULATION_OF_MITOTIC_SISTER_CHROMATID_SEPARATION	0.0043968694976128	22	9	PLK1,AURKB,SKA1,CDC20,ANAPC5,DLGAP5,BIRC5,ESPL1,INCENP
GOBP_RESPONSE_TO_FLUID_SHEAR_STRESS	GOBP_RESPONSE_TO_FLUID_SHEAR_STRESS	0.0016153462373019	55	28	SOCS5,PTK2,PTPN1,PKD1,CSF2,TGFB1,KLF4,SMAD6,GNAS,ADCY7,MMP2,ABL1,SRC,MPP1,ADCY3,ADCY9,MTOR,SREBF2,PRKAR2A,EPB41,ABCC1,ABCA1,XBP1,PLEC,ASS1,CAPN2,SMAD7,CITED2
GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_CALCIUM_ION_CONCENTRATION	GOBP_NEGATIVE_REGULATION_OF_ENDOPLASMIC_RETICULUM_CALCIUM_ION_CONCENTRATION	0.0032974382743494	6	1	TGM2
GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	GOBP_REGULATION_OF_OSTEOCLAST_DIFFERENTIATION	0.0028059506589492	50	15	NF1,MTOR,MITF,PPARGC1B,CORO1C,RASSF2,FOS,RPTOR,INPP5D,CEBPB,UBASH3B,NOTCH2,FSTL3,CCR1,NEDD9
GOBP_DEVELOPMENT_OF_SECONDARY_FEMALE_SEXUAL_CHARACTERISTICS	GOBP_DEVELOPMENT_OF_SECONDARY_FEMALE_SEXUAL_CHARACTERISTICS	0.0096588713140512	8	4	STAT5B,PHB2,AREG,WNT5A
GOBP_INTERLEUKIN_18_MEDIATED_SIGNALING_PATHWAY	GOBP_INTERLEUKIN_18_MEDIATED_SIGNALING_PATHWAY	0.0072973351513147	6	1	PDGFB
GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	GOBP_CELLULAR_RESPONSE_TO_CHEMICAL_STRESS	6.2363128858e-06	278	84	KLF4,PEX14,ATP13A2,PPIA,PXN,PRKCI,FADS2,SIRT2,MEAK7,AIFM2,PEX5,PRDX5,MAPT,YBX3,STAU1,MAPKAP1,PRKCD,SLC25A24,MMP2,ERN1,ATP1A1,GSR,SERPINB6,ABL1,CAMKK2,PTPRK,PYCR1,SRC,CHCHD2,WNK1,CFL1,XRCC6,PARP1,PRDX1,SELENON,PPIF,BDKRB2,AIFM1,STK26,MGAT3,G6PD,PINK1,ALDH3B1,CUL1,MICU1,MTOR,STK39,FOXO3,MYLK,CYGB,SIN3A,STK24,GPX4,SLC11A2,ABCD1,MAPK9,TSPO,MGST1,FUT8,NINJ1,FOS,RPTOR,ETV5,PRR5L,GPX8,NFAT5,SLC25A23,ABCC1,XBP1,NQO1,PLEC,RACK1,LONP1,MET,GDF15,DDIT3,TRAP1,RPS3,ABL2,SLC7A11,LCN2,ATF4,ZFP36L1,SESN2
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS	GOBP_CARBOHYDRATE_CATABOLIC_PROCESS	0.0003584702951849	150	52	PGAM1,HSD17B14,INSR,PRKAA2,PFKP,FOXK2,STAT3,ZBTB20,FLCN,ARL2,ALDOA,BAD,GIT1,BCL2L13,GM2A,HDAC4,PHKA1,PRKAG2,FUT1,LDHA,GALK1,APP,NEU1,ATG2A,NUDT5,TPI1,RB1CC1,GALM,MTOR,HEXB,UCP2,OGDH,LRP5,SORD,NCOR1,PGK1,HK1,FUT8,HKDC1,PYGL,IER3,WIPI1,RPTOR,PKM,GPI,PYGB,GAPDH,COL6A1,PFKM,FOXK1,ENO1,DDIT4
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	0.0001552267128996	183	60	RPS6KB1,BCAR1,GCLC,SLC2A4,SP1,RHOQ,NAMPT,SLC27A1,PRKCZ,INSIG1,PRKCI,HMGCS2,SOCS3,PIK3C2A,SLC2A8,MAPKAP1,GRB2,ZBTB7B,PRKCD,ALAS1,MAP2K1,PIP4K2A,MYO1C,EEF2K,ZNF106,SLC39A14,PCSK9,PPARG,PARP1,HDAC5,GSTP1,PTPN11,NCL,MTOR,NCOA2,SIK2,UCP2,RAB31,MYO5A,PTPRJ,MTCL2,BLVRB,PKM,SORL1,IRS1,XBP1,COL6A1,SORBS1,LONP1,PRKDC,INSIG2,EPRS1,SREBF1,BCAR3,TRIB3,GRB10,PCK2,LPIN2,TBC1D4,ZFP36L1
GOBP_POSITIVE_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT	GOBP_POSITIVE_REGULATION_OF_HAIR_FOLLICLE_DEVELOPMENT	0.0047339636702128	10	4	FOXN1,NUMA1,GAL,WNT5A
GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS	GOBP_POSITIVE_REGULATION_OF_PHOSPHOLIPID_METABOLIC_PROCESS	0.013200307024709	12	5	PRKCD,ADGRF5,FABP3,XBP1,CAPN2
