Pathway,PPARA PATHWAY,PPARG PATHWAY,VDR PATHWAY,RARRXR PATHWAY,SM PATHWAY,MYOSIN PATHWAY,PAR1 PATHWAY,PLCD PATHWAY,CREB PATHWAY,AGPCR PATHWAY,GPCR PATHWAY,DREAM PATHWAY,CARM1 PATHWAY,NFAT PATHWAY,NOS1 PATHWAY,MET PATHWAY,HER2 PATHWAY,PTEN PATHWAY,GH PATHWAY,PLC PATHWAY,TPO PATHWAY,HCMV PATHWAY,EIF4 PATHWAY,CTLA4 PATHWAY,IL7 PATHWAY,PS1 PATHWAY,ALK PATHWAY,GSK3 PATHWAY,IL10 PATHWAY,IL6 PATHWAY,STAT3 PATHWAY,BARRESTIN PATHWAY,TGFB PATHWAY,HIF PATHWAY,PDZS PATHWAY,AGR PATHWAY,ACTINY PATHWAY,PROTEASOME PATHWAY,EGFR SMRTE PATHWAY,CBL PATHWAY
PPARA PATHWAY,1.0,0.1346153846153846,0.11538461538461539,0.057692307692307696,0.0,0.038461538461538464,0.09615384615384616,0.038461538461538464,0.23076923076923078,0.15384615384615385,0.19230769230769232,0.15384615384615385,0.17307692307692307,0.23076923076923078,0.15384615384615385,0.11538461538461539,0.11538461538461539,0.07692307692307693,0.17307692307692307,0.09615384615384616,0.17307692307692307,0.15384615384615385,0.11538461538461539,0.038461538461538464,0.1346153846153846,0.0,0.0,0.057692307692307696,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.019230769230769232,0.057692307692307696,0.057692307692307696,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464,0.038461538461538464
PPARG PATHWAY,0.875,1.0,0.625,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.125,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.0,0.125,0.0
VDR PATHWAY,0.25,0.20833333333333334,1.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.041666666666666664,0.0,0.0,0.0,0.0,0.041666666666666664,0.0
RARRXR PATHWAY,0.42857142857142855,0.2857142857142857,0.42857142857142855,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42857142857142855,0.0
SM PATHWAY,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYOSIN PATHWAY,0.18181818181818182,0.0,0.0,0.0,0.0,1.0,0.8181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.18181818181818182,0.2727272727272727,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182
PAR1 PATHWAY,0.2631578947368421,0.0,0.0,0.0,0.0,0.47368421052631576,1.0,0.10526315789473684,0.2631578947368421,0.10526315789473684,0.21052631578947367,0.0,0.0,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.15789473684210525,0.10526315789473684,0.2631578947368421,0.3157894736842105,0.2631578947368421,0.15789473684210525,0.21052631578947367,0.10526315789473684,0.21052631578947367,0.0,0.05263157894736842,0.10526315789473684,0.0,0.0,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.10526315789473684
PLCD PATHWAY,0.4,0.0,0.0,0.0,0.0,0.4,0.4,1.0,0.4,0.4,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.4,0.4,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
CREB PATHWAY,0.5454545454545454,0.0,0.0,0.0,0.0,0.09090909090909091,0.22727272727272727,0.09090909090909091,1.0,0.36363636363636365,0.5454545454545454,0.36363636363636365,0.3181818181818182,0.5909090909090909,0.36363636363636365,0.3181818181818182,0.3181818181818182,0.3181818181818182,0.45454545454545453,0.22727272727272727,0.36363636363636365,0.3181818181818182,0.36363636363636365,0.13636363636363635,0.09090909090909091,0.0,0.0,0.13636363636363635,0.0,0.18181818181818182,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456,0.0,0.13636363636363635,0.045454545454545456,0.0,0.045454545454545456,0.13636363636363635
AGPCR PATHWAY,0.7272727272727273,0.0,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.7272727272727273,1.0,0.7272727272727273,0.5454545454545454,0.5454545454545454,0.5454545454545454,0.7272727272727273,0.0,0.0,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182
GPCR PATHWAY,0.3333333333333333,0.0,0.0,0.0,0.0,0.1,0.13333333333333333,0.06666666666666667,0.4,0.26666666666666666,1.0,0.3333333333333333,0.23333333333333334,0.6666666666666666,0.4666666666666667,0.23333333333333334,0.13333333333333333,0.03333333333333333,0.23333333333333334,0.1,0.3,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.06666666666666667,0.0,0.0,0.03333333333333333,0.06666666666666667
DREAM PATHWAY,0.6153846153846154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6153846153846154,0.46153846153846156,0.7692307692307693,1.0,0.5384615384615384,0.5384615384615384,0.46153846153846156,0.23076923076923078,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.0,0.23076923076923078,0.15384615384615385,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0,0.23076923076923078,0.07692307692307693,0.0,0.07692307692307693,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.0,0.0
CARM1 PATHWAY,0.75,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.0,0.5833333333333334,0.5,0.5833333333333334,0.5833333333333334,1.0,0.5833333333333334,0.5,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0
NFAT PATHWAY,0.23529411764705882,0.0196078431372549,0.0196078431372549,0.0,0.0,0.0,0.0784313725490196,0.0,0.2549019607843137,0.11764705882352941,0.39215686274509803,0.13725490196078433,0.13725490196078433,1.0,0.23529411764705882,0.19607843137254902,0.1568627450980392,0.09803921568627451,0.1568627450980392,0.0784313725490196,0.13725490196078433,0.1568627450980392,0.13725490196078433,0.0392156862745098,0.0784313725490196,0.0196078431372549,0.09803921568627451,0.0784313725490196,0.0,0.0784313725490196,0.0392156862745098,0.0,0.058823529411764705,0.0196078431372549,0.0196078431372549,0.0784313725490196,0.0196078431372549,0.0,0.0392156862745098,0.0
NOS1 PATHWAY,0.38095238095238093,0.0,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.38095238095238093,0.38095238095238093,0.6666666666666666,0.2857142857142857,0.2857142857142857,0.5714285714285714,1.0,0.0,0.0,0.0,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0,0.0,0.0,0.0,0.09523809523809523
MET PATHWAY,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.12121212121212122,0.0,0.21212121212121213,0.0,0.21212121212121213,0.09090909090909091,0.0,0.30303030303030304,0.0,1.0,0.3333333333333333,0.24242424242424243,0.30303030303030304,0.09090909090909091,0.3939393939393939,0.21212121212121213,0.15151515151515152,0.12121212121212122,0.12121212121212122,0.0,0.0,0.06060606060606061,0.030303030303030304,0.3333333333333333,0.09090909090909091,0.0,0.06060606060606061,0.030303030303030304,0.030303030303030304,0.21212121212121213,0.030303030303030304,0.0,0.030303030303030304,0.06060606060606061
HER2 PATHWAY,0.2608695652173913,0.043478260869565216,0.08695652173913043,0.0,0.0,0.0,0.13043478260869565,0.0,0.30434782608695654,0.0,0.17391304347826086,0.043478260869565216,0.08695652173913043,0.34782608695652173,0.0,0.4782608695652174,1.0,0.34782608695652173,0.4782608695652174,0.13043478260869565,0.4782608695652174,0.2608695652173913,0.17391304347826086,0.13043478260869565,0.17391304347826086,0.0,0.0,0.08695652173913043,0.08695652173913043,0.4782608695652174,0.13043478260869565,0.0,0.13043478260869565,0.043478260869565216,0.0,0.13043478260869565,0.0,0.0,0.08695652173913043,0.08695652173913043
PTEN PATHWAY,0.2222222222222222,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.3888888888888889,0.0,0.05555555555555555,0.05555555555555555,0.0,0.2777777777777778,0.0,0.4444444444444444,0.4444444444444444,1.0,0.3888888888888889,0.16666666666666666,0.3333333333333333,0.2777777777777778,0.4444444444444444,0.16666666666666666,0.1111111111111111,0.0,0.0,0.2222222222222222,0.0,0.2222222222222222,0.1111111111111111,0.0,0.05555555555555555,0.0,0.0,0.2222222222222222,0.0,0.0,0.05555555555555555,0.1111111111111111
GH PATHWAY,0.3333333333333333,0.0,0.0,0.0,0.0,0.07407407407407407,0.18518518518518517,0.07407407407407407,0.37037037037037035,0.07407407407407407,0.25925925925925924,0.037037037037037035,0.0,0.2962962962962963,0.07407407407407407,0.37037037037037035,0.4074074074074074,0.25925925925925924,1.0,0.2222222222222222,0.5925925925925926,0.2222222222222222,0.2962962962962963,0.1111111111111111,0.18518518518518517,0.037037037037037035,0.037037037037037035,0.07407407407407407,0.037037037037037035,0.3333333333333333,0.1111111111111111,0.0,0.07407407407407407,0.0,0.0,0.07407407407407407,0.0,0.0,0.037037037037037035,0.1111111111111111
PLC PATHWAY,0.5555555555555556,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.2222222222222222,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.0,0.0,0.4444444444444444,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,1.0,0.6666666666666666,0.4444444444444444,0.5555555555555556,0.2222222222222222,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2222222222222222
TPO PATHWAY,0.375,0.0,0.0,0.0,0.0,0.08333333333333333,0.20833333333333334,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.375,0.125,0.0,0.2916666666666667,0.08333333333333333,0.5416666666666666,0.4583333333333333,0.25,0.6666666666666666,0.25,1.0,0.20833333333333334,0.20833333333333334,0.125,0.20833333333333334,0.0,0.0,0.08333333333333333,0.125,0.5,0.125,0.0,0.08333333333333333,0.041666666666666664,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.125
HCMV PATHWAY,0.47058823529411764,0.0,0.0,0.0,0.0,0.0,0.17647058823529413,0.0,0.4117647058823529,0.0,0.17647058823529413,0.11764705882352941,0.058823529411764705,0.47058823529411764,0.0,0.4117647058823529,0.35294117647058826,0.29411764705882354,0.35294117647058826,0.23529411764705882,0.29411764705882354,1.0,0.35294117647058826,0.11764705882352941,0.17647058823529413,0.0,0.0,0.29411764705882354,0.0,0.11764705882352941,0.11764705882352941,0.0,0.11764705882352941,0.058823529411764705,0.0,0.17647058823529413,0.0,0.0,0.17647058823529413,0.0
EIF4 PATHWAY,0.25,0.0,0.0,0.0,0.0,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.3333333333333333,0.08333333333333333,0.125,0.041666666666666664,0.0,0.2916666666666667,0.08333333333333333,0.20833333333333334,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.20833333333333334,0.20833333333333334,0.25,1.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.16666666666666666,0.0,0.041666666666666664,0.125,0.0,0.041666666666666664,0.0,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.08333333333333333
