Pathway,FOXR2 TARGET GENES,EPC1 TARGET GENES,SOX11 TARGET GENES,SETBP1 TARGET GENES,TASOR TARGET GENES,PPARGC1A TARGET GENES,ALKBH3 TARGET GENES,RORA TARGET GENES,CASP8AP2 TARGET GENES,RUVBL1 TARGET GENES,ZNF101 TARGET GENES,ZNF524 TARGET GENES,KLF14 TARGET GENES,NPM1 TARGET GENES,ZNF830 TARGET GENES,ZZZ3 TARGET GENES,GTF2E2 TARGET GENES,PSMB5 TARGET GENES,MAPK3 TARGET GENES,NPAT TARGET GENES,CHAF1A TARGET GENES,MYBL1 TARGET GENES,PHF21A TARGET GENES,DMRT1 TARGET GENES,YBX3 TARGET GENES,ZNF704 TARGET GENES,TERF1 TARGET GENES,ZNF223 TARGET GENES,ZNF622 TARGET GENES,SOX10 TARGET GENES,RAX2 TARGET GENES,TCOF1 TARGET GENES,ZBED4 TARGET GENES,ZNF581 TARGET GENES,HOXA13 TARGET GENES,NR1I2 TARGET GENES,PITX1 TARGET GENES,ZNF746 TARGET GENES,NFXL1 TARGET GENES,ZNF486 TARGET GENES
FOXR2 TARGET GENES,1.0,0.0641025641025641,0.01282051282051282,0.05555555555555555,0.042735042735042736,0.008547008547008548,0.05982905982905983,0.04700854700854701,0.03418803418803419,0.05128205128205128,0.04700854700854701,0.029914529914529916,0.021367521367521368,0.05128205128205128,0.05982905982905983,0.05555555555555555,0.038461538461538464,0.017094017094017096,0.02564102564102564,0.021367521367521368,0.004273504273504274,0.03418803418803419,0.01282051282051282,0.0641025641025641,0.004273504273504274,0.008547008547008548,0.021367521367521368,0.017094017094017096,0.004273504273504274,0.029914529914529916,0.01282051282051282,0.0,0.03418803418803419,0.038461538461538464,0.017094017094017096,0.05982905982905983,0.05128205128205128,0.0,0.021367521367521368,0.01282051282051282
EPC1 TARGET GENES,0.03816793893129771,1.0,0.017811704834605598,0.035623409669211195,0.061068702290076333,0.010178117048346057,0.07888040712468193,0.035623409669211195,0.03816793893129771,0.022900763358778626,0.07124681933842239,0.061068702290076333,0.027989821882951654,0.05089058524173028,0.02544529262086514,0.035623409669211195,0.05089058524173028,0.04580152671755725,0.01272264631043257,0.03307888040712468,0.010178117048346057,0.06615776081424936,0.04071246819338423,0.04834605597964377,0.007633587786259542,0.01272264631043257,0.01272264631043257,0.03816793893129771,0.005089058524173028,0.007633587786259542,0.007633587786259542,0.005089058524173028,0.04071246819338423,0.030534351145038167,0.015267175572519083,0.05597964376590331,0.05089058524173028,0.007633587786259542,0.022900763358778626,0.007633587786259542
SOX11 TARGET GENES,0.06382978723404255,0.14893617021276595,1.0,0.0425531914893617,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.06382978723404255,0.02127659574468085,0.10638297872340426,0.0425531914893617,0.02127659574468085,0.02127659574468085,0.02127659574468085,0.0,0.0425531914893617,0.06382978723404255,0.0425531914893617,0.0425531914893617,0.0,0.0851063829787234,0.02127659574468085,0.0851063829787234,0.0,0.0,0.02127659574468085,0.02127659574468085,0.0,0.02127659574468085,0.02127659574468085,0.0,0.06382978723404255,0.0425531914893617,0.0,0.0,0.02127659574468085,0.0,0.0,0.0
SETBP1 TARGET GENES,0.06532663316582915,0.07035175879396985,0.010050251256281407,1.0,0.8140703517587939,0.010050251256281407,0.0,0.010050251256281407,0.01507537688442211,0.0,0.10050251256281408,0.03015075376884422,0.005025125628140704,0.02512562814070352,0.0,0.01507537688442211,0.020100502512562814,0.01507537688442211,0.0,0.020100502512562814,0.005025125628140704,0.035175879396984924,0.01507537688442211,0.03015075376884422,0.0,0.0,0.02512562814070352,0.02512562814070352,0.0,0.005025125628140704,0.01507537688442211,0.010050251256281407,0.05025125628140704,0.06532663316582915,0.0,0.02512562814070352,0.010050251256281407,0.0,0.010050251256281407,0.005025125628140704
TASOR TARGET GENES,0.03436426116838488,0.08247422680412371,0.006872852233676976,0.5567010309278351,1.0,0.003436426116838488,0.024054982817869417,0.020618556701030927,0.044673539518900345,0.006872852233676976,0.07216494845360824,0.020618556701030927,0.003436426116838488,0.027491408934707903,0.0,0.013745704467353952,0.06872852233676977,0.08247422680412371,0.027491408934707903,0.0859106529209622,0.0,0.044673539518900345,0.05154639175257732,0.044673539518900345,0.0,0.0,0.03436426116838488,0.03436426116838488,0.006872852233676976,0.013745704467353952,0.01718213058419244,0.006872852233676976,0.044673539518900345,0.037800687285223365,0.003436426116838488,0.020618556701030927,0.013745704467353952,0.0,0.054982817869415807,0.006872852233676976
PPARGC1A TARGET GENES,0.019801980198019802,0.039603960396039604,0.009900990099009901,0.019801980198019802,0.009900990099009901,1.0,0.06930693069306931,0.04950495049504951,0.06930693069306931,0.009900990099009901,0.0297029702970297,0.0297029702970297,0.04950495049504951,0.019801980198019802,0.019801980198019802,0.0594059405940594,0.019801980198019802,0.07920792079207921,0.0297029702970297,0.009900990099009901,0.0,0.019801980198019802,0.019801980198019802,0.019801980198019802,0.0,0.009900990099009901,0.0,0.0297029702970297,0.019801980198019802,0.0,0.0,0.0,0.039603960396039604,0.06930693069306931,0.0,0.04950495049504951,0.0594059405940594,0.0,0.04950495049504951,0.009900990099009901
ALKBH3 TARGET GENES,0.03160270880361174,0.06997742663656885,0.002257336343115124,0.0,0.01580135440180587,0.01580135440180587,1.0,0.3047404063205418,0.23702031602708803,0.05417607223476298,0.13318284424379231,0.11286681715575621,0.16478555304740405,0.060948081264108354,0.04740406320541761,0.056433408577878104,0.1309255079006772,0.045146726862302484,0.004514672686230248,0.020316027088036117,0.011286681715575621,0.05417607223476298,0.03160270880361174,0.0654627539503386,0.029345372460496615,0.01580135440180587,0.004514672686230248,0.020316027088036117,0.0,0.004514672686230248,0.024830699774266364,0.0,0.040632054176072234,0.029345372460496615,0.011286681715575621,0.040632054176072234,0.05191873589164785,0.0,0.01805869074492099,0.01580135440180587
RORA TARGET GENES,0.041353383458646614,0.05263157894736842,0.0037593984962406013,0.007518796992481203,0.022556390977443608,0.018796992481203006,0.5075187969924813,1.0,0.19548872180451127,0.07142857142857142,0.12030075187969924,0.09022556390977443,0.13533834586466165,0.03007518796992481,0.041353383458646614,0.10150375939849623,0.10150375939849623,0.02631578947368421,0.018796992481203006,0.02631578947368421,0.015037593984962405,0.04887218045112782,0.011278195488721804,0.13533834586466165,0.03007518796992481,0.007518796992481203,0.011278195488721804,0.018796992481203006,0.011278195488721804,0.007518796992481203,0.03383458646616541,0.0,0.04887218045112782,0.03383458646616541,0.018796992481203006,0.05263157894736842,0.06390977443609022,0.0,0.011278195488721804,0.007518796992481203
CASP8AP2 TARGET GENES,0.023323615160349854,0.043731778425655975,0.008746355685131196,0.008746355685131196,0.037900874635568516,0.02040816326530612,0.30612244897959184,0.15160349854227406,1.0,0.07580174927113703,0.08454810495626822,0.10787172011661808,0.10787172011661808,0.04081632653061224,0.029154518950437316,0.04664723032069971,0.11661807580174927,0.06705539358600583,0.023323615160349854,0.15160349854227406,0.011661807580174927,0.026239067055393587,0.02040816326530612,0.05830903790087463,0.023323615160349854,0.01749271137026239,0.014577259475218658,0.02040816326530612,0.008746355685131196,0.0029154518950437317,0.0029154518950437317,0.0,0.037900874635568516,0.04081632653061224,0.011661807580174927,0.04081632653061224,0.05539358600583091,0.0,0.03206997084548105,0.008746355685131196
RUVBL1 TARGET GENES,0.06593406593406594,0.04945054945054945,0.005494505494505495,0.0,0.01098901098901099,0.005494505494505495,0.13186813186813187,0.1043956043956044,0.14285714285714285,1.0,0.07142857142857142,0.08791208791208792,0.09340659340659341,0.04395604395604396,0.038461538461538464,0.06593406593406594,0.14285714285714285,0.10989010989010989,0.03296703296703297,0.02197802197802198,0.01098901098901099,0.1043956043956044,0.03296703296703297,0.13736263736263737,0.02197802197802198,0.0,0.01098901098901099,0.016483516483516484,0.0,0.01098901098901099,0.0,0.0,0.02197802197802198,0.016483516483516484,0.016483516483516484,0.06593406593406594,0.07692307692307693,0.0,0.02197802197802198,0.005494505494505495
