"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","ChEA3","ENRICHR"
"1","ATF3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","4.0","1","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=1); GTEx--Coexpression(rank=5); Literature--ChIP-seq(rank=5); ENCODE--ChIP-seq(rank=48); ReMap--ChIP-seq(rank=48)","1","rank=1; score=0.0006143","rank=7; score=90.501; p=2.1361e-06; adjP=0.00076046"
"2","JUN","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","4","6","GTEx--Coexpression(rank=2); ENCODE--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=11); Literature--ChIP-seq(rank=24); ARCHS4--Coexpression(rank=27); Enrichr--Queries(rank=38)","4","rank=4; score=0.001245","rank=16; score=48.842; p=0.0010006; adjP=0.022012"
"3","NR1H3","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.5","5","5","ARCHS4--Coexpression(rank=7); Literature--ChIP-seq(rank=17); Enrichr--Queries(rank=77); GTEx--Coexpression(rank=80); ReMap--ChIP-seq(rank=208)","16","rank=16; score=0.0043","rank=5; score=404.35; p=8.3138e-05; adjP=0.0054871"
"4","SOX2","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.5","3","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=192); Enrichr--Queries(rank=754); ARCHS4--Coexpression(rank=1254); GTEx--Coexpression(rank=1559)","24","rank=24; score=0.006098","rank=3; score=62.239; p=6.4373e-08; adjP=4.5834e-05"
"5","TCF12","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","18.0","2","5","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=130); GTEx--Coexpression(rank=181); ARCHS4--Coexpression(rank=695); Enrichr--Queries(rank=1235)","34","rank=34; score=0.008475","rank=2; score=32.679; p=0.00011307; adjP=0.089779"
"6","CEBPB","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","23.5","4","6","ENCODE--ChIP-seq(rank=4); Enrichr--Queries(rank=14); Literature--ChIP-seq(rank=107); ReMap--ChIP-seq(rank=129); ARCHS4--Coexpression(rank=442); GTEx--Coexpression(rank=509)","43","rank=43; score=0.009972","rank=4; score=51.733; p=0.00085858; adjP=0.074697"
"7","KLF4","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","29.0","22","5","ARCHS4--Coexpression(rank=14); Enrichr--Queries(rank=18); Literature--ChIP-seq(rank=22); GTEx--Coexpression(rank=40); ReMap--ChIP-seq(rank=285)","36","rank=36; score=0.0086","rank=22; score=8.5038; p=0.014972; adjP=0.15618"
"8","RELA","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.0","12","6","Literature--ChIP-seq(rank=2); ENCODE--ChIP-seq(rank=9); ReMap--ChIP-seq(rank=104); Enrichr--Queries(rank=664); GTEx--Coexpression(rank=1134); ARCHS4--Coexpression(rank=1295)","52","rank=52; score=0.0122","rank=12; score=42.428; p=1.0863e-05; adjP=0.0025782"
"9","BATF","ChEA3;ENRICHR","5","DoRothEA;ChEA3;VIPER;ENRICHR;CollecTRI","32.0","23","5","ARCHS4--Coexpression(rank=16); ENCODE--ChIP-seq(rank=39); ReMap--ChIP-seq(rank=69); GTEx--Coexpression(rank=488); Enrichr--Queries(rank=527)","41","rank=41; score=0.009828","rank=23; score=50.502; p=0.059528; adjP=0.51712"
"10","EGR1","ChEA3;ENRICHR","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","33.0","20","6","Enrichr--Queries(rank=7); Literature--ChIP-seq(rank=19); ENCODE--ChIP-seq(rank=62); ARCHS4--Coexpression(rank=65); GTEx--Coexpression(rank=70); ReMap--ChIP-seq(rank=113)","20","rank=20; score=0.004986","rank=46; score=16.27; p=0.00037559; adjP=0.020571"
