"Method","Input_Type","Input_Name","Gene_Count","Rank_Conditions","Output_Directory","Result_Tables"
"chea3","DEG","HMVL_ALL","256","HMVL_ALL","results/ngs/GSE310664/TF/DEG/HMVL_ALL/chea3","8"
"chea3","DEG","HMVL_CRC29","603","HMVL_CRC29","results/ngs/GSE310664/TF/DEG/HMVL_CRC29/chea3","8"
"chea3","DEG","HMVL_HUB098","457","HMVL_HUB098","results/ngs/GSE310664/TF/DEG/HMVL_HUB098/chea3","8"
"chea3","DEG","HMVL_TOR10","1153","HMVL_TOR10","results/ngs/GSE310664/TF/DEG/HMVL_TOR10/chea3","8"
"chea3","DEG","HVL_ALL","979","HVL_ALL","results/ngs/GSE310664/TF/DEG/HVL_ALL/chea3","8"
"chea3","DEG","HVL_CRC29","3393","HVL_CRC29","results/ngs/GSE310664/TF/DEG/HVL_CRC29/chea3","8"
"chea3","DEG","HVL_HUB098","1703","HVL_HUB098","results/ngs/GSE310664/TF/DEG/HVL_HUB098/chea3","8"
"chea3","DEG","HVL_TOR10","2989","HVL_TOR10","results/ngs/GSE310664/TF/DEG/HVL_TOR10/chea3","8"
"chea3","DEG","MVL_ALL","10","MVL_ALL","results/ngs/GSE310664/TF/DEG/MVL_ALL/chea3","8"
"chea3","DEG","MVL_CRC29","232","MVL_CRC29","results/ngs/GSE310664/TF/DEG/MVL_CRC29/chea3","8"
"chea3","DEG","MVL_HUB098","469","MVL_HUB098","results/ngs/GSE310664/TF/DEG/MVL_HUB098/chea3","8"
"chea3","DEG","MVL_TOR10","1059","MVL_TOR10","results/ngs/GSE310664/TF/DEG/MVL_TOR10/chea3","8"
"collectri","DEG","HMVL_ALL","256","HMVL_ALL","results/ngs/GSE310664/TF/DEG/HMVL_ALL/collectri","1"
"collectri","DEG","HMVL_CRC29","603","HMVL_CRC29","results/ngs/GSE310664/TF/DEG/HMVL_CRC29/collectri","1"
"collectri","DEG","HMVL_HUB098","457","HMVL_HUB098","results/ngs/GSE310664/TF/DEG/HMVL_HUB098/collectri","1"
"collectri","DEG","HMVL_TOR10","1153","HMVL_TOR10","results/ngs/GSE310664/TF/DEG/HMVL_TOR10/collectri","1"
"collectri","DEG","HVL_ALL","979","HVL_ALL","results/ngs/GSE310664/TF/DEG/HVL_ALL/collectri","1"
"collectri","DEG","HVL_CRC29","3393","HVL_CRC29","results/ngs/GSE310664/TF/DEG/HVL_CRC29/collectri","1"
"collectri","DEG","HVL_HUB098","1703","HVL_HUB098","results/ngs/GSE310664/TF/DEG/HVL_HUB098/collectri","1"
"collectri","DEG","HVL_TOR10","2989","HVL_TOR10","results/ngs/GSE310664/TF/DEG/HVL_TOR10/collectri","1"
"collectri","DEG","MVL_ALL","10","MVL_ALL","results/ngs/GSE310664/TF/DEG/MVL_ALL/collectri","1"
"collectri","DEG","MVL_CRC29","232","MVL_CRC29","results/ngs/GSE310664/TF/DEG/MVL_CRC29/collectri","1"
"collectri","DEG","MVL_HUB098","469","MVL_HUB098","results/ngs/GSE310664/TF/DEG/MVL_HUB098/collectri","1"
"collectri","DEG","MVL_TOR10","1059","MVL_TOR10","results/ngs/GSE310664/TF/DEG/MVL_TOR10/collectri","1"
"dorothea","DEG","HMVL_ALL","256","HMVL_ALL","results/ngs/GSE310664/TF/DEG/HMVL_ALL/dorothea","1"
"dorothea","DEG","HMVL_CRC29","603","HMVL_CRC29","results/ngs/GSE310664/TF/DEG/HMVL_CRC29/dorothea","1"
"dorothea","DEG","HMVL_HUB098","457","HMVL_HUB098","results/ngs/GSE310664/TF/DEG/HMVL_HUB098/dorothea","1"
"dorothea","DEG","HMVL_TOR10","1153","HMVL_TOR10","results/ngs/GSE310664/TF/DEG/HMVL_TOR10/dorothea","1"
"dorothea","DEG","HVL_ALL","979","HVL_ALL","results/ngs/GSE310664/TF/DEG/HVL_ALL/dorothea","1"
"dorothea","DEG","HVL_CRC29","3393","HVL_CRC29","results/ngs/GSE310664/TF/DEG/HVL_CRC29/dorothea","1"
"dorothea","DEG","HVL_HUB098","1703","HVL_HUB098","results/ngs/GSE310664/TF/DEG/HVL_HUB098/dorothea","1"
"dorothea","DEG","HVL_TOR10","2989","HVL_TOR10","results/ngs/GSE310664/TF/DEG/HVL_TOR10/dorothea","1"
"dorothea","DEG","MVL_ALL","10","MVL_ALL","results/ngs/GSE310664/TF/DEG/MVL_ALL/dorothea","1"
"dorothea","DEG","MVL_CRC29","232","MVL_CRC29","results/ngs/GSE310664/TF/DEG/MVL_CRC29/dorothea","1"
"dorothea","DEG","MVL_HUB098","469","MVL_HUB098","results/ngs/GSE310664/TF/DEG/MVL_HUB098/dorothea","1"
"dorothea","DEG","MVL_TOR10","1059","MVL_TOR10","results/ngs/GSE310664/TF/DEG/MVL_TOR10/dorothea","1"
"enrichr","DEG","HMVL_ALL","256","HMVL_ALL","results/ngs/GSE310664/TF/DEG/HMVL_ALL/enrichr","5"
"enrichr","DEG","HMVL_CRC29","603","HMVL_CRC29","results/ngs/GSE310664/TF/DEG/HMVL_CRC29/enrichr","5"
"enrichr","DEG","HMVL_HUB098","457","HMVL_HUB098","results/ngs/GSE310664/TF/DEG/HMVL_HUB098/enrichr","5"
"enrichr","DEG","HMVL_TOR10","1153","HMVL_TOR10","results/ngs/GSE310664/TF/DEG/HMVL_TOR10/enrichr","5"
"enrichr","DEG","HVL_ALL","979","HVL_ALL","results/ngs/GSE310664/TF/DEG/HVL_ALL/enrichr","5"
"enrichr","DEG","HVL_CRC29","3393","HVL_CRC29","results/ngs/GSE310664/TF/DEG/HVL_CRC29/enrichr","5"
"enrichr","DEG","HVL_HUB098","1703","HVL_HUB098","results/ngs/GSE310664/TF/DEG/HVL_HUB098/enrichr","5"
"enrichr","DEG","HVL_TOR10","2989","HVL_TOR10","results/ngs/GSE310664/TF/DEG/HVL_TOR10/enrichr","5"
