Pathway,KRAS.600 UP.V1 DN,KRAS.300 UP.V1 DN,KRAS.LUNG.BREAST UP.V1 DN,KRAS.600.LUNG.BREAST UP.V1 DN,KRAS.LUNG UP.V1 DN,CAHOY ASTROGLIAL,P53 DN.V1 DN,JNK DN.V1 UP,ESC J1 UP LATE.V1 UP,ESC V6.5 UP EARLY.V1 DN,MTOR UP.V1 DN,AKT UP.V1 DN,MYC UP.V1 UP,E2F3 UP.V1 UP,E2F1 UP.V1 UP,RPS14 DN.V1 UP,STK33 NOMO UP,TBK1.DF UP,PTEN DN.V2 UP,BMI1 DN.V1 UP,BMI1 DN MEL18 DN.V1 UP,MEL18 DN.V1 UP,P53 DN.V1 UP,EGFR UP.V1 UP,ERBB2 UP.V1 UP,MEK UP.V1 UP,LTE2 UP.V1 UP,LEF1 UP.V1 DN,BMI1 DN MEL18 DN.V1 DN,MEL18 DN.V1 DN,EIF4E UP,HOXA9 DN.V1 DN,MTOR UP.N4.V1 UP,RELA DN.V1 UP,IL2 UP.V1 UP,PDGF ERK DN.V1 DN,NRL DN.V1 UP,CYCLIN D1 UP.V1 DN,CYCLIN D1 KE .V1 DN,KRAS.KIDNEY UP.V1 DN
KRAS.600 UP.V1 DN,1.0,0.5035714285714286,0.29285714285714287,0.4357142857142857,0.18571428571428572,0.02142857142857143,0.025,0.02142857142857143,0.014285714285714285,0.007142857142857143,0.014285714285714285,0.02142857142857143,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.02142857142857143,0.0035714285714285713,0.017857142857142856,0.025,0.025,0.017857142857142856,0.010714285714285714,0.017857142857142856,0.025,0.02142857142857143,0.02142857142857143,0.017857142857142856,0.010714285714285714,0.010714285714285714,0.025,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.010714285714285714,0.014285714285714285,0.010714285714285714,0.017857142857142856,0.025,0.03214285714285714,0.11785714285714285
KRAS.300 UP.V1 DN,1.0,1.0,0.3971631205673759,0.5602836879432624,0.22695035460992907,0.028368794326241134,0.02127659574468085,0.03546099290780142,0.014184397163120567,0.014184397163120567,0.028368794326241134,0.028368794326241134,0.0070921985815602835,0.014184397163120567,0.0070921985815602835,0.014184397163120567,0.0,0.02127659574468085,0.03546099290780142,0.02127659574468085,0.014184397163120567,0.0,0.014184397163120567,0.02127659574468085,0.02127659574468085,0.028368794326241134,0.014184397163120567,0.02127659574468085,0.0070921985815602835,0.02127659574468085,0.0,0.0070921985815602835,0.014184397163120567,0.014184397163120567,0.0070921985815602835,0.014184397163120567,0.02127659574468085,0.02127659574468085,0.0425531914893617,0.14893617021276595
KRAS.LUNG.BREAST UP.V1 DN,0.5774647887323944,0.39436619718309857,1.0,1.0,0.352112676056338,0.02112676056338028,0.02112676056338028,0.028169014084507043,0.02112676056338028,0.014084507042253521,0.014084507042253521,0.028169014084507043,0.007042253521126761,0.02112676056338028,0.007042253521126761,0.014084507042253521,0.0,0.028169014084507043,0.028169014084507043,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.014084507042253521,0.02112676056338028,0.04225352112676056,0.04225352112676056,0.007042253521126761,0.028169014084507043,0.028169014084507043,0.035211267605633804,0.0,0.02112676056338028,0.007042253521126761,0.028169014084507043,0.007042253521126761,0.014084507042253521,0.007042253521126761,0.035211267605633804,0.056338028169014086,0.007042253521126761
KRAS.600.LUNG.BREAST UP.V1 DN,0.4280701754385965,0.2771929824561403,0.4982456140350877,1.0,0.27017543859649124,0.014035087719298246,0.02456140350877193,0.021052631578947368,0.014035087719298246,0.010526315789473684,0.010526315789473684,0.021052631578947368,0.007017543859649123,0.014035087719298246,0.0035087719298245615,0.017543859649122806,0.0,0.014035087719298246,0.021052631578947368,0.007017543859649123,0.010526315789473684,0.007017543859649123,0.010526315789473684,0.021052631578947368,0.021052631578947368,0.021052631578947368,0.007017543859649123,0.028070175438596492,0.021052631578947368,0.02456140350877193,0.0035087719298245615,0.017543859649122806,0.007017543859649123,0.021052631578947368,0.02456140350877193,0.014035087719298246,0.014035087719298246,0.017543859649122806,0.031578947368421054,0.007017543859649123
KRAS.LUNG UP.V1 DN,0.36363636363636365,0.22377622377622378,0.34965034965034963,0.5384615384615384,1.0,0.027972027972027972,0.02097902097902098,0.04195804195804196,0.013986013986013986,0.013986013986013986,0.013986013986013986,0.04195804195804196,0.0,0.02097902097902098,0.006993006993006993,0.027972027972027972,0.013986013986013986,0.02097902097902098,0.03496503496503497,0.0,0.013986013986013986,0.006993006993006993,0.013986013986013986,0.006993006993006993,0.03496503496503497,0.027972027972027972,0.013986013986013986,0.006993006993006993,0.03496503496503497,0.03496503496503497,0.0,0.02097902097902098,0.006993006993006993,0.027972027972027972,0.013986013986013986,0.006993006993006993,0.02097902097902098,0.02097902097902098,0.02097902097902098,0.013986013986013986
CAHOY ASTROGLIAL,0.06,0.04,0.03,0.04,0.04,1.0,0.07,0.03,0.03,0.08,0.01,0.05,0.0,0.0,0.01,0.03,0.03,0.03,0.05,0.03,0.02,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.03,0.0,0.0,0.03,0.02,0.01,0.01,0.0,0.0,0.0,0.03
P53 DN.V1 DN,0.03608247422680412,0.015463917525773196,0.015463917525773196,0.03608247422680412,0.015463917525773196,0.03608247422680412,1.0,0.03608247422680412,0.03608247422680412,0.020618556701030927,0.015463917525773196,0.03608247422680412,0.015463917525773196,0.015463917525773196,0.010309278350515464,0.08762886597938144,0.06701030927835051,0.04639175257731959,0.005154639175257732,0.03608247422680412,0.03608247422680412,0.04639175257731959,0.0,0.041237113402061855,0.02577319587628866,0.015463917525773196,0.030927835051546393,0.015463917525773196,0.04639175257731959,0.05154639175257732,0.0,0.015463917525773196,0.020618556701030927,0.020618556701030927,0.005154639175257732,0.005154639175257732,0.010309278350515464,0.005154639175257732,0.020618556701030927,0.010309278350515464
JNK DN.V1 UP,0.03225806451612903,0.026881720430107527,0.021505376344086023,0.03225806451612903,0.03225806451612903,0.016129032258064516,0.03763440860215054,1.0,0.021505376344086023,0.026881720430107527,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.016129032258064516,0.005376344086021506,0.043010752688172046,0.021505376344086023,0.021505376344086023,0.026881720430107527,0.021505376344086023,0.043010752688172046,0.03225806451612903,0.021505376344086023,0.021505376344086023,0.026881720430107527,0.016129032258064516,0.005376344086021506,0.026881720430107527,0.026881720430107527,0.026881720430107527,0.005376344086021506,0.010752688172043012,0.021505376344086023,0.005376344086021506,0.010752688172043012,0.005376344086021506,0.016129032258064516,0.016129032258064516,0.043010752688172046,0.026881720430107527
ESC J1 UP LATE.V1 UP,0.021505376344086023,0.010752688172043012,0.016129032258064516,0.021505376344086023,0.010752688172043012,0.016129032258064516,0.03763440860215054,0.021505376344086023,1.0,0.0967741935483871,0.026881720430107527,0.03225806451612903,0.0,0.010752688172043012,0.016129032258064516,0.026881720430107527,0.026881720430107527,0.03225806451612903,0.010752688172043012,0.016129032258064516,0.026881720430107527,0.021505376344086023,0.03763440860215054,0.06451612903225806,0.03763440860215054,0.03763440860215054,0.03225806451612903,0.053763440860215055,0.03763440860215054,0.026881720430107527,0.005376344086021506,0.010752688172043012,0.016129032258064516,0.043010752688172046,0.021505376344086023,0.005376344086021506,0.010752688172043012,0.021505376344086023,0.016129032258064516,0.005376344086021506
ESC V6.5 UP EARLY.V1 DN,0.012345679012345678,0.012345679012345678,0.012345679012345678,0.018518518518518517,0.012345679012345678,0.04938271604938271,0.024691358024691357,0.030864197530864196,0.1111111111111111,1.0,0.037037037037037035,0.037037037037037035,0.012345679012345678,0.006172839506172839,0.0,0.037037037037037035,0.043209876543209874,0.018518518518518517,0.024691358024691357,0.04938271604938271,0.037037037037037035,0.024691358024691357,0.09876543209876543,0.06172839506172839,0.030864197530864196,0.06790123456790123,0.012345679012345678,0.030864197530864196,0.012345679012345678,0.006172839506172839,0.006172839506172839,0.006172839506172839,0.018518518518518517,0.043209876543209874,0.043209876543209874,0.018518518518518517,0.012345679012345678,0.043209876543209874,0.037037037037037035,0.012345679012345678
