"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","VIPER","ENRICHR","TRRUST","CollecTRI"
"1","ATF4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","11.8","3","4","ReMap--ChIP-seq(rank=18); Enrichr--Queries(rank=368); GTEx--Coexpression(rank=438); ARCHS4--Coexpression(rank=553)","222","rank=6; score=3.1609; p=0.00069033","rank=3; score=4.7541; direction=Activated","rank=26; score=146.58; p=0.0033227; adjP=0.045272","rank=5; score=2.4785; p=0.0033228","rank=19; score=2.673; p=0.00015291; direction=Activated"
"2","MYC","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.6","3","6","ENCODE--ChIP-seq(rank=30); Literature--ChIP-seq(rank=41); GTEx--Coexpression(rank=148); ReMap--ChIP-seq(rank=232); Enrichr--Queries(rank=346); ARCHS4--Coexpression(rank=959)","341","rank=3; score=3.4623; p=0.00034488","rank=7; score=3.6632; direction=Repressed","rank=50; score=90.96; p=0.0064256; adjP=0.050028","rank=57; score=0.66153; p=0.21801","rank=41; score=2.2363; p=0.0011194; direction=Repressed"
"3","SMAD4","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","31.8","7","5","Literature--ChIP-seq(rank=46); ReMap--ChIP-seq(rank=237); ARCHS4--Coexpression(rank=511); GTEx--Coexpression(rank=1006); Enrichr--Queries(rank=1302)","901","rank=7; score=2.7023; p=0.0019848","rank=64; score=2.0303; direction=Activated","rank=35; score=46.219; p=0.054312; adjP=0.095749","rank=36; score=1.2088; p=0.061824","rank=17; score=3.1734; p=0.00013122; direction=Activated"
"4","HIF1A","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.4","1","5","Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=45); ARCHS4--Coexpression(rank=281); GTEx--Coexpression(rank=367); Enrichr--Queries(rank=686)","23","rank=10; score=2.2438; p=0.0057038","rank=1; score=5.6492; direction=Activated","rank=30; score=73.498; p=0.00034403; adjP=0.022452","rank=141; score=0; p=1","rank=5; score=4.3482; p=5.6836e-07; direction=Activated"
"5","ZBTB7A","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.0","6","5","ENCODE--ChIP-seq(rank=45); ReMap--ChIP-seq(rank=222); GTEx--Coexpression(rank=676); Enrichr--Queries(rank=1151); ARCHS4--Coexpression(rank=1430)","1130","rank=70; score=0.70225; p=0.19849","rank=6; score=3.8927; direction=Activated","rank=64; score=351.21; p=0.014612; adjP=0.080692","rank=11; score=1.8353; p=0.014612","rank=39; score=2.3464; p=0.00089457; direction=Activated"
"6","CEBPB","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","38.8","5","6","ENCODE--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=8); Enrichr--Queries(rank=51); Literature--ChIP-seq(rank=51); GTEx--Coexpression(rank=69); ARCHS4--Coexpression(rank=188)","33","rank=88; score=0; p=1","rank=18; score=2.9738; direction=Activated","rank=5; score=52.561; p=0.00014889; adjP=0.043672","rank=50; score=0.86312; p=0.13705","rank=33; score=2.2084; p=0.00051592; direction=Activated"
"7","PPARG","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","39.0","4","5","Literature--ChIP-seq(rank=32); GTEx--Coexpression(rank=79); ARCHS4--Coexpression(rank=102); ReMap--ChIP-seq(rank=113); Enrichr--Queries(rank=131)","177","rank=47; score=1.0188; p=0.095772","rank=30; score=2.7062; direction=Activated","rank=63; score=18.26; p=0.013962; adjP=0.13996","rank=51; score=0.82479; p=0.1497","rank=4; score=3.5864; p=6.9941e-08; direction=Activated"
"8","FOXO3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","43.8","1","4","Literature--ChIP-seq(rank=74); Enrichr--Queries(rank=522); GTEx--Coexpression(rank=658); ARCHS4--Coexpression(rank=749)","1111","rank=44; score=1.0502; p=0.08908","rank=5; score=3.9192; direction=Activated","rank=142; score=76.747; p=0.043211; adjP=0.085588","rank=27; score=1.3644; p=0.043211","rank=1; score=4.4262; p=1.7394e-10; direction=Activated"
"9","STAT3","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","44.8","6","6","Literature--ChIP-seq(rank=7); ENCODE--ChIP-seq(rank=12); ReMap--ChIP-seq(rank=30); ARCHS4--Coexpression(rank=81); Enrichr--Queries(rank=623); GTEx--Coexpression(rank=958)","151","rank=63; score=0.77384; p=0.16833","rank=11; score=3.3349; direction=Activated","rank=38; score=49.094; p=0.0042271; adjP=0.050028","rank=6; score=2.2937; p=0.0050853","rank=106; score=2.3494; p=0.0059927; direction=Activated"
"10","ATF6","DoRothEA;VIPER;ENRICHR;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","45.4","19","3","ARCHS4--Coexpression(rank=369); Enrichr--Queries(rank=734); GTEx--Coexpression(rank=792)","775","rank=19; score=1.6155; p=0.024237","rank=45; score=2.4218; direction=Activated","rank=119; score=108.26; p=0.03377; adjP=0.085588","rank=20; score=1.4715; p=0.03377","rank=24; score=3.5595; p=0.00019077; direction=Activated"
