"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST"
"1","E2F1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","6","Literature--ChIP-seq(rank=4); Enrichr--Queries(rank=6); GTEx--Coexpression(rank=7); ENCODE--ChIP-seq(rank=9); ARCHS4--Coexpression(rank=14); ReMap--ChIP-seq(rank=19)","12","rank=2; score=15.301; p=4.9955e-16","rank=1; score=9.8144; p=1.5333e-10"
"2","E2F4","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","1.5","1","6","ENCODE--ChIP-seq(rank=1); Literature--ChIP-seq(rank=2); ReMap--ChIP-seq(rank=3); Enrichr--Queries(rank=81); ARCHS4--Coexpression(rank=811); GTEx--Coexpression(rank=1127)","27","rank=1; score=28.922; p=1.1975e-29","rank=2; score=8.2913; p=5.1137e-09"
"3","TP53","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","3.0","3","5","ARCHS4--Coexpression(rank=13); Literature--ChIP-seq(rank=23); ReMap--ChIP-seq(rank=149); GTEx--Coexpression(rank=168); Enrichr--Queries(rank=271)","26","rank=3; score=9.6367; p=2.3083e-10","rank=3; score=6.9222; p=1.1961e-07"
"4","TFDP1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","5.0","4","4","GTEx--Coexpression(rank=4); Enrichr--Queries(rank=15); ARCHS4--Coexpression(rank=19); ReMap--ChIP-seq(rank=20)","8","rank=4; score=8.0719; p=8.4734e-09","rank=6; score=3.8837; p=0.00013071"
"5","FOXM1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.0","5","6","Enrichr--Queries(rank=1); GTEx--Coexpression(rank=1); Literature--ChIP-seq(rank=1); ReMap--ChIP-seq(rank=1); ENCODE--ChIP-seq(rank=2); ARCHS4--Coexpression(rank=4)","2","rank=5; score=6.586; p=2.5941e-07","rank=11; score=2.7728; p=0.0016875"
"6","MYC","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","8.5","8","6","Literature--ChIP-seq(rank=41); ENCODE--ChIP-seq(rank=42); ReMap--ChIP-seq(rank=106); Enrichr--Queries(rank=108); ARCHS4--Coexpression(rank=654); GTEx--Coexpression(rank=1145)","312","rank=9; score=3.0942; p=0.00080498","rank=8; score=3.6291; p=0.0002349"
"7","ESR1","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","9.0","4","6","Literature--ChIP-seq(rank=18); ENCODE--ChIP-seq(rank=25); ReMap--ChIP-seq(rank=107); ARCHS4--Coexpression(rank=295); Enrichr--Queries(rank=423); GTEx--Coexpression(rank=894)","428","rank=14; score=2.6081; p=0.0024655","rank=4; score=5.144; p=7.1774e-06"
"8","CDX2","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.0","9","5","ARCHS4--Coexpression(rank=46); GTEx--Coexpression(rank=60); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=154); Enrichr--Queries(rank=719)","111","rank=11; score=2.7728; p=0.0016875","rank=9; score=2.8317; p=0.0014734"
"9","REST","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","12.5","8","6","ENCODE--ChIP-seq(rank=14); ReMap--ChIP-seq(rank=25); Literature--ChIP-seq(rank=54); GTEx--Coexpression(rank=109); ARCHS4--Coexpression(rank=187); Enrichr--Queries(rank=1197)","275","rank=8; score=3.1845; p=0.00065387","rank=17; score=2.2983; p=0.0050317"
"10","MYCN","DoRothEA;TRRUST","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","14.5","10","5","Literature--ChIP-seq(rank=8); ARCHS4--Coexpression(rank=38); ReMap--ChIP-seq(rank=84); Enrichr--Queries(rank=132); GTEx--Coexpression(rank=698)","88","rank=19; score=2.1321; p=0.0073769","rank=10; score=2.794; p=0.0016071"
