"Consensus_Rank","TF","Required_Methods","Source_Method_Count","Source_Methods","Mean_Selected_Rank","Best_Selected_Rank","CheA3_Library_Count","CheA3_Libraries","CheA3_Integrated_TopRank","DoRothEA","TRRUST","CollecTRI"
"1","STAT1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","10.66666666666667","2","6","ENCODE--ChIP-seq(rank=31); Literature--ChIP-seq(rank=74); ReMap--ChIP-seq(rank=91); ARCHS4--Coexpression(rank=219); Enrichr--Queries(rank=476); GTEx--Coexpression(rank=1079)","470","rank=17; score=1.7827; p=0.016492","rank=13; score=2.0408; p=0.009103","rank=2; score=4.9303; p=8.2104e-07; direction=Activated"
"2","ATF4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","13.33333333333333","9","4","GTEx--Coexpression(rank=80); ReMap--ChIP-seq(rank=123); ARCHS4--Coexpression(rank=860); Enrichr--Queries(rank=916)","195","rank=9; score=2.5302; p=0.0029499","rank=17; score=1.8622; p=0.013735","rank=14; score=3.5742; p=0.00035129; direction=Activated"
"3","FOSL1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","15.33333333333333","3","5","ENCODE--ChIP-seq(rank=5); ReMap--ChIP-seq(rank=10); Enrichr--Queries(rank=84); ARCHS4--Coexpression(rank=137); GTEx--Coexpression(rank=168)","130","rank=3; score=2.8618; p=0.0013747","rank=4; score=3.043; p=0.00090583","rank=39; score=2.534; p=0.011277; direction=Activated"
"4","ETV4","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","20.33333333333333","11","4","ReMap--ChIP-seq(rank=142); Enrichr--Queries(rank=232); ARCHS4--Coexpression(rank=814); GTEx--Coexpression(rank=1422)","575","rank=38; score=1.1316; p=0.073853","rank=11; score=2.2544; p=0.0055667","rank=12; score=3.5843; p=0.00033803; direction=Activated"
"5","ATF3","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","22.66666666666667","5","6","ARCHS4--Coexpression(rank=1); Enrichr--Queries(rank=3); GTEx--Coexpression(rank=3); Literature--ChIP-seq(rank=3); ReMap--ChIP-seq(rank=51); ENCODE--ChIP-seq(rank=77)","1","rank=22; score=1.57; p=0.026918","rank=41; score=1.1047; p=0.07858","rank=5; score=4.3443; p=1.3971e-05; direction=Activated"
"6","NFKB1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","26.33333333333334","1","4","ARCHS4--Coexpression(rank=98); Enrichr--Queries(rank=246); ReMap--ChIP-seq(rank=265); GTEx--Coexpression(rank=838)","226","rank=4; score=2.8148; p=0.0015318","rank=1; score=4.6034; p=2.4925e-05","rank=74; score=2.1081; p=0.035019; direction=Activated"
"7","PPARG","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","28.33333333333333","10","5","ReMap--ChIP-seq(rank=18); Literature--ChIP-seq(rank=24); Enrichr--Queries(rank=52); GTEx--Coexpression(rank=68); ARCHS4--Coexpression(rank=118)","144","rank=18; score=1.7314; p=0.018559","rank=10; score=2.3307; p=0.0046696","rank=57; score=2.2717; p=0.023106; direction=Activated"
"8","NR3C1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","32.66666666666666","7","6","ENCODE--ChIP-seq(rank=33); ReMap--ChIP-seq(rank=49); Literature--ChIP-seq(rank=56); ARCHS4--Coexpression(rank=77); Enrichr--Queries(rank=361); GTEx--Coexpression(rank=1264)","186","rank=29; score=1.3023; p=0.049856","rank=62; score=0.75268; p=0.17673","rank=7; score=3.9068; p=9.3534e-05; direction=Activated"
"9","EGR1","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","37.33333333333334","15","6","GTEx--Coexpression(rank=5); Enrichr--Queries(rank=13); ARCHS4--Coexpression(rank=33); ENCODE--ChIP-seq(rank=60); Literature--ChIP-seq(rank=73); ReMap--ChIP-seq(rank=126)","12","rank=21; score=1.5915; p=0.025616","rank=15; score=1.9858; p=0.010332","rank=76; score=2.1005; p=0.035681; direction=Activated"
"10","CEBPB","DoRothEA;TRRUST;CollecTRI","6","DoRothEA;ChEA3;VIPER;ENRICHR;TRRUST;CollecTRI","40.00000000000000","8","6","ENCODE--ChIP-seq(rank=12); Enrichr--Queries(rank=39); Literature--ChIP-seq(rank=76); ReMap--ChIP-seq(rank=84); ARCHS4--Coexpression(rank=784); GTEx--Coexpression(rank=857)","105","rank=67; score=0.71347; p=0.19343","rank=8; score=2.4474; p=0.0035698","rank=45; score=2.4825; p=0.013047; direction=Activated"
